"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","729","750","750","682","11.66K","-6.54%"
"2024- 05- 07","780","750","780","686","15.49K","-2.50%"
"2024- 05- 03","800","800","800","800","0.00K","2.17%"
"2024- 04- 30","783","799","799","783","0.46K","8.00%"
"2024- 04- 29","725","710","728","710","0.13K","-4.23%"
"2024- 04- 26","757","759","759","757","0.12K","2.57%"
"2024- 04- 25","738","749","749","738","0.50K","4.09%"
"2024- 04- 24","709","799","799","680","27.83K","-11.26%"
"2024- 04- 23","799","799","799","799","0.07K","3.77%"
"2024- 04- 22","770","801","770","696","22.94K","-5.87%"
"2024- 04- 19","818","875","875","818","5.08K","-13.62%"
"2024- 04- 18","947","947","947","947","0.00K","14.65%"
"2024- 04- 16","826","865","865","825","2.20K","-4.51%"
"2024- 04- 15","865","866","866","865","0.25K","-0.57%"
"2024- 04- 09","870","825","870","825","11.51K","2.47%"
"2024- 04- 08","849","901","900","815","9.86K","-10.16%"
"2024- 04- 05","945","926","945","945","2.00K","8.00%"
"2024- 04- 04","875","894","894","875","0.45K","-2.23%"
"2024- 04- 03","895","950","925","875","4.18K","-9.04%"
"2024- 04- 02","984","951","989","856","10.08K","-1.60%"
"2024- 04- 01","1,000","1,088","1,088","1,000","0.00K","5.26%"
"2024- 03- 29","950","1,098","1,098","950","0.53K","-9.00%"
"2024- 03- 28","1,044","950","1,044","900","0.77K","5.14%"
"2024- 03- 27","993","951","951","950","0.42K","-0.60%"
"2024- 03- 26","999","1,098","1,100","999","0.04K","-9.18%"
"2024- 03- 25","1,100","932","1,100","932","3.88K","0.36%"
"2024- 03- 22","1,096","1,096","1,096","1,096","0.00K","13.11%"
"2024- 03- 20","969","969","969","969","0.26K","-0.10%"
"2024- 03- 19","970","960","971","950","0.31K","3.63%"
"2024- 03- 18","936","1,000","1,000","936","0.20K","-14.83%"
"2024- 03- 15","1,099","990","1,145","1,000","1.36K","10.01%"
"2024- 03- 14","999","750","999","750","196.26K","13.52%"
"2024- 03- 13","880","999","1,002","880","2.16K","0.80%"
"2024- 03- 12","873","999","999","873","0.51K","0.11%"
"2024- 03- 11","872","855","999","855","127.17K","-12.71%"
"2024- 03- 08","999","1,000","1,000","900","10.01K","5.16%"
"2024- 03- 07","950","950","950","950","0.50K","-4.90%"
"2024- 03- 06","999","999","999","999","0.02K","0.00%"
"2024- 03- 05","999","999","1,088","900","0.04K","5.16%"
"2024- 03- 04","950","999","999","815","0.43K","5.56%"
"2024- 02- 29","900","880","999","880","2.00K","0.00%"
"2024- 02- 28","900","760","900","760","127.06K","5.88%"
"2024- 02- 27","850","850","850","850","8.12K","-14.91%"
"2024- 02- 26","999","880","1,009","800","137.09K","13.52%"
"2024- 02- 23","880","803","880","803","0.01K","-4.35%"
"2024- 02- 22","920","930","930","920","0.01K","13.58%"
"2024- 02- 21","810","900","900","810","60.01K","0.87%"
"2024- 02- 20","803","800","805","800","71.36K","-8.75%"
"2024- 02- 16","880","765","880","765","0.03K","-1.12%"
"2024- 02- 15","890","900","900","800","11.11K","0.11%"
"2024- 02- 14","889","899","899","772","0.01K","1.02%"
"2024- 02- 13","880","804","890","800","2.50K","9.45%"
"2024- 02- 08","804","830","830","760","152.32K","-3.13%"
"2024- 02- 07","830","850","850","830","2.05K","0.85%"
"2024- 02- 06","823","900","990","781","116.66K","-8.56%"
"2024- 02- 05","900","830","990","824","8.51K","-7.12%"
"2024- 02- 02","969","969","969","969","0.00K","12.81%"
"2024- 02- 01","859","877","877","859","0.04K","-2.28%"
"2024- 01- 31","879","886","886","879","0.02K","-1.12%"
"2024- 01- 30","889","900","900","889","2.16K","-0.11%"
"2024- 01- 29","890","900","900","890","0.09K","-0.56%"
"2024- 01- 25","895","773","895","773","3.50K","-0.11%"
"2024- 01- 24","896","897","897","820","0.20K","0.67%"
"2024- 01- 23","890","900","900","750","2.15K","7.49%"
"2024- 01- 22","828","760","829","760","0.18K","-0.24%"
"2024- 01- 19","830","823","849","800","16.88K","0.85%"
"2024- 01- 18","823","880","880","806","16.49K","-7.42%"
"2024- 01- 17","889","829","899","828","1.79K","7.24%"
"2024- 01- 16","829","869","869","802","1.55K","-1.89%"
"2024- 01- 15","845","948","948","806","10.03K","-0.35%"
"2024- 01- 12","848","800","967","800","4.50K","-0.12%"
"2024- 01- 11","849","949","949","806","11.16K","1.07%"
"2024- 01- 10","840","930","930","823","15.17K","-1.29%"
"2024- 01- 09","851","820","944","820","84.67K","-10.33%"
"2024- 01- 08","949","910","986","900","5.72K","3.49%"
"2024- 01- 05","917","954","954","917","1.36K","-3.88%"
"2024- 01- 04","954","980","980","920","2.61K","-3.64%"
"2024- 01- 03","990","1,097","1,097","900","5.08K","0.30%"
"2024- 01- 02","987","1,027","1,027","987","1.14K","8.46%"
