"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","28,800","27,600","29,050","27,200","149.05K","4.73%"
"2024- 05- 07","27,500","27,600","27,800","27,150","85.80K","1.10%"
"2024- 05- 03","27,200","27,350","27,600","27,050","78.29K","0.00%"
"2024- 05- 02","27,200","28,200","28,250","27,050","182.74K","-4.23%"
"2024- 04- 30","28,400","28,700","29,600","28,200","281.20K","0.00%"
"2024- 04- 29","28,400","28,400","28,850","27,850","140.67K","0.35%"
"2024- 04- 26","28,300","28,100","28,750","27,900","85.46K","1.43%"
"2024- 04- 25","27,900","28,550","29,350","27,900","94.49K","-3.29%"
"2024- 04- 24","28,850","29,150","29,350","28,400","152.05K","1.41%"
"2024- 04- 23","28,450","29,200","29,500","27,900","213.66K","0.35%"
"2024- 04- 22","28,350","26,100","28,750","26,100","245.05K","8.62%"
"2024- 04- 19","26,100","26,750","26,750","25,150","179.74K","-3.15%"
"2024- 04- 18","26,950","25,200","27,200","25,200","164.67K","5.89%"
"2024- 04- 17","25,450","25,950","26,350","25,450","160.44K","-1.36%"
"2024- 04- 16","25,800","26,550","26,700","25,500","192.36K","-3.73%"
"2024- 04- 15","26,800","27,400","27,700","26,550","203.96K","-4.46%"
"2024- 04- 12","28,050","28,200","29,200","27,650","183.88K","1.26%"
"2024- 04- 11","27,700","27,800","28,050","27,200","171.76K","-3.32%"
"2024- 04- 09","28,650","28,800","29,350","27,950","336.89K","-2.05%"
"2024- 04- 08","29,250","30,800","30,850","29,000","254.01K","-4.26%"
"2024- 04- 05","30,550","31,100","31,500","30,400","311.93K","-4.38%"
"2024- 04- 04","31,950","33,400","33,450","31,600","293.89K","-4.34%"
"2024- 04- 03","33,400","32,600","33,400","31,550","250.99K","4.70%"
"2024- 04- 02","31,900","34,700","34,700","31,900","360.88K","-6.18%"
"2024- 04- 01","34,000","31,700","34,000","31,500","335.64K","7.42%"
"2024- 03- 29","31,650","32,100","32,250","31,350","172.03K","-1.86%"
"2024- 03- 28","32,250","32,500","32,650","31,500","193.53K","0.94%"
"2024- 03- 27","31,950","33,050","33,100","31,300","354.47K","-3.03%"
"2024- 03- 26","32,950","35,200","35,600","32,950","372.93K","-5.04%"
"2024- 03- 25","34,700","35,450","35,500","33,700","265.28K","-1.28%"
"2024- 03- 22","35,150","35,000","36,450","34,300","580.99K","2.78%"
"2024- 03- 21","34,200","32,750","34,350","32,400","320.42K","6.05%"
"2024- 03- 20","32,250","33,300","33,350","32,250","205.75K","-3.15%"
"2024- 03- 19","33,300","33,950","33,950","33,050","221.91K","-2.49%"
"2024- 03- 18","34,150","34,100","34,650","33,150","322.12K","-0.73%"
"2024- 03- 17","34,400","34,400","34,400","34,400","","0.00%"
"2024- 03- 15","34,400","35,650","35,650","34,150","0.05K","-3.64%"
"2024- 03- 14","35,700","35,050","35,950","33,500","0.07K","2.29%"
"2024- 03- 13","34,900","33,900","35,650","33,850","1.21M","5.60%"
"2024- 03- 12","33,050","30,400","33,250","30,300","0.50K","9.98%"
"2024- 03- 11","30,050","31,800","32,400","30,050","1.21K","-4.45%"
"2024- 03- 10","31,450","31,450","31,450","31,450","","0.00%"
"2024- 03- 08","31,450","32,000","32,100","30,650","254.46K","0.96%"
"2024- 03- 07","31,150","30,000","31,850","29,800","454.72K","5.59%"
"2024- 03- 06","29,500","28,800","31,000","28,400","280.76K","0.85%"
"2024- 03- 05","29,250","29,050","29,550","28,500","171.76K","0.69%"
"2024- 03- 04","29,050","30,150","30,400","29,000","289.08K","-1.86%"
"2024- 02- 29","29,600","29,900","30,300","29,250","141.08K","-1.33%"
"2024- 02- 28","30,000","30,400","30,800","29,950","0.01K","-0.83%"
"2024- 02- 27","30,250","32,500","32,500","29,900","0.02K","-7.77%"
"2024- 02- 26","32,800","34,400","34,900","32,550","0.00K","-4.09%"
"2024- 02- 25","34,200","34,200","34,200","34,200","","0.00%"
"2024- 02- 23","34,200","34,100","34,550","32,450","483.42K","1.63%"
"2024- 02- 22","33,650","32,300","33,800","31,700","565.66K","6.15%"
"2024- 02- 21","31,700","32,800","32,850","31,050","250.94K","-2.31%"
"2024- 02- 20","32,450","32,300","33,500","31,900","474.56K","1.09%"
"2024- 02- 19","32,100","32,700","33,400","31,900","0.31K","0.31%"
"2024- 02- 18","32,000","32,000","32,000","32,000","","0.00%"
"2024- 02- 16","32,000","32,700","34,500","31,450","987.34K","1.43%"
"2024- 02- 15","31,550","31,450","32,050","30,550","0.01K","1.94%"
"2024- 02- 14","30,950","29,400","32,400","29,400","655.62K","1.81%"
"2024- 02- 13","30,400","27,050","31,000","26,900","827.61K","13.43%"
"2024- 02- 08","26,800","26,850","27,300","26,600","296.47K","-0.19%"
"2024- 02- 07","26,850","27,550","27,550","26,350","0.05K","-1.47%"
"2024- 02- 06","27,250","28,150","28,200","26,650","426.40K","-3.20%"
"2024- 02- 05","28,150","28,950","29,300","27,900","0.83K","-3.92%"
"2024- 02- 04","29,300","29,300","29,300","29,300","","0.00%"
"2024- 02- 02","29,300","29,900","30,550","28,750","315.15K","1.03%"
"2024- 02- 01","29,000","28,500","29,450","28,050","340.35K","-0.51%"
"2024- 01- 31","29,150","29,700","29,900","29,000","0.10K","-2.18%"
"2024- 01- 30","29,800","30,650","30,800","29,300","0.01K","-1.65%"
"2024- 01- 29","30,300","31,100","31,100","29,900","0.02K","-2.88%"
"2024- 01- 28","31,200","31,200","31,200","31,200","","0.00%"
"2024- 01- 26","31,200","31,450","32,100","30,900","420.03K","-1.58%"
"2024- 01- 25","31,700","33,700","33,700","31,250","0.09K","-5.93%"
"2024- 01- 24","33,700","34,900","35,000","33,300","287.14K","-1.32%"
"2024- 01- 23","34,150","34,300","35,400","33,350","0.08K","3.17%"
"2024- 01- 22","33,100","32,850","33,300","32,100","0.08K","-0.30%"
"2024- 01- 21","33,200","33,200","33,200","33,200","","0.00%"
"2024- 01- 19","33,200","34,900","35,300","32,700","418.52K","-2.78%"
"2024- 01- 18","34,150","34,300","35,300","33,400","295.83K","-1.16%"
"2024- 01- 17","34,550","37,450","37,500","34,550","0.02K","-7.74%"
"2024- 01- 16","37,450","39,000","39,250","37,000","0.14K","-2.60%"
"2024- 01- 15","38,450","38,350","39,950","38,000","405.85K","2.12%"
"2024- 01- 14","37,650","37,650","37,650","37,650","","0.00%"
"2024- 01- 12","37,650","38,400","38,700","37,050","293.38K","-3.46%"
"2024- 01- 11","39,000","39,750","39,750","38,950","0.01K","-0.89%"
"2024- 01- 10","39,350","41,300","41,350","38,650","416.67K","-2.60%"
"2024- 01- 09","40,400","40,550","41,400","40,000","0.00K","2.93%"
"2024- 01- 08","39,250","37,300","40,450","36,900","869.67K","6.51%"
"2024- 01- 07","36,850","36,850","36,850","36,850","","0.00%"
"2024- 01- 05","36,850","36,750","37,250","36,100","316.67K","1.52%"
"2024- 01- 04","36,300","37,450","38,850","36,000","765.99K","-4.60%"
"2024- 01- 03","38,050","39,550","39,600","37,600","556.05K","-5.11%"
"2024- 01- 02","40,100","41,550","41,550","39,700","0.05K","-4.52%"
