"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","7,460","7,400","7,520","7,300","12.90K","0.81%"
"2024- 05- 07","7,400","7,470","7,470","7,280","14.94K","0.00%"
"2024- 05- 03","7,400","7,320","7,470","7,300","18.80K","1.09%"
"2024- 05- 02","7,320","7,300","7,370","7,200","12.60K","0.27%"
"2024- 04- 30","7,300","7,220","7,350","7,130","30.71K","1.25%"
"2024- 04- 29","7,210","7,120","7,240","6,980","14.54K","1.26%"
"2024- 04- 26","7,120","7,100","7,210","7,070","7.28K","0.28%"
"2024- 04- 25","7,100","7,050","7,150","7,000","13.78K","0.28%"
"2024- 04- 24","7,080","7,110","7,190","7,070","10.95K","-0.42%"
"2024- 04- 23","7,110","7,100","7,240","7,000","27.71K","0.14%"
"2024- 04- 22","7,100","7,160","7,250","6,990","11.23K","-0.98%"
"2024- 04- 19","7,170","7,060","7,700","6,960","69.37K","0.56%"
"2024- 04- 18","7,130","7,100","7,170","7,070","5.11K","0.71%"
"2024- 04- 17","7,080","7,270","7,400","7,080","19.60K","-3.80%"
"2024- 04- 16","7,360","7,320","7,550","7,070","16.93K","-0.14%"
"2024- 04- 15","7,370","7,100","7,440","7,040","14.99K","1.10%"
"2024- 04- 12","7,290","7,330","7,480","7,240","12.04K","-0.68%"
"2024- 04- 11","7,340","7,120","7,390","7,020","12.54K","1.10%"
"2024- 04- 09","7,260","7,060","7,280","7,060","18.61K","1.54%"
"2024- 04- 08","7,150","7,140","7,160","7,010","7.70K","0.14%"
"2024- 04- 05","7,140","7,150","7,170","7,010","20.48K","-1.11%"
"2024- 04- 04","7,220","7,270","7,400","6,750","26.98K","-0.96%"
"2024- 04- 03","7,290","7,410","7,410","7,110","12.77K","-1.62%"
"2024- 04- 02","7,410","7,720","7,720","7,280","20.79K","-1.20%"
"2024- 04- 01","7,500","7,280","7,540","7,270","10.23K","2.88%"
"2024- 03- 29","7,290","7,610","7,650","7,200","15.90K","-4.20%"
"2024- 03- 28","7,610","7,360","7,700","7,300","24.72K","3.40%"
"2024- 03- 27","7,360","7,330","7,370","7,240","10.01K","0.41%"
"2024- 03- 26","7,330","7,290","7,390","7,240","10.57K","-0.81%"
"2024- 03- 25","7,390","7,330","7,460","7,280","5.95K","-0.14%"
"2024- 03- 22","7,400","7,320","7,440","7,070","19.00K","1.09%"
"2024- 03- 21","7,320","7,180","7,340","7,170","9.97K","0.55%"
"2024- 03- 20","7,280","7,300","7,470","7,150","14.26K","-0.27%"
"2024- 03- 19","7,300","7,310","7,380","7,210","10.82K","-0.27%"
"2024- 03- 18","7,320","7,050","7,400","7,050","12.65K","4.87%"
"2024- 03- 15","6,980","7,360","7,420","6,980","47.99K","-4.64%"
"2024- 03- 14","7,320","7,300","7,330","7,170","21.03K","0.69%"
"2024- 03- 13","7,270","7,310","7,350","7,160","18.16K","-0.55%"
"2024- 03- 12","7,310","7,480","7,480","7,300","26.66K","-1.75%"
"2024- 03- 11","7,440","7,490","7,590","7,430","8.37K","-2.11%"
"2024- 03- 08","7,600","7,460","7,700","7,300","26.82K","2.43%"
"2024- 03- 07","7,420","7,720","7,840","7,420","23.11K","-3.64%"
"2024- 03- 06","7,700","7,680","7,820","7,550","21.35K","-0.52%"
"2024- 03- 05","7,740","7,580","7,810","7,480","29.43K","1.71%"
"2024- 03- 04","7,610","7,720","7,720","7,610","13.58K","-1.42%"
"2024- 02- 29","7,720","7,740","7,850","7,630","12.34K","-1.15%"
"2024- 02- 28","7,810","7,580","7,860","7,550","18.09K","3.03%"
"2024- 02- 27","7,580","7,770","7,780","7,580","18.66K","-3.19%"
"2024- 02- 26","7,830","7,730","7,970","7,730","28.39K","-1.51%"
"2024- 02- 23","7,950","8,010","8,100","7,900","20.04K","-0.87%"
"2024- 02- 22","8,020","8,000","8,050","7,870","11.12K","0.25%"
"2024- 02- 21","8,000","8,070","8,070","7,850","16.17K","-0.37%"
"2024- 02- 20","8,030","8,070","8,070","7,900","14.19K","-0.12%"
"2024- 02- 19","8,040","8,100","8,100","7,960","17.73K","0.63%"
"2024- 02- 16","7,990","8,010","8,100","7,920","13.68K","-0.25%"
"2024- 02- 15","8,010","8,140","8,160","7,950","12.27K","-0.99%"
"2024- 02- 14","8,090","7,800","8,130","7,770","17.48K","1.51%"
"2024- 02- 13","7,970","7,760","8,000","7,720","24.38K","3.24%"
"2024- 02- 08","7,720","7,660","7,780","7,650","7.26K","0.26%"
"2024- 02- 07","7,700","7,520","7,730","7,290","22.31K","1.45%"
"2024- 02- 06","7,590","7,580","7,600","7,400","15.49K","0.13%"
"2024- 02- 05","7,580","7,740","7,750","7,520","12.43K","-1.17%"
"2024- 02- 02","7,670","7,670","7,900","7,670","15.09K","0.52%"
"2024- 02- 01","7,630","7,540","7,930","7,540","25.65K","0.13%"
"2024- 01- 31","7,620","7,730","7,830","7,590","24.41K","-2.18%"
"2024- 01- 30","7,790","7,800","7,950","7,620","35.96K","0.39%"
"2024- 01- 29","7,760","8,100","8,170","7,760","36.59K","-3.96%"
"2024- 01- 26","8,080","8,100","8,160","7,910","22.67K","-0.25%"
"2024- 01- 25","8,100","8,150","8,300","8,000","60.05K","-0.98%"
"2024- 01- 24","8,180","8,260","8,260","8,080","34.13K","-0.97%"
"2024- 01- 23","8,260","8,040","8,350","8,020","65.75K","1.60%"
"2024- 01- 22","8,130","8,100","8,300","8,100","0.02K","0.74%"
"2024- 01- 19","8,070","8,110","8,250","7,980","70.87K","1.25%"
"2024- 01- 18","7,970","7,780","8,100","7,580","53.85K","2.31%"
"2024- 01- 17","7,790","7,990","7,990","7,690","23.75K","-2.01%"
"2024- 01- 16","7,950","8,030","8,120","7,810","32.75K","-0.63%"
"2024- 01- 15","8,000","8,050","8,070","7,800","26.26K","-0.25%"
"2024- 01- 12","8,020","8,020","8,120","7,800","34.29K","0.12%"
"2024- 01- 11","8,010","8,030","8,170","7,950","23.87K","-0.12%"
"2024- 01- 10","8,020","8,210","8,210","8,010","29.93K","-2.55%"
"2024- 01- 09","8,230","8,160","8,320","8,050","56.12K","1.48%"
"2024- 01- 08","8,110","7,790","8,360","7,750","0.30K","5.05%"
"2024- 01- 05","7,720","7,520","7,740","7,520","37.66K","1.85%"
"2024- 01- 04","7,580","7,590","7,690","7,470","14.64K","-0.39%"
"2024- 01- 03","7,610","7,480","7,630","7,470","17.12K","0.93%"
"2024- 01- 02","7,540","7,370","7,550","7,360","21.33K","2.45%"
