"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","7,700","7,780","7,850","7,610","145.60K","-1.28%"
"2024- 05- 07","7,800","7,670","7,930","7,610","404.02K","3.72%"
"2024- 05- 03","7,520","7,410","7,730","7,340","519.55K","3.87%"
"2024- 05- 02","7,240","7,210","7,280","7,090","66.84K","0.42%"
"2024- 04- 30","7,210","7,220","7,390","7,200","81.20K","-1.64%"
"2024- 04- 29","7,330","7,200","7,350","7,200","153.61K","2.37%"
"2024- 04- 26","7,160","6,850","7,480","6,850","673.29K","4.68%"
"2024- 04- 25","6,840","6,920","6,980","6,830","68.17K","-2.01%"
"2024- 04- 24","6,980","6,710","7,010","6,710","99.75K","4.49%"
"2024- 04- 23","6,680","6,650","6,850","6,650","49.63K","-0.30%"
"2024- 04- 22","6,700","6,670","6,790","6,640","52.49K","0.75%"
"2024- 04- 19","6,650","6,900","6,900","6,550","97.96K","-3.62%"
"2024- 04- 18","6,900","6,680","6,920","6,680","37.53K","2.07%"
"2024- 04- 17","6,760","6,660","6,950","6,660","43.13K","1.50%"
"2024- 04- 16","6,660","6,870","6,890","6,600","122.60K","-4.03%"
"2024- 04- 15","6,940","6,910","6,970","6,840","78.53K","-1.98%"
"2024- 04- 12","7,080","7,130","7,230","7,020","70.00K","0.00%"
"2024- 04- 11","7,080","6,840","7,110","6,760","88.46K","2.61%"
"2024- 04- 09","6,900","6,860","7,010","6,860","75.51K","-0.58%"
"2024- 04- 08","6,940","7,170","7,220","6,900","130.15K","-3.21%"
"2024- 04- 05","7,170","7,330","7,330","7,090","119.32K","-1.92%"
"2024- 04- 04","7,310","7,400","7,520","7,270","71.43K","0.00%"
"2024- 04- 03","7,310","7,540","7,540","7,300","134.43K","-2.79%"
"2024- 04- 02","7,520","7,830","7,900","7,500","163.76K","-3.71%"
"2024- 04- 01","7,810","7,700","8,000","7,640","393.58K","4.41%"
"2024- 03- 29","7,480","7,660","7,680","7,470","83.06K","-1.97%"
"2024- 03- 28","7,630","7,640","7,840","7,620","69.41K","0.00%"
"2024- 03- 27","7,630","7,710","7,730","7,550","90.96K","-1.04%"
"2024- 03- 26","7,710","7,430","8,110","7,430","716.65K","3.21%"
"2024- 03- 25","7,470","7,490","7,600","7,410","86.95K","0.00%"
"2024- 03- 22","7,470","7,650","7,820","7,440","133.63K","-2.73%"
