"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","13,090.00","13,100.00","13,270.00","13,010.00","58.81K","-0.30%"
"2024- 05- 07","13,130.00","13,250.00","13,490.00","12,970.00","76.77K","-0.91%"
"2024- 05- 03","13,250.00","13,490.00","13,490.00","13,150.00","75.37K","-1.78%"
"2024- 05- 02","13,490.00","13,300.00","13,520.00","13,210.00","74.99K","1.05%"
"2024- 04- 30","13,350.00","13,320.00","13,650.00","13,210.00","163.01K","1.14%"
"2024- 04- 29","13,200.00","12,720.00","13,450.00","12,710.00","178.59K","2.80%"
"2024- 04- 26","12,840.00","12,450.00","14,820.00","12,450.00","1.58M","3.46%"
"2024- 04- 25","12,410.00","12,560.00","12,560.00","12,280.00","73.68K","-1.66%"
"2024- 04- 24","12,620.00","12,500.00","12,900.00","12,320.00","170.50K","3.61%"
"2024- 04- 23","12,180.00","12,050.00","12,260.00","11,950.00","84.00K","1.08%"
"2024- 04- 22","12,050.00","11,990.00","12,320.00","11,980.00","49.87K","0.00%"
"2024- 04- 19","12,050.00","12,370.00","12,370.00","11,640.00","117.04K","-2.59%"
"2024- 04- 18","12,370.00","12,110.00","12,490.00","12,110.00","59.27K","0.98%"
"2024- 04- 17","12,250.00","12,130.00","12,380.00","12,060.00","77.56K","0.08%"
"2024- 04- 16","12,240.00","12,190.00","12,330.00","11,980.00","93.81K","-1.45%"
"2024- 04- 15","12,420.00","12,680.00","12,680.00","12,210.00","92.85K","-2.89%"
"2024- 04- 12","12,790.00","13,100.00","13,140.00","12,710.00","89.95K","-1.62%"
"2024- 04- 11","13,000.00","13,180.00","13,200.00","12,870.00","68.18K","-2.11%"
"2024- 04- 09","13,280.00","13,010.00","13,600.00","13,010.00","65.75K","1.53%"
"2024- 04- 08","13,080.00","13,780.00","13,820.00","13,060.00","109.36K","-5.08%"
"2024- 04- 05","13,780.00","13,740.00","14,140.00","13,530.00","113.54K","0.29%"
"2024- 04- 04","13,740.00","13,640.00","13,860.00","13,640.00","48.39K","0.73%"
"2024- 04- 03","13,640.00","14,180.00","14,180.00","13,530.00","145.55K","-3.88%"
"2024- 04- 02","14,190.00","14,850.00","14,850.00","14,100.00","183.98K","-4.77%"
"2024- 04- 01","14,900.00","14,250.00","14,940.00","14,250.00","151.83K","4.56%"
"2024- 03- 29","14,250.00","14,240.00","14,370.00","14,130.00","71.91K","0.07%"
"2024- 03- 28","14,240.00","14,810.00","14,810.00","14,230.00","171.51K","-3.13%"
"2024- 03- 27","14,700.00","15,000.00","15,060.00","14,680.00","139.00K","-2.07%"
"2024- 03- 26","15,010.00","15,090.00","15,240.00","14,900.00","109.17K","-0.46%"
"2024- 03- 25","15,080.00","15,180.00","15,250.00","15,020.00","67.35K","-1.11%"
"2024- 03- 22","15,250.00","15,110.00","15,290.00","15,020.00","68.80K","1.19%"
"2024- 03- 21","15,070.00","15,390.00","15,450.00","15,010.00","148.74K","-2.27%"
