"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","2,170.00","2,150.00","2,175.00","2,125.00","170.75K","0.93%"
"2024- 05- 07","2,150.00","2,145.00","2,160.00","2,125.00","190.52K","0.23%"
"2024- 05- 03","2,145.00","2,140.00","2,280.00","2,110.00","1.69M","0.23%"
"2024- 05- 02","2,140.00","2,105.00","2,180.00","2,050.00","366.64K","1.42%"
"2024- 04- 30","2,110.00","2,105.00","2,145.00","2,075.00","143.68K","-0.24%"
"2024- 04- 29","2,115.00","2,060.00","2,115.00","2,060.00","207.17K","2.67%"
"2024- 04- 26","2,060.00","2,060.00","2,090.00","2,040.00","156.55K","0.24%"
"2024- 04- 25","2,055.00","2,045.00","2,100.00","2,045.00","170.99K","-0.48%"
"2024- 04- 24","2,065.00","2,040.00","2,070.00","2,035.00","185.85K","1.72%"
"2024- 04- 23","2,030.00","2,080.00","2,100.00","2,020.00","302.66K","-1.93%"
"2024- 04- 22","2,070.00","2,060.00","2,105.00","2,050.00","276.40K","0.49%"
"2024- 04- 19","2,060.00","2,065.00","2,140.00","2,000.00","701.88K","-0.24%"
"2024- 04- 18","2,065.00","2,070.00","2,090.00","2,050.00","156.36K","0.49%"
"2024- 04- 17","2,055.00","2,020.00","2,200.00","2,020.00","1.24M","1.99%"
"2024- 04- 16","2,015.00","2,080.00","2,095.00","2,015.00","192.00K","-3.13%"
"2024- 04- 15","2,080.00","2,040.00","2,105.00","2,040.00","150.42K","0.00%"
"2024- 04- 12","2,080.00","2,060.00","2,095.00","2,050.00","138.00K","1.22%"
"2024- 04- 11","2,055.00","2,045.00","2,095.00","2,015.00","187.88K","-0.72%"
"2024- 04- 09","2,070.00","2,070.00","2,105.00","2,055.00","155.91K","-0.48%"
"2024- 04- 08","2,080.00","2,165.00","2,165.00","2,075.00","273.83K","-3.26%"
"2024- 04- 05","2,150.00","2,120.00","2,170.00","2,110.00","244.26K","0.47%"
"2024- 04- 04","2,140.00","2,150.00","2,175.00","2,125.00","238.87K","-0.70%"
"2024- 04- 03","2,155.00","2,190.00","2,200.00","2,130.00","300.75K","-2.05%"
"2024- 04- 02","2,200.00","2,230.00","2,230.00","2,175.00","217.00K","-1.12%"
"2024- 04- 01","2,225.00","2,155.00","2,230.00","2,155.00","330.25K","3.73%"
"2024- 03- 29","2,145.00","2,205.00","2,280.00","2,140.00","660.22K","-2.94%"
"2024- 03- 28","2,210.00","2,230.00","2,250.00","2,205.00","243.53K","-0.90%"
"2024- 03- 27","2,230.00","2,215.00","2,280.00","2,200.00","511.09K","0.45%"
"2024- 03- 26","2,220.00","2,260.00","2,295.00","2,220.00","669.70K","-0.67%"
"2024- 03- 25","2,235.00","2,205.00","2,285.00","2,205.00","707.76K","0.22%"
"2024- 03- 22","2,230.00","2,290.00","2,485.00","2,230.00","9.16M","1.83%"
"2024- 03- 21","2,190.00","2,200.00","2,225.00","2,170.00","565.34K","-1.35%"
"2024- 03- 20","2,220.00","2,235.00","2,260.00","2,150.00","1.15M","-0.89%"
"2024- 03- 19","2,240.00","2,270.00","2,375.00","2,205.00","2.13M","-2.61%"
"2024- 03- 18","2,300.00","2,190.00","2,570.00","2,140.00","17.38M","7.23%"
"2024- 03- 15","2,145.00","2,110.00","2,195.00","2,095.00","162.23K","0.70%"
"2024- 03- 14","2,130.00","2,110.00","2,160.00","2,105.00","82.22K","0.00%"
"2024- 03- 13","2,130.00","2,105.00","2,130.00","2,090.00","125.50K","0.95%"
"2024- 03- 12","2,110.00","2,140.00","2,140.00","2,095.00","216.39K","-1.40%"
"2024- 03- 11","2,140.00","2,135.00","2,150.00","2,110.00","129.64K","0.23%"
"2024- 03- 08","2,135.00","2,125.00","2,155.00","2,075.00","272.81K","0.23%"
"2024- 03- 07","2,130.00","2,125.00","2,140.00","2,100.00","151.42K","-0.47%"
"2024- 03- 06","2,140.00","2,140.00","2,145.00","2,110.00","150.76K","-0.23%"
"2024- 03- 05","2,145.00","2,180.00","2,185.00","2,115.00","222.65K","-1.38%"
"2024- 03- 04","2,175.00","2,150.00","2,175.00","2,140.00","182.59K","1.87%"
"2024- 02- 29","2,135.00","2,180.00","2,205.00","2,135.00","347.53K","-1.39%"
"2024- 02- 28","2,165.00","2,190.00","2,205.00","2,150.00","222.92K","-1.14%"
"2024- 02- 27","2,190.00","2,215.00","2,215.00","2,150.00","0.60K","-1.57%"
"2024- 02- 26","2,225.00","2,235.00","2,255.00","2,195.00","142.48K","0.23%"
"2024- 02- 23","2,220.00","2,250.00","2,265.00","2,190.00","238.27K","-0.67%"
