"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","6,130","6,120","6,170","6,100","3.27K","0.00%"
"2024- 05- 07","6,130","6,170","6,180","6,060","9.01K","-0.33%"
"2024- 05- 03","6,150","6,060","6,160","6,060","3.27K","-0.16%"
"2024- 05- 02","6,160","6,110","6,190","6,110","3.39K","0.16%"
"2024- 04- 30","6,150","6,170","6,210","6,080","7.79K","-0.32%"
"2024- 04- 29","6,170","6,210","6,210","6,120","4.49K","-0.96%"
"2024- 04- 26","6,230","6,210","6,250","6,160","4.10K","0.32%"
"2024- 04- 25","6,210","6,240","6,290","6,170","1.92K","-0.80%"
"2024- 04- 24","6,260","6,240","6,260","6,160","3.57K","0.32%"
"2024- 04- 23","6,240","6,090","6,250","6,040","8.46K","2.46%"
"2024- 04- 22","6,090","6,120","6,150","6,030","3.92K","0.00%"
"2024- 04- 19","6,090","6,070","6,140","5,980","7.46K","-1.77%"
"2024- 04- 18","6,200","6,080","6,290","5,760","20.83K","1.97%"
"2024- 04- 17","6,080","6,040","6,110","6,020","7.27K","0.66%"
"2024- 04- 16","6,040","6,320","6,320","6,000","18.89K","-4.43%"
"2024- 04- 15","6,320","6,340","6,370","6,200","2.25K","-0.32%"
"2024- 04- 12","6,340","6,300","6,340","6,190","6.64K","0.63%"
"2024- 04- 11","6,300","6,450","6,480","6,100","52.52K","-2.78%"
"2024- 04- 09","6,480","6,500","6,570","6,400","5.74K","-0.31%"
"2024- 04- 08","6,500","6,640","6,640","6,450","10.64K","-2.11%"
"2024- 04- 05","6,640","6,630","6,650","6,510","8.50K","0.15%"
"2024- 04- 04","6,630","6,610","6,680","6,590","6.05K","-0.30%"
"2024- 04- 03","6,650","6,630","6,670","6,550","4.24K","0.30%"
"2024- 04- 02","6,630","6,740","6,740","6,630","2.21K","-1.63%"
"2024- 04- 01","6,740","6,760","6,760","6,600","11.40K","-0.30%"
"2024- 03- 29","6,760","6,840","6,850","6,710","7.18K","-1.17%"
"2024- 03- 28","6,840","6,850","6,870","6,730","8.38K","-0.44%"
"2024- 03- 27","6,870","6,830","6,900","6,810","10.64K","-0.15%"
"2024- 03- 26","6,880","6,880","6,910","6,800","16.48K","-0.29%"
"2024- 03- 25","6,900","6,860","6,940","6,790","15.81K","0.58%"
"2024- 03- 22","6,860","6,860","6,860","6,740","19.45K","0.73%"
"2024- 03- 21","6,810","6,720","6,810","6,700","19.67K","1.34%"
"2024- 03- 20","6,720","6,690","6,750","6,600","13.51K","0.00%"
"2024- 03- 19","6,720","6,720","6,750","6,600","7.58K","0.00%"
"2024- 03- 18","6,720","6,610","6,740","6,550","11.50K","1.05%"
"2024- 03- 15","6,650","6,610","6,690","6,520","1.85K","-0.60%"
"2024- 03- 14","6,690","6,780","6,810","6,470","38.46K","-1.47%"
"2024- 03- 13","6,790","6,890","6,960","6,400","49.33K","-2.44%"
"2024- 03- 12","6,960","6,750","7,460","6,750","174.07K","3.11%"
"2024- 03- 11","6,750","6,760","6,780","6,640","16.96K","-0.15%"
"2024- 03- 08","6,760","6,720","6,770","6,660","11.92K","0.90%"
"2024- 03- 07","6,700","6,690","6,740","6,640","19.69K","0.45%"
"2024- 03- 06","6,670","6,630","6,670","6,560","11.82K","0.60%"
"2024- 03- 05","6,630","6,610","6,640","6,540","9.43K","0.30%"
"2024- 03- 04","6,610","6,500","6,640","6,480","10.23K","0.76%"
"2024- 02- 29","6,560","6,480","6,600","6,350","5.97K","0.61%"
"2024- 02- 28","6,520","6,320","6,520","6,320","4.73K","2.19%"
"2024- 02- 27","6,380","6,480","6,500","6,370","7.88K","-1.54%"
"2024- 02- 26","6,480","6,570","6,610","6,400","4.94K","-2.41%"
"2024- 02- 23","6,640","6,650","6,700","6,520","18.78K","-0.15%"
"2024- 02- 22","6,650","6,590","6,720","6,400","15.77K","0.91%"
"2024- 02- 21","6,590","6,530","6,600","6,440","9.65K","0.92%"
"2024- 02- 20","6,530","6,550","6,550","6,440","9.36K","-0.31%"
"2024- 02- 19","6,550","6,500","6,560","6,400","5.22K","0.15%"
"2024- 02- 16","6,540","6,530","6,600","6,430","7.16K","0.15%"
"2024- 02- 15","6,530","6,460","6,530","6,420","4.96K","1.08%"
"2024- 02- 14","6,460","6,430","6,470","6,400","9.42K","-0.15%"
"2024- 02- 13","6,470","6,430","6,520","6,320","7.12K","0.62%"
"2024- 02- 08","6,430","6,420","6,430","6,330","3.94K","0.78%"
"2024- 02- 07","6,380","6,370","6,400","6,250","9.27K","0.63%"
"2024- 02- 06","6,340","6,380","6,380","6,300","2.15K","-0.31%"
"2024- 02- 05","6,360","6,330","6,380","6,210","10.80K","0.79%"
"2024- 02- 02","6,310","6,360","6,420","6,240","19.65K","-0.79%"
