"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","9,230.00","9,180.00","9,230.00","8,910.00","98.62K","0.33%"
"2024- 05- 07","9,200.00","9,180.00","9,480.00","9,170.00","171.11K","2.45%"
"2024- 05- 03","8,980.00","8,660.00","9,300.00","8,550.00","164.80K","5.15%"
"2024- 05- 02","8,540.00","8,680.00","8,740.00","8,460.00","57.38K","-1.73%"
"2024- 04- 30","8,690.00","8,660.00","8,790.00","8,550.00","43.73K","-0.46%"
"2024- 04- 29","8,730.00","8,610.00","8,880.00","8,590.00","30.05K","1.39%"
"2024- 04- 26","8,610.00","8,920.00","9,070.00","8,580.00","68.30K","-3.48%"
"2024- 04- 25","8,920.00","9,040.00","9,050.00","8,800.00","52.21K","-1.65%"
"2024- 04- 24","9,070.00","9,060.00","9,110.00","9,000.00","19.88K","0.55%"
"2024- 04- 23","9,020.00","9,010.00","9,250.00","8,920.00","41.28K","0.11%"
"2024- 04- 22","9,010.00","9,010.00","9,110.00","8,880.00","36.84K","-0.11%"
"2024- 04- 19","9,020.00","9,290.00","9,440.00","8,880.00","101.64K","-2.17%"
"2024- 04- 18","9,220.00","9,000.00","9,360.00","9,000.00","41.02K","2.90%"
"2024- 04- 17","8,960.00","9,310.00","9,320.00","8,500.00","194.72K","-3.66%"
"2024- 04- 16","9,300.00","9,370.00","9,500.00","9,160.00","45.72K","-1.27%"
"2024- 04- 15","9,420.00","9,320.00","9,500.00","9,070.00","39.15K","0.21%"
"2024- 04- 12","9,400.00","9,280.00","9,510.00","9,220.00","30.06K","1.29%"
"2024- 04- 11","9,280.00","9,280.00","9,320.00","9,120.00","18.76K","-1.07%"
"2024- 04- 09","9,380.00","9,380.00","9,450.00","9,270.00","18.88K","0.00%"
"2024- 04- 08","9,380.00","9,660.00","9,660.00","9,300.00","44.99K","-2.80%"
"2024- 04- 05","9,650.00","9,020.00","9,650.00","8,990.00","79.31K","5.58%"
"2024- 04- 04","9,140.00","9,370.00","9,370.00","9,130.00","24.40K","-1.51%"
"2024- 04- 03","9,280.00","9,340.00","9,340.00","9,090.00","31.27K","-0.75%"
"2024- 04- 02","9,350.00","9,600.00","9,600.00","9,250.00","33.21K","-1.99%"
"2024- 04- 01","9,540.00","9,140.00","9,680.00","9,140.00","70.30K","4.38%"
"2024- 03- 29","9,140.00","9,580.00","9,580.00","9,110.00","65.85K","-3.89%"
"2024- 03- 28","9,510.00","9,590.00","9,700.00","9,320.00","60.88K","-0.94%"
"2024- 03- 27","9,600.00","9,370.00","9,600.00","9,270.00","50.58K","2.45%"
"2024- 03- 26","9,370.00","9,320.00","9,600.00","9,260.00","38.91K","0.43%"
"2024- 03- 25","9,330.00","9,300.00","9,380.00","9,070.00","49.43K","0.11%"
"2024- 03- 22","9,320.00","9,000.00","9,410.00","9,000.00","94.21K","3.90%"
"2024- 03- 21","8,970.00","9,200.00","9,230.00","8,880.00","104.54K","-1.43%"
"2024- 03- 20","9,100.00","9,160.00","9,300.00","9,060.00","40.65K","-0.66%"
"2024- 03- 19","9,160.00","9,250.00","9,370.00","9,090.00","62.94K","-0.76%"
"2024- 03- 18","9,230.00","9,190.00","9,390.00","9,070.00","50.66K","0.54%"
"2024- 03- 15","9,180.00","9,270.00","9,270.00","9,080.00","47.87K","-0.97%"
"2024- 03- 14","9,270.00","9,700.00","9,770.00","9,210.00","62.03K","-2.93%"
"2024- 03- 13","9,550.00","9,270.00","9,580.00","9,090.00","65.11K","4.03%"
"2024- 03- 12","9,180.00","9,150.00","9,280.00","9,070.00","46.55K","-0.54%"
"2024- 03- 11","9,230.00","9,760.00","9,760.00","9,060.00","140.98K","-5.33%"
"2024- 03- 08","9,750.00","9,250.00","9,830.00","9,140.00","119.91K","7.03%"
"2024- 03- 07","9,110.00","9,340.00","9,400.00","8,990.00","94.50K","-2.04%"
"2024- 03- 06","9,300.00","9,390.00","9,390.00","9,150.00","50.29K","-1.38%"
"2024- 03- 05","9,430.00","9,300.00","9,570.00","9,170.00","54.40K","0.43%"
"2024- 03- 04","9,390.00","9,190.00","9,490.00","9,140.00","76.95K","3.41%"
"2024- 02- 29","9,080.00","9,060.00","9,180.00","8,930.00","71.95K","0.11%"
"2024- 02- 28","9,070.00","9,370.00","9,380.00","8,990.00","108.72K","-2.89%"
"2024- 02- 27","9,340.00","9,550.00","9,560.00","9,100.00","0.00K","-1.79%"
"2024- 02- 26","9,510.00","9,480.00","9,730.00","9,320.00","77.92K","-0.73%"
"2024- 02- 25","9,580.00","9,580.00","9,580.00","9,580.00","","0.00%"
"2024- 02- 23","9,580.00","10,240.00","10,300.00","9,460.00","249.16K","-6.45%"
"2024- 02- 22","10,240.00","10,100.00","10,280.00","9,880.00","94.75K","1.89%"
"2024- 02- 21","10,050.00","10,370.00","10,440.00","9,990.00","154.64K","-4.19%"
"2024- 02- 20","10,490.00","10,530.00","10,850.00","10,350.00","139.03K","0.67%"
"2024- 02- 19","10,420.00","10,510.00","10,590.00","10,150.00","85.03K","0.29%"
"2024- 02- 18","10,390.00","10,390.00","10,390.00","10,390.00","","0.00%"
"2024- 02- 16","10,390.00","10,550.00","11,100.00","10,020.00","233.17K","-0.10%"
"2024- 02- 15","10,400.00","10,100.00","10,580.00","10,000.00","190.45K","3.69%"
"2024- 02- 14","10,030.00","10,360.00","10,410.00","9,600.00","417.40K","-7.13%"
"2024- 02- 13","10,800.00","10,300.00","10,840.00","10,300.00","145.02K","5.06%"
"2024- 02- 08","10,280.00","10,420.00","10,490.00","10,080.00","148.80K","-1.06%"
"2024- 02- 07","10,390.00","10,550.00","10,590.00","10,170.00","0.05K","-1.42%"
"2024- 02- 06","10,540.00","10,400.00","10,850.00","10,090.00","161.79K","0.48%"
"2024- 02- 05","10,490.00","11,080.00","11,120.00","10,300.00","0.05K","-4.29%"
"2024- 02- 02","10,960.00","10,980.00","11,550.00","10,670.00","225.44K","-0.18%"
