"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 30","10,080","10,250","10,470","9,960","1.70M","-1.18%"
"2024- 04- 29","10,200","9,890","10,590","9,840","3.16M","3.13%"
"2024- 04- 26","9,890","9,720","10,080","9,670","1.05M","2.38%"
"2024- 04- 25","9,660","10,100","10,100","9,580","1.64M","-3.59%"
"2024- 04- 24","10,020","10,200","10,200","9,980","1.06M","-0.60%"
"2024- 04- 23","10,080","9,860","10,230","9,750","1.62M","3.17%"
"2024- 04- 22","9,770","10,300","10,320","9,700","1.65M","-2.69%"
"2024- 04- 19","10,040","9,920","10,370","9,570","3.01M","1.72%"
"2024- 04- 18","9,870","9,750","10,140","9,680","1.63M","1.75%"
"2024- 04- 17","9,700","9,520","9,890","9,510","1.52M","2.00%"
"2024- 04- 16","9,510","9,450","9,650","9,310","1.72M","-2.26%"
"2024- 04- 15","9,730","9,800","9,980","9,410","2.31M","-2.80%"
"2024- 04- 12","10,010","10,100","10,360","10,000","1.72M","0.30%"
"2024- 04- 11","9,980","10,210","10,330","9,930","1.39M","-3.57%"
"2024- 04- 09","10,350","9,870","10,480","9,790","3.01M","5.29%"
"2024- 04- 08","9,830","10,070","10,100","9,800","1.49M","-2.48%"
"2024- 04- 05","10,080","10,150","10,300","9,940","1.98M","-1.66%"
"2024- 04- 04","10,250","10,550","10,800","10,240","2.98M","-3.76%"
"2024- 04- 03","10,650","10,360","10,890","10,180","5.03M","2.80%"
"2024- 04- 02","10,360","11,730","11,790","10,300","6.72M","-11.68%"
"2024- 04- 01","11,730","10,920","12,030","10,700","13.64M","8.01%"
"2024- 03- 29","10,860","10,900","11,360","10,650","7.39M","-0.18%"
"2024- 03- 28","10,880","10,230","11,150","10,200","11.84M","7.30%"
"2024- 03- 27","10,140","10,580","11,200","10,130","14.34M","-2.03%"
"2024- 03- 26","10,350","10,190","10,520","9,910","11.01M","0.00%"
"2024- 03- 25","10,350","9,660","10,780","9,070","35.40M","10.81%"
"2024- 03- 22","9,340","8,250","9,340","8,140","5.16M","12.12%"
"2024- 03- 21","8,330","8,340","8,520","8,240","1.87M","0.36%"
"2024- 03- 20","8,300","8,540","8,690","8,080","3.25M","-2.81%"
"2024- 03- 19","8,540","9,300","9,440","8,500","5.21M","-4.47%"
"2024- 03- 18","8,940","8,900","9,160","8,820","3.87M","-3.04%"
"2024- 03- 17","9,220","9,220","9,220","9,220","","0.00%"
"2024- 03- 15","9,220","10,350","10,350","8,920","0.05K","-1.91%"
"2024- 03- 14","9,400","9,010","9,500","8,850","0.05K","10.85%"
"2024- 03- 13","8,480","7,610","8,750","7,500","0.02K","12.32%"
"2024- 03- 12","7,550","7,260","7,560","7,070","1.54M","4.43%"
"2024- 03- 11","7,230","7,270","7,410","7,180","692.24K","0.42%"
"2024- 03- 08","7,200","7,200","7,290","7,100","1.11M","0.00%"
"2024- 03- 07","7,200","7,650","7,670","7,200","1.28M","-5.88%"
"2024- 03- 06","7,650","7,660","7,750","7,360","888.92K","1.19%"
"2024- 03- 05","7,560","7,520","7,980","7,460","898.29K","0.00%"
"2024- 03- 04","7,560","7,390","7,780","7,150","2.06M","3.28%"
"2024- 03- 03","7,320","7,320","7,320","7,320","","0.00%"
"2024- 02- 29","7,320","7,560","7,610","7,300","990.60K","-3.05%"
"2024- 02- 28","7,550","7,720","7,890","7,510","1.16M","-3.33%"
"2024- 02- 27","7,810","8,190","8,190","7,800","0.08K","-4.76%"
"2024- 02- 26","8,200","8,250","8,290","8,060","0.01K","0.61%"
"2024- 02- 23","8,150","8,100","8,250","7,940","930.20K","0.62%"
"2024- 02- 22","8,100","8,040","8,110","7,910","0.02K","0.87%"
"2024- 02- 21","8,030","8,000","8,260","7,940","912.36K","0.25%"
"2024- 02- 20","8,010","8,030","8,150","7,860","0.01K","-0.37%"
"2024- 02- 19","8,040","8,230","8,390","8,000","836.24K","-0.74%"
"2024- 02- 18","8,100","8,100","8,100","8,100","","0.00%"
"2024- 02- 16","8,100","7,760","8,230","7,730","1.74M","4.11%"
"2024- 02- 15","7,780","7,500","8,040","7,400","2.41M","5.42%"
"2024- 02- 14","7,380","7,210","7,390","7,070","0.68K","0.68%"
"2024- 02- 13","7,330","7,130","7,390","7,110","760.03K","2.95%"
"2024- 02- 08","7,120","7,150","7,250","7,050","692.74K","-0.70%"
"2024- 02- 07","7,170","7,420","7,430","7,110","0.09K","-2.45%"
"2024- 02- 06","7,350","7,300","7,410","7,170","563.83K","0.14%"
"2024- 02- 05","7,340","7,560","7,580","7,340","0.00K","-2.52%"
"2024- 02- 02","7,530","7,430","7,730","7,420","727.53K","1.48%"
"2024- 02- 01","7,420","7,550","7,590","7,330","0.01K","-3.13%"
"2024- 01- 31","7,660","7,760","7,840","7,630","0.03K","-1.54%"
"2024- 01- 30","7,780","7,610","7,840","7,510","0.13K","3.32%"
"2024- 01- 29","7,530","8,000","8,000","7,400","2.28M","-5.99%"
"2024- 01- 26","8,010","8,400","8,410","7,880","1.27M","-4.42%"
"2024- 01- 25","8,380","8,200","8,400","8,150","0.32K","2.32%"
"2024- 01- 24","8,190","8,200","8,260","8,000","1.02M","0.12%"
"2024- 01- 23","8,180","8,260","8,480","8,120","0.10K","0.00%"
"2024- 01- 22","8,180","8,910","8,910","8,180","0.10K","-8.71%"
"2024- 01- 21","8,960","8,960","8,960","8,960","","0.00%"
"2024- 01- 19","8,960","9,260","9,300","8,900","1.46M","-3.03%"
"2024- 01- 18","9,240","8,860","9,320","8,860","895.36K","3.36%"
"2024- 01- 17","8,940","8,980","9,040","8,810","0.25K","-0.67%"
"2024- 01- 16","9,000","9,050","9,200","8,850","681.29K","-0.55%"
"2024- 01- 15","9,050","9,180","9,310","8,920","979.03K","-1.95%"
"2024- 01- 14","9,230","9,230","9,230","9,230","","0.00%"
"2024- 01- 12","9,230","9,400","9,540","9,100","1.05M","-2.74%"
"2024- 01- 11","9,490","9,300","9,730","9,260","0.75K","2.04%"
"2024- 01- 10","9,300","9,600","9,650","9,270","0.12K","-3.02%"
"2024- 01- 09","9,590","9,400","10,000","9,380","3.09M","2.68%"
"2024- 01- 08","9,340","9,350","9,500","9,110","0.00K","-0.21%"
"2024- 01- 07","9,360","9,360","9,360","9,360","","0.00%"
"2024- 01- 05","9,360","9,460","9,580","9,300","1.30M","-0.43%"
"2024- 01- 04","9,400","8,920","9,490","8,870","0.47K","4.79%"
"2024- 01- 03","8,970","8,510","9,040","8,440","0.02K","4.55%"
"2024- 01- 02","8,580","8,670","8,710","8,330","1.08M","0.94%"
