"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","4,380","4,385","4,470","4,280","60.50K","0.00%"
"2024- 05- 07","4,380","4,480","4,520","4,380","64.24K","-1.79%"
"2024- 05- 03","4,460","4,405","4,595","4,345","88.95K","1.36%"
"2024- 05- 02","4,400","4,335","4,465","4,280","75.57K","2.09%"
"2024- 04- 30","4,310","4,320","4,470","4,280","70.34K","-0.46%"
"2024- 04- 29","4,330","4,190","4,360","4,180","92.98K","3.34%"
"2024- 04- 26","4,190","4,120","4,280","4,095","106.72K","1.95%"
"2024- 04- 25","4,110","4,390","4,390","4,100","195.85K","-7.33%"
"2024- 04- 24","4,435","4,550","4,580","4,430","136.10K","-1.99%"
"2024- 04- 23","4,525","4,400","4,630","4,400","236.49K","2.84%"
"2024- 04- 22","4,400","4,350","4,690","4,350","350.70K","1.38%"
"2024- 04- 19","4,340","4,420","4,650","4,270","332.54K","-1.36%"
"2024- 04- 18","4,400","4,490","4,575","4,240","291.82K","-2.00%"
"2024- 04- 17","4,490","4,815","4,815","4,400","476.77K","-4.97%"
"2024- 04- 16","4,725","5,310","5,600","4,725","2.05M","-9.66%"
"2024- 04- 15","5,230","4,000","5,230","3,480","4.26M","29.94%"
"2024- 04- 12","4,025","4,045","4,075","3,970","57.61K","-0.62%"
"2024- 04- 11","4,050","4,265","4,265","4,050","99.34K","-4.48%"
"2024- 04- 09","4,240","4,205","4,270","4,160","48.99K","-0.12%"
"2024- 04- 08","4,245","4,400","4,405","4,200","50.10K","-3.19%"
"2024- 04- 05","4,385","4,535","4,535","4,200","94.47K","-3.31%"
"2024- 04- 04","4,535","4,750","4,770","4,460","117.35K","-4.63%"
"2024- 04- 03","4,755","4,865","4,865","4,740","35.09K","-2.96%"
"2024- 04- 02","4,900","4,930","4,975","4,850","71.21K","-0.20%"
"2024- 04- 01","4,910","4,760","4,930","4,760","71.72K","3.15%"
"2024- 03- 29","4,760","5,130","5,180","4,760","240.30K","-7.93%"
"2024- 03- 28","5,170","5,160","5,230","5,060","82.31K","-0.58%"
"2024- 03- 27","5,200","5,260","5,280","5,190","18.95K","-1.14%"
"2024- 03- 26","5,260","5,130","5,270","5,130","27.78K","1.35%"
