"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 30","781,000","776,000","787,000","775,000","51.67K","0.77%"
"2024- 04- 29","775,000","775,000","777,000","769,000","53.20K","0.65%"
"2024- 04- 26","770,000","779,000","780,000","769,000","73.22K","-1.28%"
"2024- 04- 25","780,000","783,000","789,000","775,000","68.45K","-1.27%"
"2024- 04- 24","790,000","799,000","804,000","788,000","47.26K","-0.13%"
"2024- 04- 23","791,000","795,000","800,000","789,000","34.90K","-1.37%"
"2024- 04- 22","802,000","790,000","805,000","788,000","58.56K","2.69%"
"2024- 04- 19","781,000","784,000","789,000","770,000","55.54K","-1.14%"
"2024- 04- 18","790,000","780,000","797,000","777,000","32.71K","1.80%"
"2024- 04- 17","776,000","785,000","787,000","776,000","29.53K","-1.15%"
"2024- 04- 16","785,000","787,000","794,000","781,000","43.64K","-1.01%"
"2024- 04- 15","793,000","784,000","794,000","777,000","30.16K","0.38%"
"2024- 04- 12","790,000","795,000","801,000","787,000","41.05K","-0.63%"
"2024- 04- 11","795,000","796,000","803,000","785,000","60.94K","-1.24%"
"2024- 04- 09","805,000","819,000","821,000","805,000","39.46K","-1.23%"
"2024- 04- 08","815,000","808,000","821,000","798,000","38.26K","0.25%"
"2024- 04- 05","813,000","812,000","816,000","804,000","39.04K","-0.49%"
"2024- 04- 04","817,000","816,000","823,000","812,000","34.50K","0.62%"
"2024- 04- 03","812,000","811,000","824,000","811,000","50.55K","-0.49%"
"2024- 04- 02","816,000","813,000","822,000","810,000","42.78K","0.00%"
"2024- 04- 01","816,000","838,000","838,000","816,000","56.04K","-1.81%"
"2024- 03- 29","831,000","833,000","848,000","828,000","48.50K","-0.24%"
"2024- 03- 28","833,000","832,000","836,000","826,000","34.96K","-0.36%"
"2024- 03- 27","836,000","828,000","837,000","827,000","34.73K","0.97%"
"2024- 03- 26","828,000","846,000","849,000","826,000","68.46K","-1.43%"
"2024- 03- 25","840,000","847,000","852,000","835,000","47.30K","0.00%"
"2024- 03- 22","840,000","851,000","856,000","840,000","51.86K","-1.98%"
"2024- 03- 21","857,000","853,000","858,000","830,000","76.52K","0.82%"
"2024- 03- 20","850,000","854,000","865,000","846,000","67.32K","0.24%"
"2024- 03- 19","848,000","860,000","861,000","845,000","58.58K","-1.28%"
"2024- 03- 18","859,000","834,000","880,000","826,000","173.10K","4.00%"
"2024- 03- 17","826,000","826,000","826,000","826,000","","0.00%"
"2024- 03- 15","826,000","837,000","855,000","826,000","89.56K","-1.67%"
"2024- 03- 14","840,000","829,000","840,000","825,000","0.01K","1.45%"
"2024- 03- 13","828,000","839,000","848,000","823,000","0.00K","-1.43%"
"2024- 03- 12","840,000","836,000","841,000","826,000","0.01K","1.20%"
"2024- 03- 11","830,000","842,000","843,000","825,000","0.00K","-0.95%"
"2024- 03- 10","838,000","838,000","838,000","838,000","","0.00%"
"2024- 03- 08","838,000","813,000","845,000","812,000","185.54K","5.28%"
"2024- 03- 07","796,000","794,000","812,000","786,000","86.03K","1.40%"
"2024- 03- 06","785,000","778,000","793,000","777,000","36.63K","0.64%"
"2024- 03- 05","780,000","770,000","794,000","768,000","53.32K","0.78%"
"2024- 03- 04","774,000","778,000","784,000","772,000","0.01K","0.00%"
"2024- 02- 29","774,000","796,000","801,000","772,000","135.34K","-3.37%"
"2024- 02- 28","801,000","807,000","812,000","796,000","0.00K","-0.74%"
"2024- 02- 27","807,000","816,000","816,000","803,000","57.15K","-0.37%"
"2024- 02- 26","810,000","817,000","822,000","809,000","64.28K","-0.49%"
"2024- 02- 25","814,000","814,000","814,000","814,000","","0.00%"
"2024- 02- 23","814,000","819,000","828,000","806,000","58.52K","-0.73%"
"2024- 02- 22","820,000","825,000","832,000","818,000","39.46K","-0.36%"
"2024- 02- 21","823,000","822,000","824,000","817,000","38.55K","0.61%"
"2024- 02- 20","818,000","819,000","824,000","815,000","44.52K","-0.37%"
"2024- 02- 19","821,000","820,000","827,000","818,000","0.01K","-0.85%"
"2024- 02- 18","828,000","828,000","828,000","828,000","","0.00%"
"2024- 02- 16","828,000","829,000","829,000","815,000","59.53K","0.85%"
"2024- 02- 15","821,000","835,000","835,000","818,000","48.55K","-0.85%"
"2024- 02- 14","828,000","832,000","833,000","815,000","41.57K","-1.19%"
"2024- 02- 13","838,000","818,000","842,000","818,000","0.00K","2.82%"
"2024- 02- 12","815,000","815,000","815,000","815,000","","0.00%"
"2024- 02- 08","815,000","831,000","833,000","802,000","99.29K","-1.33%"
"2024- 02- 07","826,000","849,000","852,000","825,000","0.01K","-2.36%"
"2024- 02- 06","846,000","857,000","878,000","841,000","78.48K","-0.12%"
"2024- 02- 05","847,000","851,000","865,000","840,000","0.00K","-1.40%"
"2024- 02- 04","859,000","859,000","859,000","859,000","","0.00%"
"2024- 02- 02","859,000","823,000","862,000","822,000","133.35K","3.62%"
"2024- 02- 01","829,000","830,000","835,000","816,000","0.05K","-1.31%"
"2024- 01- 31","840,000","822,000","845,000","822,000","0.01K","2.07%"
"2024- 01- 30","823,000","801,000","829,000","801,000","0.06K","2.88%"
"2024- 01- 29","800,000","800,000","815,000","793,000","194.50K","3.49%"
"2024- 01- 26","773,000","778,000","781,000","767,000","55.05K","-1.53%"
"2024- 01- 25","785,000","796,000","800,000","779,000","0.02K","-0.38%"
"2024- 01- 24","788,000","797,000","808,000","783,000","85.17K","-1.38%"
"2024- 01- 23","799,000","795,000","799,000","789,000","0.02K","0.76%"
"2024- 01- 22","793,000","774,000","793,000","771,000","0.00K","2.99%"
"2024- 01- 21","770,000","770,000","770,000","770,000","","0.00%"
"2024- 01- 19","770,000","751,000","771,000","747,000","88.34K","2.67%"
"2024- 01- 18","750,000","756,000","760,000","748,000","44.96K","-0.79%"
"2024- 01- 17","756,000","769,000","769,000","755,000","0.00K","-1.31%"
"2024- 01- 16","766,000","765,000","777,000","756,000","0.00K","0.26%"
"2024- 01- 15","764,000","742,000","768,000","740,000","0.00K","2.69%"
"2024- 01- 12","744,000","752,000","758,000","740,000","36.21K","-0.93%"
"2024- 01- 11","751,000","752,000","762,000","746,000","0.11K","0.67%"
"2024- 01- 10","746,000","758,000","758,000","745,000","25.16K","-0.80%"
"2024- 01- 09","752,000","757,000","758,000","751,000","32.05K","0.40%"
"2024- 01- 08","749,000","763,000","763,000","746,000","50.01K","-0.93%"
"2024- 01- 05","756,000","765,000","769,000","753,000","60.78K","-1.82%"
"2024- 01- 04","770,000","783,000","783,000","760,000","0.01K","-2.16%"
"2024- 01- 03","787,000","782,000","793,000","776,000","87.21K","-0.25%"
"2024- 01- 02","789,000","760,000","800,000","756,000","198.57K","3.82%"
