"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","1,702","1,693","1,704","1,685","172.66K","0.41%"
"2024- 05- 07","1,695","1,699","1,704","1,689","240.54K","-0.94%"
"2024- 05- 03","1,711","1,715","1,721","1,701","106.34K","-0.23%"
"2024- 05- 02","1,715","1,712","1,730","1,700","144.06K","-0.17%"
"2024- 04- 30","1,718","1,697","1,722","1,683","233.53K","1.72%"
"2024- 04- 29","1,689","1,684","1,697","1,684","106.66K","0.30%"
"2024- 04- 26","1,684","1,679","1,691","1,668","153.40K","0.30%"
"2024- 04- 25","1,679","1,669","1,679","1,651","130.50K","0.60%"
"2024- 04- 24","1,669","1,680","1,680","1,655","210.56K","0.72%"
"2024- 04- 23","1,657","1,635","1,668","1,625","159.19K","1.35%"
"2024- 04- 22","1,635","1,611","1,641","1,611","180.93K","1.68%"
"2024- 04- 19","1,608","1,629","1,629","1,593","274.30K","-1.47%"
"2024- 04- 18","1,632","1,600","1,639","1,595","297.43K","1.87%"
"2024- 04- 17","1,602","1,601","1,633","1,597","203.18K","-0.62%"
"2024- 04- 16","1,612","1,625","1,633","1,609","251.71K","-1.77%"
"2024- 04- 15","1,641","1,694","1,694","1,600","368.44K","-3.13%"
"2024- 04- 12","1,694","1,690","1,709","1,690","182.54K","0.24%"
"2024- 04- 11","1,690","1,716","1,716","1,685","242.63K","-1.05%"
"2024- 04- 09","1,708","1,723","1,731","1,700","392.07K","-0.87%"
"2024- 04- 08","1,723","1,761","1,761","1,720","509.69K","-2.16%"
"2024- 04- 05","1,761","1,785","1,785","1,750","388.18K","-1.40%"
"2024- 04- 04","1,786","1,784","1,806","1,779","320.42K","0.11%"
"2024- 04- 03","1,784","1,795","1,795","1,764","468.11K","-0.61%"
"2024- 04- 02","1,795","1,825","1,832","1,795","524.41K","-1.64%"
"2024- 04- 01","1,825","1,808","1,838","1,808","362.71K","0.94%"
"2024- 03- 29","1,808","1,817","1,824","1,800","497.03K","-0.44%"
"2024- 03- 28","1,816","1,845","1,863","1,814","573.29K","-1.57%"
"2024- 03- 27","1,845","1,888","1,890","1,835","601.03K","-1.97%"
"2024- 03- 26","1,882","1,905","1,910","1,872","745.68K","-1.21%"
"2024- 03- 25","1,905","1,875","1,931","1,856","1.61M","1.76%"
"2024- 03- 22","1,872","1,830","1,892","1,819","1.37M","2.52%"
"2024- 03- 21","1,826","1,841","1,860","1,813","930.05K","-0.76%"
"2024- 03- 20","1,840","1,824","1,960","1,777","4.63M","3.55%"
"2024- 03- 19","1,777","1,802","1,808","1,777","644.53K","-1.55%"
"2024- 03- 18","1,805","1,805","1,812","1,796","508.91K","0.00%"
"2024- 03- 15","1,805","1,807","1,815","1,800","377.35K","-0.11%"
