"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 30","38,100","38,000","38,500","38,000","231.49K","-0.13%"
"2024- 04- 29","38,150","38,400","38,450","37,750","166.46K","0.26%"
"2024- 04- 26","38,050","37,500","38,400","37,350","237.45K","1.87%"
"2024- 04- 25","37,350","36,900","37,750","36,900","133.86K","0.27%"
"2024- 04- 24","37,250","37,750","37,850","37,200","140.68K","-0.40%"
"2024- 04- 23","37,400","37,400","37,800","37,150","244.69K","-0.13%"
"2024- 04- 22","37,450","36,300","37,500","36,250","320.37K","4.32%"
"2024- 04- 19","35,900","35,800","36,050","35,350","258.73K","-0.28%"
"2024- 04- 18","36,000","36,300","36,650","35,850","323.69K","0.00%"
"2024- 04- 17","36,000","36,300","36,500","35,800","248.56K","-0.55%"
"2024- 04- 16","36,200","36,250","36,650","36,000","244.27K","-0.82%"
"2024- 04- 15","36,500","36,400","36,600","35,950","316.32K","-0.82%"
"2024- 04- 12","36,800","37,450","37,450","36,600","267.45K","-1.74%"
"2024- 04- 11","37,450","38,150","38,650","37,450","458.50K","-3.97%"
"2024- 04- 09","39,000","39,500","39,600","38,850","128.88K","-0.38%"
"2024- 04- 08","39,150","38,600","39,550","38,350","249.64K","1.42%"
"2024- 04- 05","38,600","38,600","39,300","38,500","169.51K","-1.03%"
"2024- 04- 04","39,000","39,100","39,500","38,950","192.84K","0.78%"
"2024- 04- 03","38,700","39,000","39,250","38,700","232.82K","-1.15%"
"2024- 04- 02","39,150","39,000","39,700","38,800","168.71K","-0.13%"
"2024- 04- 01","39,200","40,600","40,600","39,100","323.37K","-2.24%"
"2024- 03- 29","40,100","40,700","40,850","40,000","223.22K","-1.47%"
"2024- 03- 28","40,700","40,600","41,300","40,550","246.03K","0.25%"
"2024- 03- 27","40,600","40,950","41,400","40,600","263.02K","-1.81%"
"2024- 03- 26","41,350","41,800","42,050","41,250","186.14K","-0.36%"
"2024- 03- 25","41,500","41,900","42,050","41,300","241.18K","-1.19%"
"2024- 03- 22","42,000","41,600","42,450","41,550","365.27K","1.08%"
"2024- 03- 21","41,550","41,200","41,800","40,900","397.10K","2.09%"
"2024- 03- 20","40,700","40,750","41,450","40,550","363.46K","1.12%"
"2024- 03- 19","40,250","40,700","41,150","40,250","407.88K","-2.19%"
"2024- 03- 18","41,150","41,500","41,500","40,600","290.85K","0.24%"
