"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 07","38,450","38,700","38,750","38,200","50.85K","0.52%"
"2024- 05- 03","38,250","38,450","38,700","38,250","19.77K","-0.91%"
"2024- 05- 02","38,600","38,450","39,000","38,400","28.08K","-1.28%"
"2024- 04- 30","39,100","39,650","40,100","38,650","83.58K","-2.62%"
"2024- 04- 29","40,150","38,850","40,450","38,400","154.87K","4.69%"
"2024- 04- 26","38,350","37,800","38,700","37,650","81.14K","1.32%"
"2024- 04- 25","37,850","37,250","38,200","37,250","46.25K","1.07%"
"2024- 04- 24","37,450","38,450","38,500","37,250","51.22K","-1.71%"
"2024- 04- 23","38,100","37,350","38,300","37,200","59.11K","0.93%"
"2024- 04- 22","37,750","36,850","38,100","36,350","115.36K","5.01%"
"2024- 04- 19","35,950","35,200","36,350","35,150","85.43K","0.42%"
"2024- 04- 18","35,800","36,650","36,650","35,500","55.05K","-1.51%"
"2024- 04- 17","36,350","36,900","36,900","36,050","72.90K","-1.76%"
"2024- 04- 16","37,000","35,000","37,050","35,000","143.99K","3.79%"
"2024- 04- 15","35,650","35,350","35,650","34,850","95.28K","0.71%"
"2024- 04- 12","35,400","35,050","35,650","34,850","98.80K","0.00%"
"2024- 04- 11","35,400","35,500","36,100","35,050","166.25K","-3.01%"
"2024- 04- 09","36,500","36,700","36,750","36,100","65.73K","0.14%"
"2024- 04- 08","36,450","36,100","36,750","35,950","54.04K","0.97%"
"2024- 04- 05","36,100","36,050","36,500","36,050","52.51K","-0.82%"
"2024- 04- 04","36,400","36,800","36,950","36,150","82.19K","-0.14%"
"2024- 04- 03","36,450","36,300","36,750","36,000","105.12K","-0.27%"
"2024- 04- 02","36,550","36,300","37,000","36,150","102.35K","-0.54%"
"2024- 04- 01","36,750","38,100","38,250","36,600","141.68K","-2.91%"
"2024- 03- 29","37,850","38,500","38,600","37,500","124.88K","-1.56%"
"2024- 03- 28","38,450","38,250","38,850","38,000","159.15K","-0.26%"
"2024- 03- 27","38,550","38,900","39,000","37,750","241.70K","-1.78%"
"2024- 03- 26","39,250","38,950","39,650","38,050","419.84K","-5.42%"
"2024- 03- 25","41,500","41,600","41,600","40,900","194.61K","0.12%"
"2024- 03- 22","41,450","40,600","41,450","40,550","196.04K","2.22%"
"2024- 03- 21","40,550","39,600","40,700","39,550","193.39K","3.31%"
"2024- 03- 20","39,250","39,150","39,600","38,700","85.70K","1.16%"
"2024- 03- 19","38,800","38,850","39,300","38,600","94.22K","-0.77%"
"2024- 03- 18","39,100","40,750","40,750","38,800","132.64K","-3.10%"
"2024- 03- 15","40,350","40,450","40,900","40,000","127.69K","-0.12%"
"2024- 03- 14","40,400","39,650","40,500","39,500","0.00K","2.67%"
"2024- 03- 13","39,350","39,100","39,600","38,800","95.93K","1.55%"
"2024- 03- 12","38,750","39,150","39,650","38,700","82.44K","-0.13%"
"2024- 03- 11","38,800","39,400","39,400","38,750","64.09K","-2.27%"
"2024- 03- 10","39,700","39,700","39,700","39,700","","0.00%"
"2024- 03- 08","39,700","39,700","40,200","39,350","140.68K","0.89%"
"2024- 03- 07","39,350","39,500","39,500","39,000","93.79K","0.13%"
"2024- 03- 06","39,300","38,900","39,300","38,750","82.22K","0.51%"
"2024- 03- 05","39,100","38,550","39,250","38,500","99.24K","0.77%"
"2024- 03- 04","38,800","37,900","39,300","37,550","208.12K","3.33%"
"2024- 02- 29","37,550","36,450","37,950","36,250","167.63K","3.02%"
"2024- 02- 28","36,450","36,200","36,450","35,650","0.00K","0.83%"
"2024- 02- 27","36,150","36,150","36,650","35,550","102.33K","-0.14%"
"2024- 02- 26","36,200","38,000","38,000","35,800","217.91K","-4.74%"
"2024- 02- 25","38,000","38,000","38,000","38,000","","0.00%"
"2024- 02- 23","38,000","37,250","38,000","36,850","195.17K","2.15%"
"2024- 02- 22","37,200","37,250","37,500","36,450","134.87K","0.81%"
"2024- 02- 21","36,900","37,150","37,250","36,250","0.00K","-0.54%"
"2024- 02- 20","37,100","36,900","37,200","36,450","229.08K","1.09%"
"2024- 02- 19","36,700","36,350","36,900","36,200","151.91K","0.96%"
"2024- 02- 16","36,350","36,250","36,450","35,850","87.41K","1.11%"
"2024- 02- 15","35,950","36,500","36,500","35,900","78.09K","-0.69%"
"2024- 02- 14","36,200","35,750","36,350","35,400","126.54K","0.00%"
"2024- 02- 13","36,200","35,950","36,900","35,850","228.95K","2.26%"
"2024- 02- 08","35,400","34,900","36,100","34,850","261.81K","1.14%"
"2024- 02- 07","35,000","34,450","35,050","34,100","0.01K","2.49%"
"2024- 02- 06","34,150","34,150","34,750","34,000","62.14K","-0.87%"
"2024- 02- 05","34,450","34,500","34,800","33,800","0.08K","-1.01%"
"2024- 02- 02","34,800","34,650","35,050","34,100","242.09K","-0.29%"
"2024- 02- 01","34,900","32,800","35,000","32,750","0.12K","5.76%"
"2024- 01- 31","33,000","32,150","33,000","32,150","126.97K","3.29%"
"2024- 01- 30","31,950","32,850","32,900","31,950","0.02K","-2.89%"
"2024- 01- 29","32,900","32,500","33,000","32,400","0.00K","1.54%"
"2024- 01- 26","32,400","32,300","32,650","32,250","50.27K","-0.46%"
"2024- 01- 25","32,550","32,300","32,550","32,250","64.48K","0.93%"
"2024- 01- 24","32,250","32,100","32,300","31,900","44.11K","0.62%"
"2024- 01- 23","32,050","31,950","32,150","31,850","0.01K","0.31%"
"2024- 01- 22","31,950","31,750","32,050","31,600","56.07K","1.27%"
"2024- 01- 21","31,550","31,550","31,550","31,550","","0.00%"
"2024- 01- 19","31,550","31,450","31,800","31,450","30.19K","0.32%"
"2024- 01- 18","31,450","31,650","31,650","31,250","35.54K","-0.16%"
"2024- 01- 17","31,500","31,850","31,900","31,500","28.00K","-0.94%"
"2024- 01- 16","31,800","31,600","31,850","31,500","35.97K","0.32%"
"2024- 01- 15","31,700","31,550","31,850","31,550","21.62K","0.48%"
"2024- 01- 14","31,550","31,550","31,550","31,550","","0.00%"
"2024- 01- 12","31,550","31,900","31,900","31,550","27.90K","-0.47%"
"2024- 01- 11","31,700","31,700","32,000","31,700","50.40K","-0.31%"
"2024- 01- 10","31,800","31,750","31,950","31,600","51.60K","0.32%"
"2024- 01- 09","31,700","31,950","31,950","31,600","29.95K","0.32%"
"2024- 01- 08","31,600","31,750","31,800","31,500","53.30K","-0.32%"
"2024- 01- 05","31,700","31,600","31,850","31,600","45.15K","0.32%"
"2024- 01- 04","31,600","31,800","31,850","31,600","57.94K","-0.63%"
"2024- 01- 03","31,800","32,050","32,100","31,700","68.91K","-0.93%"
"2024- 01- 02","32,100","32,050","32,350","31,800","110.26K","-0.77%"
