"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","16,000","16,010","16,080","15,970","7.02K","-0.06%"
"2024- 05- 07","16,010","15,940","16,020","15,910","3.30K","0.06%"
"2024- 05- 03","16,000","15,930","16,030","15,940","6.63K","-0.06%"
"2024- 05- 02","16,010","15,890","16,010","15,930","6.31K","0.76%"
"2024- 04- 30","15,890","15,860","16,050","15,760","25.46K","0.57%"
"2024- 04- 29","15,800","15,820","15,850","15,730","3.51K","0.51%"
"2024- 04- 26","15,720","15,700","15,760","15,660","5.75K","0.13%"
"2024- 04- 25","15,700","15,700","15,850","15,650","11.75K","-0.88%"
"2024- 04- 24","15,840","15,880","15,880","15,700","16.53K","-0.06%"
"2024- 04- 23","15,850","15,810","15,890","15,780","7.59K","0.32%"
"2024- 04- 22","15,800","15,580","15,810","15,580","7.12K","1.28%"
"2024- 04- 19","15,600","15,740","15,740","15,520","10.79K","-1.02%"
"2024- 04- 18","15,760","15,840","15,840","15,590","35.18K","-0.13%"
"2024- 04- 17","15,780","15,720","15,930","15,690","3.82K","0.45%"
"2024- 04- 16","15,710","15,810","15,810","15,630","7.66K","-0.70%"
"2024- 04- 15","15,820","16,130","16,250","15,600","51.69K","-2.47%"
"2024- 04- 12","16,220","16,110","16,260","16,080","9.12K","0.50%"
"2024- 04- 11","16,140","16,320","16,400","16,050","8.29K","-1.10%"
"2024- 04- 09","16,320","16,320","16,330","16,190","5.41K","0.00%"
"2024- 04- 08","16,320","16,280","16,340","16,130","4.68K","0.25%"
"2024- 04- 05","16,280","16,280","16,300","16,170","4.22K","-0.12%"
"2024- 04- 04","16,300","16,250","16,380","16,140","11.70K","0.00%"
"2024- 04- 03","16,300","16,260","16,340","16,200","8.30K","0.00%"
"2024- 04- 02","16,300","16,420","16,420","16,230","9.76K","-0.61%"
"2024- 04- 01","16,400","16,440","16,560","16,310","27.66K","-0.06%"
"2024- 03- 29","16,410","16,750","16,790","16,380","13.66K","-2.03%"
"2024- 03- 28","16,750","16,830","16,830","16,580","11.66K","-1.41%"
"2024- 03- 27","16,990","16,830","16,990","16,520","10.57K","0.65%"
"2024- 03- 26","16,880","16,800","16,920","16,710","15.11K","0.48%"
"2024- 03- 25","16,800","16,610","17,110","16,570","34.91K","1.57%"
"2024- 03- 22","16,540","16,420","16,560","16,340","15.34K","0.98%"
"2024- 03- 21","16,380","16,440","16,440","16,290","12.52K","0.68%"
"2024- 03- 20","16,270","16,050","16,450","16,050","9.31K","1.37%"
"2024- 03- 19","16,050","16,250","16,270","15,940","15.48K","-0.99%"
"2024- 03- 18","16,210","16,280","16,310","16,150","11.75K","-0.25%"
"2024- 03- 15","16,250","16,280","16,360","16,200","0.22K","-0.25%"
"2024- 03- 14","16,290","16,500","16,500","16,290","28.91K","-0.97%"
"2024- 03- 13","16,450","16,680","16,680","16,430","7.97K","-1.38%"
"2024- 03- 12","16,680","16,610","16,710","16,530","11.54K","-0.06%"
"2024- 03- 11","16,690","16,800","16,950","16,630","0.01K","-0.48%"
"2024- 03- 08","16,770","16,460","16,790","16,460","13.29K","1.88%"
"2024- 03- 07","16,460","16,530","16,610","16,450","7.54K","-0.42%"
"2024- 03- 06","16,530","16,550","16,780","16,510","4.35K","-1.08%"
