"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","19,880","19,900","19,950","19,820","10.81K","-0.15%"
"2024- 05- 07","19,910","19,800","19,940","19,700","18.37K","0.56%"
"2024- 05- 03","19,800","19,800","19,840","19,690","14.27K","-0.05%"
"2024- 05- 02","19,810","19,770","19,820","19,730","7.93K","0.05%"
"2024- 04- 30","19,800","19,780","19,810","19,700","18.28K","0.30%"
"2024- 04- 29","19,740","19,690","19,780","19,580","14.72K","0.25%"
"2024- 04- 26","19,690","19,760","19,760","19,560","17.12K","-0.40%"
"2024- 04- 25","19,770","19,890","19,890","19,590","27.65K","-0.35%"
"2024- 04- 24","19,840","19,770","19,890","19,770","9.17K","0.51%"
"2024- 04- 23","19,740","19,820","19,820","19,660","12.54K","0.20%"
"2024- 04- 22","19,700","19,480","19,850","19,480","18.34K","1.18%"
"2024- 04- 19","19,470","19,680","19,690","19,370","29.61K","-1.12%"
"2024- 04- 18","19,690","19,630","19,830","19,620","23.31K","0.31%"
"2024- 04- 17","19,630","19,600","19,690","19,520","27.37K","-0.10%"
"2024- 04- 16","19,650","19,750","19,900","19,610","36.29K","-1.36%"
"2024- 04- 15","19,920","19,870","19,950","19,790","25.55K","-0.15%"
"2024- 04- 12","19,950","20,000","20,000","19,900","10.50K","-0.20%"
"2024- 04- 11","19,990","20,000","20,050","19,870","24.02K","-0.30%"
"2024- 04- 09","20,050","20,050","20,150","19,990","19.99K","-0.25%"
"2024- 04- 08","20,100","20,100","20,150","20,000","17.67K","0.00%"
"2024- 04- 05","20,100","20,150","20,250","20,000","34.52K","-0.50%"
"2024- 04- 04","20,200","20,350","20,400","20,100","22.86K","-0.74%"
"2024- 04- 03","20,350","20,100","20,400","20,000","49.01K","1.24%"
"2024- 04- 02","20,100","20,150","20,300","20,050","25.91K","-0.99%"
"2024- 04- 01","20,300","20,150","20,300","20,100","24.79K","0.25%"
"2024- 03- 29","20,250","20,350","20,350","20,100","24.62K","-0.49%"
"2024- 03- 28","20,350","20,500","20,600","20,200","23.52K","-0.73%"
"2024- 03- 27","20,500","20,500","20,600","20,300","33.74K","-0.24%"
"2024- 03- 26","20,550","20,800","20,900","20,250","46.39K","-1.20%"
"2024- 03- 25","20,800","20,650","21,450","20,450","145.80K","2.21%"
"2024- 03- 22","20,350","20,400","20,700","20,200","32.65K","-0.49%"
"2024- 03- 21","20,450","20,450","20,450","20,200","22.79K","0.49%"
"2024- 03- 20","20,350","20,150","20,450","20,050","35.26K","0.99%"
"2024- 03- 19","20,150","20,300","20,300","20,050","31.06K","-0.25%"
"2024- 03- 18","20,200","20,050","20,200","20,000","16.53K","0.75%"
"2024- 03- 15","20,050","20,250","20,250","20,050","16.04K","-0.99%"
"2024- 03- 14","20,250","20,300","20,300","20,050","22.89K","-0.25%"
"2024- 03- 13","20,300","20,150","20,350","19,990","57.78K","0.25%"
"2024- 03- 12","20,250","20,300","20,300","20,150","26.18K","-0.49%"
"2024- 03- 11","20,350","20,200","20,400","20,150","22.54K","0.99%"
"2024- 03- 08","20,150","20,000","20,300","20,000","18.28K","0.25%"
"2024- 03- 07","20,100","20,250","20,300","20,000","35.69K","-0.74%"
"2024- 03- 06","20,250","20,200","20,300","20,150","18.90K","-0.49%"
"2024- 03- 05","20,350","20,350","20,350","20,150","40.52K","0.00%"
"2024- 03- 04","20,350","20,500","20,550","20,300","14.66K","-0.73%"
"2024- 02- 29","20,500","20,400","20,650","20,300","32.79K","0.00%"
"2024- 02- 28","20,500","20,550","20,550","20,250","0.01K","0.00%"
"2024- 02- 27","20,500","20,700","20,700","20,400","28.74K","-0.73%"
"2024- 02- 26","20,650","20,650","20,700","20,500","23.46K","0.00%"
"2024- 02- 23","20,650","20,650","20,650","20,450","13.52K","0.00%"
"2024- 02- 22","20,650","20,550","20,650","20,450","13.67K","0.24%"
"2024- 02- 21","20,600","20,700","20,700","20,500","17.02K","-0.48%"
"2024- 02- 20","20,700","20,700","20,750","20,550","12.68K","0.24%"
