"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","112,000","117,100","116,700","108,800","878.40K","-4.27%"
"2024- 05- 07","117,000","119,700","120,800","114,400","647.90K","0.34%"
"2024- 05- 03","116,600","111,800","121,100","111,000","1.50M","3.64%"
"2024- 05- 02","112,500","104,300","114,300","103,400","1.41M","7.55%"
"2024- 04- 30","104,600","104,700","107,000","103,600","370.99K","-0.95%"
"2024- 04- 29","105,600","107,200","108,600","103,400","474.24K","-0.94%"
"2024- 04- 26","106,600","107,100","110,500","105,200","852.97K","1.81%"
"2024- 04- 25","104,700","107,500","109,200","103,300","574.24K","-3.50%"
"2024- 04- 24","108,500","102,100","110,800","100,200","1.15M","6.69%"
"2024- 04- 23","101,700","100,600","103,400","99,300","586.64K","1.50%"
"2024- 04- 22","100,200","105,100","106,900","99,800","891.19K","-2.43%"
"2024- 04- 19","102,700","102,900","105,200","98,400","916.48K","-1.15%"
"2024- 04- 18","103,900","95,500","108,600","95,400","1.72M","8.91%"
"2024- 04- 17","95,400","97,800","98,800","95,400","526.29K","-1.75%"
"2024- 04- 16","97,100","100,000","100,400","96,100","939.93K","-5.45%"
"2024- 04- 15","102,700","104,600","106,900","101,500","655.87K","-2.93%"
"2024- 04- 12","105,800","98,400","108,200","98,200","1.95M","8.62%"
"2024- 04- 11","97,400","101,300","103,000","97,000","1.20M","-6.97%"
"2024- 04- 09","104,700","102,900","109,300","101,800","1.54M","1.16%"
"2024- 04- 08","103,500","108,900","111,100","103,400","1.31M","-7.92%"
