"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","2,030.00","2,005.00","2,060.00","1,990.00","174.82K","1.25%"
"2024- 05- 07","2,005.00","2,080.00","2,080.00","1,979.00","293.96K","-3.61%"
"2024- 05- 03","2,080.00","1,986.00","2,180.00","1,940.00","989.53K","4.89%"
"2024- 05- 02","1,983.00","1,977.00","1,995.00","1,945.00","79.26K","0.30%"
"2024- 04- 30","1,977.00","1,979.00","2,020.00","1,942.00","146.58K","0.82%"
"2024- 04- 29","1,961.00","1,871.00","1,981.00","1,858.00","210.87K","4.31%"
"2024- 04- 26","1,880.00","2,035.00","2,040.00","1,801.00","508.87K","-6.23%"
"2024- 04- 25","2,005.00","2,065.00","2,120.00","2,005.00","268.12K","-4.75%"
"2024- 04- 24","2,105.00","2,070.00","2,105.00","2,025.00","150.66K","1.69%"
"2024- 04- 23","2,070.00","2,115.00","2,145.00","2,065.00","187.13K","-1.90%"
"2024- 04- 22","2,110.00","2,105.00","2,190.00","2,075.00","343.83K","-1.40%"
"2024- 04- 19","2,140.00","2,330.00","2,330.00","2,050.00","647.22K","-8.35%"
"2024- 04- 18","2,335.00","2,325.00","2,475.00","2,295.00","308.03K","0.43%"
"2024- 04- 17","2,325.00","2,320.00","2,445.00","2,275.00","418.21K","0.43%"
"2024- 04- 16","2,315.00","2,650.00","2,650.00","2,305.00","701.31K","-12.64%"
"2024- 04- 15","2,650.00","2,580.00","2,780.00","2,565.00","893.11K","-8.15%"
"2024- 04- 12","2,885.00","3,380.00","3,430.00","2,725.00","1.35M","-16.01%"
"2024- 04- 11","3,435.00","3,350.00","3,600.00","3,305.00","244.27K","-0.58%"
"2024- 04- 09","3,455.00","3,370.00","3,505.00","3,320.00","113.43K","2.52%"
"2024- 04- 08","3,370.00","3,490.00","3,490.00","3,360.00","97.44K","-2.74%"
"2024- 04- 05","3,465.00","3,430.00","3,485.00","3,390.00","111.92K","-0.14%"
"2024- 04- 04","3,470.00","3,670.00","3,670.00","3,435.00","229.11K","-3.48%"
"2024- 04- 03","3,595.00","3,325.00","3,695.00","3,285.00","673.27K","6.99%"
"2024- 04- 02","3,360.00","3,470.00","3,520.00","3,320.00","163.57K","-3.17%"
"2024- 04- 01","3,470.00","3,485.00","3,490.00","3,400.00","125.94K","0.14%"
"2024- 03- 29","3,465.00","3,395.00","3,465.00","3,350.00","114.88K","2.06%"
"2024- 03- 28","3,395.00","3,385.00","3,420.00","3,350.00","81.80K","0.30%"
"2024- 03- 27","3,385.00","3,545.00","3,745.00","3,385.00","501.19K","-2.17%"
"2024- 03- 26","3,460.00","3,565.00","3,570.00","3,400.00","240.77K","-1.28%"
"2024- 03- 25","3,505.00","3,485.00","3,620.00","3,395.00","265.15K","0.57%"
"2024- 03- 22","3,485.00","3,490.00","3,540.00","3,355.00","203.85K","-0.14%"
"2024- 03- 21","3,490.00","3,425.00","3,550.00","3,380.00","242.69K","1.75%"
"2024- 03- 20","3,430.00","3,350.00","3,585.00","3,295.00","503.07K","4.10%"
"2024- 03- 19","3,295.00","3,325.00","3,395.00","3,205.00","200.14K","-0.90%"
"2024- 03- 18","3,325.00","3,425.00","3,470.00","3,305.00","327.15K","-2.35%"
"2024- 03- 15","3,405.00","3,480.00","3,530.00","3,350.00","348.69K","-3.95%"
"2024- 03- 14","3,545.00","3,335.00","3,750.00","3,335.00","0.37K","6.94%"
"2024- 03- 13","3,315.00","3,435.00","3,520.00","3,285.00","749.56K","-2.50%"
"2024- 03- 12","3,400.00","3,135.00","3,840.00","3,075.00","0.70K","8.45%"
"2024- 03- 11","3,135.00","3,200.00","3,230.00","3,085.00","125.80K","-3.09%"
"2024- 03- 08","3,235.00","3,175.00","3,235.00","3,100.00","174.09K","1.41%"
"2024- 03- 07","3,190.00","3,080.00","3,260.00","3,040.00","415.19K","5.45%"
"2024- 03- 06","3,025.00","2,990.00","3,095.00","2,990.00","0.00K","0.83%"
"2024- 03- 05","3,000.00","3,040.00","3,085.00","2,990.00","174.91K","-1.80%"
"2024- 03- 04","3,055.00","3,100.00","3,100.00","3,040.00","117.05K","-1.45%"
"2024- 02- 29","3,100.00","3,160.00","3,230.00","3,075.00","113.87K","-0.16%"
"2024- 02- 28","3,105.00","3,155.00","3,280.00","3,105.00","277.68K","-1.58%"
"2024- 02- 27","3,155.00","3,070.00","3,240.00","3,000.00","536.40K","3.61%"
"2024- 02- 26","3,045.00","3,025.00","3,070.00","3,010.00","67.81K","0.83%"
"2024- 02- 23","3,020.00","3,015.00","3,090.00","3,000.00","107.64K","0.17%"
"2024- 02- 22","3,015.00","3,075.00","3,090.00","3,015.00","196.66K","-2.58%"
"2024- 02- 21","3,095.00","3,125.00","3,135.00","3,075.00","66.84K","-0.96%"
"2024- 02- 20","3,125.00","3,120.00","3,140.00","3,085.00","105.90K","0.16%"
"2024- 02- 19","3,120.00","3,180.00","3,180.00","3,100.00","65.52K","-0.16%"
"2024- 02- 16","3,125.00","3,155.00","3,160.00","3,095.00","91.45K","-0.79%"
"2024- 02- 15","3,150.00","3,105.00","3,175.00","3,070.00","192.67K","2.44%"
"2024- 02- 14","3,075.00","3,070.00","3,080.00","3,000.00","120.59K","-0.16%"
"2024- 02- 13","3,080.00","3,015.00","3,080.00","3,000.00","126.51K","2.67%"
"2024- 02- 08","3,000.00","3,005.00","3,040.00","2,985.00","138.86K","-0.50%"
"2024- 02- 07","3,015.00","3,025.00","3,065.00","2,995.00","97.39K","0.00%"
"2024- 02- 06","3,015.00","3,040.00","3,080.00","3,000.00","84.35K","-0.66%"
"2024- 02- 05","3,035.00","3,120.00","3,140.00","3,015.00","108.11K","-0.65%"
"2024- 02- 02","3,055.00","3,080.00","3,095.00","3,050.00","111.62K","-0.16%"
"2024- 02- 01","3,060.00","3,030.00","3,080.00","2,990.00","204.11K","0.33%"
