"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","18,090","17,930","18,160","17,900","10.17K","0.50%"
"2024- 05- 07","18,000","18,000","18,100","17,890","7.18K","0.00%"
"2024- 05- 03","18,000","17,970","18,020","17,800","9.33K","0.17%"
"2024- 05- 02","17,970","18,120","18,130","17,910","4.83K","0.00%"
"2024- 04- 30","17,970","18,060","18,090","17,830","8.96K","-0.17%"
"2024- 04- 29","18,000","17,990","18,000","17,800","5.49K","0.78%"
"2024- 04- 26","17,860","18,180","18,180","17,800","4.88K","-0.94%"
"2024- 04- 25","18,030","18,020","18,180","17,860","5.41K","0.06%"
"2024- 04- 24","18,020","17,780","18,050","17,700","16.49K","2.15%"
"2024- 04- 23","17,640","17,740","17,740","17,510","7.46K","0.00%"
"2024- 04- 22","17,640","17,860","17,900","17,450","17.35K","-0.79%"
"2024- 04- 19","17,780","17,580","19,300","17,410","78.30K","0.85%"
"2024- 04- 18","17,630","17,200","17,640","17,110","10.24K","2.50%"
"2024- 04- 17","17,200","17,090","17,340","17,090","8.58K","0.41%"
"2024- 04- 16","17,130","17,060","17,160","16,980","11.90K","-0.93%"
"2024- 04- 15","17,290","17,220","17,320","17,010","9.01K","0.23%"
"2024- 04- 12","17,250","17,140","17,430","17,140","7.87K","0.00%"
"2024- 04- 11","17,250","17,310","17,470","17,100","8.78K","-0.40%"
"2024- 04- 09","17,320","17,470","17,670","17,320","10.33K","-1.20%"
"2024- 04- 08","17,530","17,800","17,840","17,470","11.96K","-1.52%"
"2024- 04- 05","17,800","17,720","17,860","17,480","11.13K","0.45%"
"2024- 04- 04","17,720","17,780","17,930","17,530","20.32K","-0.28%"
"2024- 04- 03","17,770","17,950","18,010","17,710","16.15K","-1.00%"
"2024- 04- 02","17,950","18,430","18,430","17,900","21.29K","-1.64%"
"2024- 04- 01","18,250","18,320","18,330","18,000","9.92K","-0.38%"
"2024- 03- 29","18,320","18,290","18,380","17,850","30.93K","0.16%"
"2024- 03- 28","18,290","18,170","18,420","18,170","12.76K","0.00%"
"2024- 03- 27","18,290","18,300","18,440","18,180","5.33K","0.05%"
"2024- 03- 26","18,280","18,490","18,800","18,270","13.04K","-1.14%"
"2024- 03- 25","18,490","18,390","18,910","18,390","13.16K","-0.05%"
"2024- 03- 22","18,500","18,510","18,690","18,400","8.73K","-0.59%"
"2024- 03- 21","18,610","18,120","19,000","18,010","25.54K","3.62%"
"2024- 03- 20","17,960","18,190","18,190","17,860","16.67K","-0.28%"
"2024- 03- 19","18,010","17,980","18,410","17,870","10.45K","0.17%"
"2024- 03- 18","17,980","18,160","18,160","17,950","7.34K","-0.72%"
"2024- 03- 15","18,110","18,160","18,210","17,850","0.74K","-0.28%"
"2024- 03- 14","18,160","18,170","18,170","17,800","15.05K","0.22%"
