"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 07","1,990","1,976","1,990","1,947","54.08K","0.51%"
"2024- 05- 03","1,980","1,968","1,993","1,965","23.81K","0.05%"
"2024- 05- 02","1,979","1,993","1,996","1,946","25.55K","-0.70%"
"2024- 04- 30","1,993","1,945","2,005","1,945","98.30K","2.21%"
"2024- 04- 29","1,950","1,908","1,954","1,908","58.71K","2.31%"
"2024- 04- 26","1,906","1,905","1,906","1,892","30.74K","0.11%"
"2024- 04- 25","1,904","1,905","1,907","1,890","18.54K","-0.05%"
"2024- 04- 24","1,905","1,888","1,905","1,888","29.49K","0.95%"
"2024- 04- 23","1,887","1,905","1,915","1,887","34.96K","-0.84%"
"2024- 04- 22","1,903","1,900","1,903","1,885","47.20K","0.05%"
"2024- 04- 19","1,902","1,918","1,918","1,875","54.15K","-0.37%"
"2024- 04- 18","1,909","1,885","1,911","1,885","33.73K","0.26%"
"2024- 04- 17","1,904","1,899","1,910","1,887","30.41K","0.21%"
"2024- 04- 16","1,900","1,921","1,922","1,875","304.01K","-1.04%"
"2024- 04- 15","1,920","1,960","1,960","1,900","138.84K","-2.44%"
"2024- 04- 12","1,968","1,975","1,982","1,945","70.35K","-0.25%"
"2024- 04- 11","1,973","1,996","1,996","1,973","54.03K","-1.15%"
"2024- 04- 09","1,996","2,005","2,020","1,992","40.67K","-0.70%"
"2024- 04- 08","2,010","2,035","2,035","2,000","46.78K","-1.47%"
"2024- 04- 05","2,040","2,030","2,045","2,010","51.89K","0.00%"
"2024- 04- 04","2,040","2,030","2,045","2,005","63.03K","0.49%"
"2024- 04- 03","2,030","1,982","2,060","1,981","198.22K","1.70%"
"2024- 04- 02","1,996","1,998","2,005","1,977","139.25K","-0.15%"
"2024- 04- 01","1,999","1,995","2,030","1,995","38.44K","-0.05%"
"2024- 03- 29","2,000","2,035","2,040","1,997","56.23K","-1.72%"
"2024- 03- 28","2,035","2,025","2,050","2,005","61.13K","-0.25%"
"2024- 03- 27","2,040","2,025","2,065","2,015","90.20K","0.25%"
"2024- 03- 26","2,035","2,010","2,050","1,998","114.23K","1.50%"
"2024- 03- 25","2,005","2,000","2,005","1,987","36.98K","0.25%"
"2024- 03- 22","2,000","2,000","2,020","1,991","23.42K","0.00%"
"2024- 03- 21","2,000","1,997","2,010","1,972","101.71K","0.20%"
"2024- 03- 20","1,996","1,997","1,999","1,971","143.42K","-0.05%"
"2024- 03- 19","1,997","2,035","2,040","1,975","181.71K","-1.87%"
"2024- 03- 18","2,035","2,005","2,040","2,000","56.46K","0.49%"
"2024- 03- 15","2,025","2,025","2,025","1,990","77.43K","0.25%"
"2024- 03- 14","2,020","2,030","2,045","2,010","80.96K","-0.49%"
"2024- 03- 13","2,030","2,020","2,035","2,005","56.10K","-0.25%"
"2024- 03- 12","2,035","2,045","2,060","2,005","131.46K","-1.21%"
"2024- 03- 11","2,060","2,030","2,090","2,025","131.26K","1.48%"
"2024- 03- 08","2,030","1,999","2,035","1,999","42.14K","1.55%"
"2024- 03- 07","1,999","2,025","2,030","1,997","141.90K","-1.53%"
"2024- 03- 06","2,030","2,020","2,050","1,998","115.59K","0.50%"
"2024- 03- 05","2,020","2,015","2,025","1,999","74.67K","0.00%"
"2024- 03- 04","2,020","2,025","2,040","1,996","112.34K","0.00%"
"2024- 02- 29","2,020","2,025","2,060","2,000","97.86K","-0.98%"
"2024- 02- 28","2,040","1,995","2,040","1,991","138.79K","2.36%"
"2024- 02- 27","1,993","2,090","2,090","1,970","388.74K","-0.85%"
"2024- 02- 26","2,010","2,045","2,120","1,990","514.57K","-2.90%"
"2024- 02- 23","2,070","2,075","2,115","2,050","231.82K","-0.72%"
"2024- 02- 22","2,085","2,215","2,230","2,050","1.49M","-10.13%"
"2024- 02- 21","2,320","2,160","2,320","2,145","2.06M","5.94%"
"2024- 02- 20","2,190","2,175","2,210","2,105","525.48K","1.39%"
"2024- 02- 19","2,160","2,085","2,180","2,070","679.74K","6.14%"
"2024- 02- 16","2,035","2,035","2,050","2,020","85.10K","0.49%"
"2024- 02- 15","2,025","2,115","2,115","2,020","125.15K","-3.11%"
"2024- 02- 14","2,090","2,040","2,100","2,010","207.64K","2.45%"
"2024- 02- 13","2,040","2,005","2,055","2,005","92.99K","1.75%"
"2024- 02- 08","2,005","2,025","2,045","2,000","157.35K","-1.47%"
"2024- 02- 07","2,035","2,005","2,040","2,005","150.42K","0.74%"
"2024- 02- 06","2,020","2,055","2,055","2,010","159.26K","-1.94%"
"2024- 02- 05","2,060","2,050","2,105","2,030","215.40K","0.00%"
"2024- 02- 02","2,060","2,100","2,100","2,020","631.13K","-2.83%"
"2024- 02- 01","2,120","2,090","2,150","2,065","1.91K","-1.17%"
"2024- 01- 31","2,145","1,975","2,150","1,975","0.57K","8.77%"
"2024- 01- 30","1,972","1,849","1,973","1,849","0.30K","7.47%"
"2024- 01- 29","1,835","1,860","1,864","1,830","90.72K","-1.18%"
"2024- 01- 26","1,857","1,825","1,859","1,820","52.62K","1.64%"
"2024- 01- 25","1,827","1,823","1,827","1,801","43.87K","0.38%"
"2024- 01- 24","1,820","1,843","1,862","1,809","118.56K","-1.09%"
"2024- 01- 23","1,840","1,840","1,874","1,830","115.32K","0.00%"
"2024- 01- 22","1,840","1,874","1,875","1,840","105.63K","-1.60%"
"2024- 01- 19","1,870","1,863","1,894","1,863","42.04K","0.54%"
"2024- 01- 18","1,860","1,860","1,865","1,841","48.18K","0.00%"
"2024- 01- 17","1,860","1,906","1,906","1,849","76.79K","-2.26%"
"2024- 01- 16","1,903","1,882","1,906","1,880","57.89K","1.12%"
"2024- 01- 15","1,882","1,895","1,927","1,879","36.36K","-0.58%"
"2024- 01- 12","1,893","1,939","1,939","1,883","101.74K","-1.10%"
"2024- 01- 11","1,914","1,917","1,936","1,910","77.46K","0.00%"
"2024- 01- 10","1,914","1,935","1,950","1,912","75.87K","-1.09%"
"2024- 01- 09","1,935","1,963","1,963","1,930","109.71K","-1.23%"
"2024- 01- 08","1,959","1,976","1,987","1,943","1.00K","-1.01%"
"2024- 01- 07","1,979","1,979","1,979","1,979","","0.00%"
"2024- 01- 05","1,979","2,050","2,095","1,964","659.25K","3.02%"
"2024- 01- 04","1,921","1,896","1,929","1,887","0.88K","1.59%"
"2024- 01- 03","1,891","1,910","1,960","1,891","96.34K","-0.99%"
"2024- 01- 02","1,910","1,922","1,958","1,910","49.25K","-1.55%"
