"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","8,210","8,090","8,340","7,910","19.80K","1.48%"
"2024- 05- 07","8,090","8,120","8,120","7,990","28.04K","-0.49%"
"2024- 05- 03","8,130","8,070","8,240","7,910","32.33K","-0.61%"
"2024- 05- 02","8,180","8,150","8,280","7,810","39.89K","0.37%"
"2024- 04- 30","8,150","8,350","8,690","7,900","159.07K","2.13%"
"2024- 04- 29","7,980","8,220","8,260","7,850","37.66K","-3.86%"
"2024- 04- 26","8,300","8,040","8,360","7,840","33.93K","3.23%"
"2024- 04- 25","8,040","8,090","8,150","7,860","40.06K","-0.25%"
"2024- 04- 24","8,060","7,920","8,130","7,760","21.56K","1.77%"
"2024- 04- 23","7,920","7,840","8,150","7,660","63.93K","1.02%"
"2024- 04- 22","7,840","8,270","8,270","7,650","106.88K","-7.76%"
"2024- 04- 19","8,500","8,010","9,200","7,900","717.94K","6.25%"
"2024- 04- 18","8,000","7,700","8,000","7,640","52.83K","0.00%"
"2024- 04- 17","8,000","7,800","8,280","7,520","130.99K","-2.56%"
"2024- 04- 16","8,210","7,940","9,700","7,940","1.16M","3.40%"
"2024- 04- 15","7,940","8,080","8,580","7,630","257.62K","-3.76%"
"2024- 04- 12","8,250","7,640","8,400","7,270","340.55K","7.84%"
"2024- 04- 11","7,650","8,000","8,030","7,310","241.97K","-2.92%"
"2024- 04- 09","7,880","8,490","9,260","7,250","2.23M","8.69%"
"2024- 04- 08","7,250","5,580","7,250","5,530","786.43K","29.93%"
"2024- 04- 05","5,580","5,620","5,650","5,420","7.07K","-1.41%"
"2024- 04- 04","5,660","5,630","5,750","5,620","1.92K","-0.18%"
"2024- 04- 03","5,670","5,750","5,900","5,660","6.19K","-1.73%"
"2024- 04- 02","5,770","5,900","5,900","5,770","3.13K","-0.86%"
"2024- 04- 01","5,820","5,800","5,960","5,800","4.49K","-0.68%"
"2024- 03- 29","5,860","5,940","5,980","5,840","1.30K","-0.17%"
"2024- 03- 28","5,870","6,040","6,040","5,820","2.35K","-0.34%"
"2024- 03- 27","5,890","5,930","5,990","5,860","5.59K","-0.51%"
"2024- 03- 26","5,920","5,910","6,090","5,890","2.46K","-0.17%"
"2024- 03- 25","5,930","5,970","6,150","5,910","1.98K","-0.50%"
"2024- 03- 22","5,960","5,960","6,050","5,900","2.96K","0.00%"
"2024- 03- 21","5,960","5,950","5,970","5,900","1.45K","0.00%"
"2024- 03- 20","5,960","5,970","5,970","5,860","1.02K","-0.17%"
"2024- 03- 19","5,970","5,940","6,000","5,870","2.38K","-0.17%"
"2024- 03- 18","5,980","6,040","6,040","5,960","0.74K","-1.81%"
"2024- 03- 15","6,090","6,030","6,090","5,970","0.43K","1.00%"
"2024- 03- 14","6,030","6,080","6,130","5,940","4.02K","1.34%"
"2024- 03- 13","5,950","5,980","6,020","5,920","2.11K","-0.50%"
"2024- 03- 12","5,980","6,030","6,080","5,860","7.70K","0.67%"
"2024- 03- 11","5,940","6,000","6,040","5,920","2.76K","-1.00%"
"2024- 03- 08","6,000","6,060","6,060","5,990","1.31K","-0.99%"
"2024- 03- 07","6,060","6,000","6,060","5,970","4.27K","0.00%"
"2024- 03- 06","6,060","6,080","6,100","6,050","1.03K","0.00%"
"2024- 03- 05","6,060","6,020","6,130","6,020","1.11K","-0.33%"
"2024- 03- 04","6,080","6,050","6,080","6,020","1.35K","0.50%"
"2024- 02- 29","6,050","6,070","6,130","6,020","2.93K","-0.33%"
"2024- 02- 28","6,070","6,060","6,100","6,060","1.00K","0.17%"
"2024- 02- 27","6,060","6,160","6,160","6,060","2.37K","-0.82%"
"2024- 02- 26","6,110","6,100","6,290","6,050","3.84K","-0.33%"
"2024- 02- 23","6,130","6,150","6,190","6,080","5.59K","-0.16%"
"2024- 02- 22","6,140","6,190","6,350","6,120","3.83K","-0.81%"
"2024- 02- 21","6,190","6,270","6,390","6,170","3.11K","-0.80%"
"2024- 02- 20","6,240","6,370","6,430","6,180","1.43K","-2.04%"
"2024- 02- 19","6,370","6,210","6,440","6,190","3.23K","3.24%"
"2024- 02- 16","6,170","6,390","7,000","6,170","18.49K","0.98%"
"2024- 02- 15","6,110","6,180","6,290","6,090","2.73K","-0.33%"
"2024- 02- 14","6,130","6,100","6,290","6,100","2.20K","0.16%"
"2024- 02- 13","6,120","6,300","6,360","6,120","4.30K","-3.77%"
"2024- 02- 08","6,360","6,290","6,370","6,210","2.09K","1.76%"
"2024- 02- 07","6,250","6,160","6,390","6,160","2.84K","1.46%"
"2024- 02- 06","6,160","6,160","6,350","6,150","4.08K","0.00%"
"2024- 02- 05","6,160","6,490","7,170","6,150","40.46K","-5.38%"
"2024- 02- 02","6,510","6,490","6,700","6,420","7.03K","0.31%"
"2024- 02- 01","6,490","6,320","6,520","6,290","2.12K","2.20%"
"2024- 01- 31","6,350","6,200","6,530","6,110","11.56K","1.44%"
"2024- 01- 30","6,260","6,300","6,370","6,260","3.48K","-2.64%"
"2024- 01- 29","6,430","6,360","6,480","6,300","3.84K","0.94%"
"2024- 01- 26","6,370","6,500","6,500","6,340","1.42K","-2.75%"
"2024- 01- 25","6,550","6,500","6,550","6,450","0.90K","0.77%"
"2024- 01- 24","6,500","6,360","6,560","6,360","2.48K","0.31%"
"2024- 01- 23","6,480","6,380","6,490","6,270","2.17K","1.73%"
"2024- 01- 22","6,370","6,350","6,520","6,320","5.54K","-1.39%"
