"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","2,775","2,745","2,780","2,750","37.87K","0.18%"
"2024- 05- 07","2,770","2,745","2,770","2,735","49.73K","0.91%"
"2024- 05- 03","2,745","2,730","2,755","2,730","26.14K","0.55%"
"2024- 05- 02","2,730","2,725","2,755","2,725","38.93K","-0.36%"
"2024- 04- 30","2,740","2,740","2,785","2,740","59.10K","-0.90%"
"2024- 04- 29","2,765","2,760","2,775","2,755","28.31K","-0.18%"
"2024- 04- 26","2,770","2,765","2,775","2,740","31.97K","0.73%"
"2024- 04- 25","2,750","2,740","2,760","2,725","27.09K","0.36%"
"2024- 04- 24","2,740","2,745","2,755","2,700","35.89K","0.00%"
"2024- 04- 23","2,740","2,700","2,745","2,690","36.36K","1.67%"
"2024- 04- 22","2,695","2,670","2,695","2,665","24.06K","0.75%"
"2024- 04- 19","2,675","2,695","2,705","2,640","41.61K","-1.11%"
"2024- 04- 18","2,705","2,645","2,705","2,645","22.35K","1.69%"
"2024- 04- 17","2,660","2,650","2,680","2,640","50.74K","0.00%"
"2024- 04- 16","2,660","2,660","2,675","2,620","72.44K","-0.56%"
"2024- 04- 15","2,675","2,740","2,740","2,650","126.06K","-2.37%"
"2024- 04- 12","2,740","2,705","2,745","2,705","58.68K","1.29%"
"2024- 04- 11","2,705","2,685","2,720","2,620","57.58K","0.00%"
"2024- 04- 09","2,705","2,740","2,755","2,705","76.06K","-1.10%"
"2024- 04- 08","2,735","2,760","2,780","2,730","79.88K","-0.91%"
"2024- 04- 05","2,760","2,800","2,810","2,745","125.82K","-1.78%"
"2024- 04- 04","2,810","2,835","2,845","2,800","115.81K","-0.88%"
"2024- 04- 03","2,835","2,880","2,880","2,820","77.63K","-1.56%"
"2024- 04- 02","2,880","2,915","2,915","2,835","133.76K","-1.37%"
"2024- 04- 01","2,920","2,925","2,985","2,915","225.74K","0.52%"
"2024- 03- 29","2,905","2,865","2,925","2,855","180.55K","1.93%"
"2024- 03- 28","2,850","2,865","2,875","2,825","145.14K","-0.52%"
"2024- 03- 27","2,865","2,850","2,910","2,830","158.47K","0.70%"
"2024- 03- 26","2,845","2,860","2,865","2,820","122.10K","-0.35%"
"2024- 03- 25","2,855","2,890","2,890","2,850","119.95K","-1.04%"
"2024- 03- 22","2,885","2,850","2,890","2,830","184.58K","0.87%"
"2024- 03- 21","2,860","2,755","3,030","2,755","2.82M","4.00%"
"2024- 03- 20","2,750","2,760","2,780","2,745","30.69K","0.00%"
"2024- 03- 19","2,750","2,760","2,760","2,730","32.89K","-0.36%"
"2024- 03- 18","2,760","2,750","2,770","2,745","29.26K","-0.54%"
"2024- 03- 15","2,775","2,780","2,790","2,745","49.96K","-0.18%"
"2024- 03- 14","2,780","2,770","2,805","2,745","40.72K","0.18%"
"2024- 03- 13","2,775","2,760","2,790","2,755","27.58K","0.00%"
"2024- 03- 12","2,775","2,740","2,795","2,740","35.35K","0.73%"
"2024- 03- 11","2,755","2,765","2,785","2,750","27.10K","-0.90%"
"2024- 03- 08","2,780","2,765","2,805","2,740","51.16K","0.18%"
"2024- 03- 07","2,775","2,805","2,805","2,770","12.81K","-0.89%"
"2024- 03- 06","2,800","2,770","2,800","2,750","25.05K","0.36%"
"2024- 03- 05","2,790","2,790","2,805","2,735","58.37K","0.00%"
"2024- 03- 04","2,790","2,800","2,810","2,780","23.84K","-0.36%"
"2024- 03- 03","2,800","2,800","2,800","2,800","","0.00%"
"2024- 02- 29","2,800","2,815","2,815","2,770","42.10K","0.00%"
"2024- 02- 28","2,800","2,800","2,810","2,775","27.68K","0.00%"
"2024- 02- 27","2,800","2,795","2,800","2,740","54.16K","-0.18%"
"2024- 02- 26","2,805","2,805","2,805","2,770","31.32K","0.00%"
"2024- 02- 25","2,805","2,805","2,805","2,805","","0.00%"
"2024- 02- 23","2,805","2,815","2,820","2,770","39.52K","-0.71%"
"2024- 02- 22","2,825","2,835","2,840","2,805","0.02K","-0.18%"
"2024- 02- 21","2,830","2,855","2,870","2,820","32.25K","-0.88%"
"2024- 02- 20","2,855","2,850","2,860","2,830","24.47K","0.35%"
"2024- 02- 19","2,845","2,835","2,865","2,830","36.93K","0.00%"
"2024- 02- 16","2,845","2,840","2,870","2,825","40.72K","0.18%"
"2024- 02- 15","2,840","2,790","2,840","2,780","85.35K","2.16%"
"2024- 02- 14","2,780","2,740","2,780","2,740","30.81K","0.18%"
"2024- 02- 13","2,775","2,775","2,780","2,765","35.37K","0.18%"
"2024- 02- 08","2,770","2,735","2,775","2,725","24.08K","1.47%"
"2024- 02- 07","2,730","2,740","2,745","2,730","15.33K","-0.18%"
"2024- 02- 06","2,735","2,760","2,760","2,720","27.12K","-0.91%"
"2024- 02- 05","2,760","2,765","2,775","2,745","28.67K","-0.54%"
"2024- 02- 02","2,775","2,725","2,775","2,725","66.54K","1.28%"
"2024- 02- 01","2,740","2,740","2,740","2,710","51.11K","0.00%"
"2024- 01- 31","2,740","2,755","2,785","2,740","29.64K","-1.44%"
"2024- 01- 30","2,780","2,745","2,785","2,745","26.61K","0.91%"
"2024- 01- 29","2,755","2,775","2,790","2,740","49.08K","-0.72%"
"2024- 01- 26","2,775","2,775","2,785","2,735","26.11K","0.18%"
"2024- 01- 25","2,770","2,775","2,790","2,750","23.31K","-0.18%"
"2024- 01- 24","2,775","2,790","2,815","2,760","21.17K","-0.18%"
"2024- 01- 23","2,780","2,740","2,790","2,735","20.53K","1.46%"
"2024- 01- 22","2,740","2,760","2,770","2,735","50.16K","-0.72%"
"2024- 01- 19","2,760","2,760","2,785","2,755","47.98K","-0.36%"
"2024- 01- 18","2,770","2,750","2,785","2,715","49.76K","0.73%"
"2024- 01- 17","2,750","2,820","2,820","2,745","70.03K","-2.83%"
"2024- 01- 16","2,830","2,830","2,845","2,800","40.04K","0.00%"
"2024- 01- 15","2,830","2,900","2,905","2,830","64.99K","-2.58%"
"2024- 01- 12","2,905","2,920","2,920","2,880","35.29K","-0.51%"
"2024- 01- 11","2,920","2,910","2,920","2,905","22.37K","0.34%"
"2024- 01- 10","2,910","2,920","2,935","2,905","57.46K","0.00%"
"2024- 01- 09","2,910","2,855","2,925","2,850","114.95K","1.93%"
"2024- 01- 08","2,855","2,840","2,875","2,840","43.10K","0.35%"
"2024- 01- 05","2,845","2,845","2,845","2,810","22.86K","0.00%"
"2024- 01- 04","2,845","2,845","2,845","2,815","33.16K","0.00%"
"2024- 01- 03","2,845","2,865","2,865","2,830","23.38K","-0.70%"
"2024- 01- 02","2,865","2,860","2,865","2,845","27.18K","0.17%"
