"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 03- 29","412","325","422","324","26.16M","26.77%"
"2024- 03- 28","325","334","338","322","1.13M","-2.69%"
"2024- 03- 27","334","356","357","332","1.19M","-4.57%"
"2024- 03- 26","350","355","370","345","1.73M","-1.41%"
"2024- 03- 25","355","375","380","350","2.25M","-5.33%"
"2024- 03- 22","375","382","383","360","2.29M","-1.83%"
"2024- 03- 21","382","387","395","325","4.51M","-3.78%"
"2024- 03- 20","397","399","404","393","761.93K","-0.50%"
"2024- 03- 19","399","406","406","395","864.98K","-0.50%"
"2024- 03- 18","401","411","416","401","1.07M","-2.20%"
"2024- 03- 15","410","417","421","407","915.36K","-1.68%"
"2024- 03- 14","417","428","429","410","979.23K","-2.57%"
"2024- 03- 13","428","423","429","410","1.08M","1.18%"
"2024- 03- 12","423","433","433","415","1.29M","-1.17%"
"2024- 03- 11","428","418","470","413","4.66M","4.14%"
"2024- 03- 10","411","411","411","411","","0.00%"
"2024- 03- 08","411","413","427","388","2.44M","-0.48%"
"2024- 03- 07","413","422","431","412","1.27M","-2.13%"
"2024- 03- 06","422","433","458","420","3.15M","-2.99%"
"2024- 03- 05","435","431","480","398","10.85M","0.93%"
"2024- 03- 04","431","435","493","400","18.51M","-22.34%"
"2024- 02- 29","555","494","633","492","60.16M","13.96%"
"2024- 02- 28","487","490","498","481","706.00K","-1.02%"
"2024- 02- 27","492","511","513","488","1.32M","-3.53%"
"2024- 02- 26","510","542","546","510","1.07M","-5.90%"
"2024- 02- 25","542","542","542","542","","0.00%"
"2024- 02- 23","542","548","560","534","565.54K","0.00%"
"2024- 02- 22","542","569","570","539","1.27M","-5.08%"
"2024- 02- 21","571","594","598","564","978.05K","-3.87%"
"2024- 02- 20","594","579","600","573","868.64K","2.59%"
"2024- 02- 19","579","607","607","570","918.47K","-0.34%"
"2024- 02- 16","581","558","584","556","1.22M","4.68%"
"2024- 02- 15","555","558","565","546","636.60K","0.00%"
"2024- 02- 14","555","554","560","545","545.42K","-0.72%"
"2024- 02- 13","559","564","566","540","1.26M","2.38%"
"2024- 02- 12","546","546","546","546","","0.00%"
"2024- 02- 08","546","546","562","531","850.46K","0.18%"
"2024- 02- 07","545","552","562","540","1.14M","-2.50%"
"2024- 02- 06","559","588","599","541","3.26M","-4.77%"
"2024- 02- 05","587","529","649","521","17.93M","12.67%"
"2024- 02- 04","521","521","521","521","","0.00%"
"2024- 02- 02","521","507","543","500","1.48M","2.76%"
"2024- 02- 01","507","520","520","488","583.95K","-2.69%"
"2024- 01- 31","521","505","524","490","888.16K","3.37%"
"2024- 01- 30","504","499","524","491","1.86M","1.61%"
"2024- 01- 29","496","518","518","489","1.69M","-3.88%"
"2024- 01- 26","516","528","561","513","2.55M","-1.71%"
"2024- 01- 25","525","544","554","512","2.62M","-3.85%"
"2024- 01- 24","546","560","579","521","3.80M","-3.19%"
"2024- 01- 23","564","569","590","541","3.70M","-3.42%"
"2024- 01- 22","584","622","638","563","5.11M","-4.89%"
"2024- 01- 21","614","614","614","614","","0.00%"
"2024- 01- 19","614","631","687","601","16.70M","1.66%"
"2024- 01- 18","604","776","776","603","23.56M","-22.66%"
"2024- 01- 17","781","999","999","773","13.01M","-29.19%"
"2024- 01- 16","1,103","1,125","1,132","1,102","198.39K","-1.96%"
"2024- 01- 15","1,125","1,125","1,155","1,111","251.83K","0.00%"
"2024- 01- 12","1,125","1,128","1,147","1,115","228.30K","-1.06%"
"2024- 01- 11","1,137","1,135","1,159","1,130","154.07K","-0.26%"
"2024- 01- 10","1,140","1,164","1,168","1,140","141.46K","-2.06%"
"2024- 01- 09","1,164","1,135","1,190","1,134","286.12K","2.65%"
"2024- 01- 08","1,134","1,132","1,142","1,124","157.29K","0.18%"
"2024- 01- 05","1,132","1,134","1,142","1,127","130.62K","-0.18%"
"2024- 01- 04","1,134","1,150","1,155","1,101","332.46K","-1.82%"
"2024- 01- 03","1,155","1,159","1,166","1,147","200.27K","-0.35%"
"2024- 01- 02","1,159","1,139","1,174","1,130","287.44K","0.78%"
