"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","4,040.00","4,095.00","4,095.00","4,010.00","113.07K","-0.98%"
"2024- 05- 07","4,080.00","4,080.00","4,095.00","4,045.00","161.34K","2.00%"
"2024- 05- 03","4,000.00","4,085.00","4,110.00","3,985.00","276.06K","-1.60%"
"2024- 05- 02","4,065.00","4,125.00","4,125.00","4,035.00","120.49K","0.87%"
"2024- 04- 30","4,030.00","4,025.00","4,175.00","4,025.00","213.64K","0.12%"
"2024- 04- 29","4,025.00","4,000.00","4,055.00","3,910.00","138.31K","1.13%"
"2024- 04- 26","3,980.00","4,010.00","4,050.00","3,930.00","121.56K","-1.12%"
"2024- 04- 25","4,025.00","4,040.00","4,090.00","4,005.00","139.53K","-0.25%"
"2024- 04- 24","4,035.00","3,975.00","4,075.00","3,975.00","89.79K","1.77%"
"2024- 04- 23","3,965.00","3,975.00","4,025.00","3,950.00","136.59K","-0.25%"
"2024- 04- 22","3,975.00","3,980.00","4,050.00","3,935.00","153.06K","0.00%"
"2024- 04- 19","3,975.00","4,055.00","4,055.00","3,940.00","188.51K","-1.97%"
"2024- 04- 18","4,055.00","3,970.00","4,080.00","3,970.00","125.44K","0.25%"
"2024- 04- 17","4,045.00","4,200.00","4,200.00","4,030.00","146.36K","-1.58%"
"2024- 04- 16","4,110.00","4,190.00","4,235.00","4,070.00","179.21K","-1.91%"
"2024- 04- 15","4,190.00","3,945.00","4,490.00","3,900.00","1.08M","3.46%"
"2024- 04- 12","4,050.00","4,200.00","4,210.00","4,030.00","175.88K","-1.22%"
"2024- 04- 11","4,100.00","4,080.00","4,225.00","4,065.00","102.19K","-0.49%"
"2024- 04- 09","4,120.00","4,170.00","4,220.00","4,095.00","159.10K","-1.55%"
"2024- 04- 08","4,185.00","4,280.00","4,335.00","4,080.00","223.92K","-2.22%"
"2024- 04- 05","4,280.00","4,495.00","4,550.00","4,260.00","469.18K","-7.46%"
"2024- 04- 04","4,625.00","4,585.00","4,665.00","4,545.00","256.43K","0.00%"
"2024- 04- 03","4,625.00","4,565.00","4,660.00","4,465.00","255.71K","1.31%"
"2024- 04- 02","4,565.00","4,555.00","4,625.00","4,410.00","333.60K","0.11%"
"2024- 04- 01","4,560.00","4,425.00","4,560.00","4,420.00","217.20K","3.52%"
"2024- 03- 29","4,405.00","4,420.00","4,495.00","4,355.00","205.06K","-0.34%"
