"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","2,495","2,500","2,500","2,495","0.09K","0.20%"
"2024- 05- 07","2,490","2,500","2,500","2,300","2.00K","0.81%"
"2024- 05- 03","2,470","2,685","2,685","2,375","1.54K","-2.95%"
"2024- 05- 02","2,545","2,600","2,900","2,400","2.22K","-0.39%"
"2024- 04- 30","2,555","2,290","2,570","2,290","2.66K","14.06%"
"2024- 04- 29","2,240","2,435","2,595","2,120","4.80K","-8.20%"
"2024- 04- 26","2,440","2,890","2,990","2,440","16.75K","-14.83%"
"2024- 04- 25","2,865","2,880","2,880","2,705","0.30K","0.17%"
"2024- 04- 24","2,860","2,800","2,890","2,745","1.83K","2.51%"
"2024- 04- 23","2,790","2,700","2,795","2,650","6.54K","7.10%"
"2024- 04- 22","2,605","2,850","2,850","2,415","10.09K","3.37%"
"2024- 04- 19","2,520","2,400","2,520","2,400","79.79K","14.81%"
"2024- 04- 08","2,195","2,495","2,495","1,955","56.56K","-4.57%"
"2024- 04- 05","2,300","2,470","2,470","2,300","8.38K","-4.17%"
"2024- 04- 04","2,400","2,265","2,500","2,265","34.71K","-9.77%"
"2024- 04- 03","2,660","3,100","3,100","2,660","19.48K","-14.88%"
"2024- 04- 02","3,125","3,450","3,450","3,060","14.66K","-13.19%"
"2024- 04- 01","3,600","3,900","4,080","3,535","15.52K","-13.36%"
"2024- 03- 29","4,155","4,400","4,500","4,000","2.16K","-3.37%"
"2024- 03- 28","4,300","4,250","4,300","4,150","0.58K","1.18%"
"2024- 03- 27","4,250","4,495","4,495","3,800","8.52K","-2.52%"
"2024- 03- 26","4,360","4,495","4,495","4,240","1.40K","-0.80%"
"2024- 03- 25","4,395","4,490","4,490","4,210","3.29K","1.50%"
"2024- 03- 22","4,330","4,375","5,000","4,330","21.05K","-14.93%"
"2024- 03- 21","5,090","5,800","6,000","5,000","8.33K","-8.94%"
"2024- 03- 20","5,590","5,100","5,700","5,000","8.71K","10.91%"
"2024- 03- 19","5,040","4,885","5,390","4,715","3.39K","3.17%"
"2024- 03- 18","4,885","4,400","4,885","4,200","18.14K","14.94%"
"2024- 03- 15","4,250","5,100","5,200","4,250","16.12K","-15.00%"
"2024- 03- 14","5,000","6,220","6,220","4,600","46.93K","-7.58%"
"2024- 03- 13","5,410","5,410","5,410","5,410","7.28K","14.98%"
"2024- 03- 12","4,705","4,705","4,705","4,705","2.48K","14.90%"
"2024- 03- 11","4,095","4,095","4,095","4,095","15.90K","14.87%"
"2024- 03- 08","3,565","3,200","3,565","3,100","8.18K","15.00%"
"2024- 03- 07","3,100","3,000","3,200","2,930","5.36K","6.35%"
"2024- 03- 06","2,915","3,045","3,045","2,865","4.28K","-4.27%"
"2024- 03- 05","3,045","3,190","3,190","2,960","8.22K","0.00%"
"2024- 03- 04","3,045","2,790","3,045","2,650","21.19K","14.91%"
"2024- 02- 29","2,650","2,545","2,800","2,525","6.33K","5.16%"
"2024- 02- 28","2,520","2,500","2,520","2,500","1.05K","-0.79%"
"2024- 02- 27","2,540","2,570","2,570","2,455","1.82K","0.99%"
"2024- 02- 26","2,515","2,515","2,515","2,440","1.34K","-0.20%"
"2024- 02- 23","2,520","2,535","2,535","2,495","3.46K","-0.59%"
"2024- 02- 22","2,535","2,535","2,535","2,535","0.00K","-0.39%"
"2024- 02- 21","2,545","2,595","2,595","2,545","0.15K","0.79%"
"2024- 02- 20","2,525","2,525","2,525","2,525","0.02K","-0.20%"
"2024- 02- 19","2,530","2,500","2,575","2,445","4.41K","1.20%"
"2024- 02- 16","2,500","2,690","2,690","2,465","3.68K","-1.77%"
"2024- 02- 15","2,545","2,590","2,590","2,545","0.76K","2.21%"
"2024- 02- 14","2,490","2,445","2,500","2,430","1.76K","1.63%"
"2024- 02- 13","2,450","2,410","2,590","2,355","9.36K","-0.61%"
"2024- 02- 08","2,465","2,600","2,600","2,425","5.18K","-0.20%"
"2024- 02- 07","2,470","2,500","2,500","2,470","0.23K","-0.60%"
"2024- 02- 06","2,485","2,600","2,600","2,395","1.68K","-1.58%"
"2024- 02- 05","2,525","2,600","2,600","2,525","0.13K","1.61%"
"2024- 02- 02","2,485","2,500","2,555","2,405","2.14K","3.33%"
"2024- 02- 01","2,405","2,305","2,420","2,305","1.77K","-2.83%"
"2024- 01- 31","2,475","2,400","2,595","2,400","4.73K","3.34%"
"2024- 01- 30","2,395","2,500","2,500","2,200","0.59K","-0.83%"
"2024- 01- 29","2,415","2,540","2,540","2,310","6.36K","-4.55%"
"2024- 01- 26","2,530","2,640","2,640","2,475","7.00K","-4.17%"
"2024- 01- 25","2,640","2,755","2,755","2,600","8.49K","-4.52%"
"2024- 01- 24","2,765","2,760","2,795","2,715","4.86K","-2.30%"
"2024- 01- 23","2,830","2,730","2,895","2,730","1.47K","-2.25%"
"2024- 01- 22","2,895","2,895","2,895","2,770","0.70K","-0.17%"
"2024- 01- 19","2,900","2,995","2,995","2,800","0.05K","1.75%"
"2024- 01- 18","2,850","2,850","2,900","2,825","1.37K","0.88%"
"2024- 01- 17","2,825","2,755","2,860","2,750","1.73K","0.18%"
"2024- 01- 16","2,820","2,800","2,820","2,800","0.01K","-0.18%"
