"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 30","189,000","183,700","191,200","183,300","1.21M","2.89%"
"2024- 04- 29","183,700","178,500","183,800","178,500","636.32K","4.02%"
"2024- 04- 26","176,600","177,500","178,800","176,400","218.51K","-0.45%"
"2024- 04- 25","177,400","177,700","179,000","176,100","299.20K","-1.17%"
"2024- 04- 24","179,500","180,200","180,900","179,100","276.54K","-0.11%"
"2024- 04- 23","179,700","178,800","179,700","177,600","289.56K","0.56%"
"2024- 04- 22","178,700","175,700","178,700","174,800","427.53K","3.35%"
"2024- 04- 19","172,900","175,000","175,400","171,000","497.37K","-2.37%"
"2024- 04- 18","177,100","172,900","177,800","172,900","463.65K","3.57%"
"2024- 04- 17","171,000","173,200","177,000","169,700","675.73K","-0.58%"
"2024- 04- 16","172,000","177,300","178,300","171,900","608.33K","-3.70%"
"2024- 04- 15","178,600","180,000","180,300","178,500","346.53K","-1.98%"
"2024- 04- 12","182,200","179,400","183,300","178,100","473.07K","1.50%"
"2024- 04- 11","179,500","177,700","180,700","177,800","514.85K","-0.99%"
"2024- 04- 09","181,300","190,000","190,700","181,300","769.86K","-3.82%"
"2024- 04- 08","188,500","177,000","190,900","176,100","1.04M","6.20%"
"2024- 04- 05","177,500","178,000","179,300","177,300","329.55K","-1.17%"
"2024- 04- 04","179,600","182,400","182,700","179,600","314.25K","-0.50%"
"2024- 04- 03","180,500","181,600","182,300","179,600","472.15K","-1.80%"
"2024- 04- 02","183,800","186,800","187,700","183,800","509.24K","-2.29%"
"2024- 04- 01","188,100","193,500","194,100","187,000","667.92K","-1.62%"
"2024- 03- 29","191,200","184,000","192,800","184,000","1.43M","4.03%"
"2024- 03- 28","183,800","182,500","186,300","182,000","396.20K","-0.22%"
"2024- 03- 27","184,200","184,500","186,000","180,300","639.27K","-1.18%"
"2024- 03- 26","186,400","188,800","191,500","185,500","685.71K","-1.32%"
"2024- 03- 25","188,900","190,200","192,400","188,900","641.06K","0.37%"
"2024- 03- 22","188,200","185,600","188,900","185,500","567.17K","1.29%"
"2024- 03- 21","185,800","185,000","185,800","183,200","591.69K","1.47%"
"2024- 03- 20","183,100","185,300","185,500","183,000","369.64K","-0.70%"
"2024- 03- 19","184,400","181,000","184,800","180,500","610.82K","1.04%"
"2024- 03- 18","182,500","180,900","184,400","180,300","530.94K","0.94%"
"2024- 03- 17","180,800","180,200","180,800","180,800","0.05K","0.00%"
"2024- 03- 15","180,800","180,200","182,300","178,800","1.03M","0.78%"
"2024- 03- 14","179,400","179,000","180,500","178,800","0.25K","0.34%"
"2024- 03- 13","178,800","181,800","181,900","177,700","0.03K","-1.60%"
"2024- 03- 12","181,700","180,500","182,000","179,400","0.02K","1.23%"
"2024- 03- 11","179,500","181,600","182,500","179,300","0.07K","-0.44%"
"2024- 03- 10","180,300","180,300","180,300","180,300","","0.00%"
"2024- 03- 08","180,300","179,800","181,300","177,900","513.88K","1.81%"
"2024- 03- 07","177,100","181,400","183,000","176,700","0.00K","-1.94%"
"2024- 03- 06","180,600","176,000","180,900","174,500","652.39K","2.73%"
"2024- 03- 05","175,800","175,000","180,000","172,300","977.18K","-0.17%"
"2024- 03- 04","176,100","180,500","181,300","175,100","0.54K","-2.00%"
"2024- 03- 03","179,700","179,700","179,700","179,700","","0.00%"
"2024- 02- 29","179,700","189,600","191,300","179,700","1.32M","-5.42%"
"2024- 02- 28","190,000","190,200","193,300","186,800","0.14K","-0.05%"
"2024- 02- 27","190,100","182,000","191,400","181,300","0.00K","4.74%"
"2024- 02- 26","181,500","182,100","183,200","180,900","0.00K","0.83%"
"2024- 02- 25","180,000","180,000","180,000","180,000","","0.00%"
"2024- 02- 23","180,000","177,200","184,400","176,800","809.58K","1.98%"
"2024- 02- 22","176,500","178,300","179,600","175,500","0.02K","-0.28%"
"2024- 02- 21","177,000","179,900","180,000","176,900","543.29K","-1.61%"
"2024- 02- 20","179,900","182,600","183,000","179,700","0.06K","-1.37%"
"2024- 02- 19","182,400","182,200","183,800","181,600","289.71K","0.11%"
"2024- 02- 18","182,200","182,200","182,200","182,200","","0.00%"
"2024- 02- 16","182,200","184,400","184,500","182,000","288.81K","-0.22%"
"2024- 02- 15","182,600","186,100","186,100","182,600","0.31K","-0.87%"
"2024- 02- 14","184,200","184,600","186,000","182,700","0.26K","-1.76%"
"2024- 02- 13","187,500","181,700","188,200","181,400","0.17K","4.40%"
"2024- 02- 12","179,600","179,600","179,600","179,600","","0.00%"
"2024- 02- 08","179,600","179,600","182,400","179,200","631.50K","0.34%"
"2024- 02- 07","179,000","184,100","185,500","178,700","0.03K","-2.19%"
"2024- 02- 06","183,000","181,200","186,200","181,200","569.86K","1.16%"
"2024- 02- 05","180,900","184,100","184,300","179,500","1.12K","-1.68%"
"2024- 02- 04","184,000","184,000","184,000","184,000","","0.00%"
"2024- 02- 02","184,000","178,700","184,000","178,700","536.61K","2.97%"
"2024- 02- 01","178,700","177,600","179,800","173,700","0.12K","-0.56%"
"2024- 01- 31","179,700","179,600","180,800","176,500","0.04K","0.06%"
"2024- 01- 30","179,600","184,000","185,100","179,600","0.13K","-1.16%"
"2024- 01- 29","181,700","184,000","187,500","181,700","0.01K","-0.27%"
"2024- 01- 28","182,200","182,200","182,200","182,200","","0.00%"
"2024- 01- 26","182,200","180,800","184,200","179,200","381.08K","0.11%"
"2024- 01- 25","182,000","180,400","183,900","179,000","0.45K","0.72%"
"2024- 01- 24","180,700","182,900","183,100","180,500","291.05K","-0.50%"
"2024- 01- 23","181,600","186,100","188,500","180,800","0.02K","-1.09%"
"2024- 01- 22","183,600","178,000","185,900","178,000","0.01K","4.32%"
"2024- 01- 19","176,000","175,900","180,900","174,900","791.84K","0.74%"
"2024- 01- 18","174,700","178,000","179,500","173,800","0.13K","-1.85%"
"2024- 01- 17","178,000","186,200","186,600","177,100","0.51K","-5.07%"
"2024- 01- 16","187,500","192,400","194,300","186,000","0.68K","-0.32%"
"2024- 01- 15","188,100","196,300","199,000","186,400","0.00K","-4.47%"
"2024- 01- 14","196,900","196,900","196,900","196,900","","0.00%"
"2024- 01- 12","196,900","198,200","205,500","194,600","1.72M","-3.95%"
"2024- 01- 11","205,000","202,500","209,000","197,700","2.09K","-0.49%"
"2024- 01- 10","206,000","206,000","210,000","205,000","402.63K","0.00%"
"2024- 01- 09","206,000","211,000","212,500","204,000","0.46K","0.00%"
"2024- 01- 08","206,000","213,000","216,000","204,500","0.02K","-3.96%"
"2024- 01- 07","214,500","214,500","214,500","214,500","","0.00%"
"2024- 01- 05","214,500","215,000","220,500","213,000","955.20K","-1.61%"
"2024- 01- 04","218,000","228,500","228,500","214,500","0.08K","-5.83%"
"2024- 01- 03","231,500","228,500","232,500","224,000","0.35K","0.00%"
"2024- 01- 02","231,500","203,500","241,000","203,500","5.93M","14.89%"
