"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 30","96,100","92,500","97,500","92,100","267.72K","4.23%"
"2024- 04- 29","92,200","90,800","92,300","90,700","135.28K","2.56%"
"2024- 04- 26","89,900","91,500","91,500","89,900","81.61K","-0.88%"
"2024- 04- 25","90,700","91,000","91,800","90,500","53.04K","-1.31%"
"2024- 04- 24","91,900","92,100","92,700","91,200","76.13K","0.66%"
"2024- 04- 23","91,300","91,800","92,300","91,100","68.64K","-0.33%"
"2024- 04- 22","91,600","91,400","92,500","90,500","101.46K","2.12%"
"2024- 04- 19","89,700","90,200","90,600","88,000","136.85K","-2.39%"
"2024- 04- 18","91,900","89,000","92,500","89,000","127.33K","4.67%"
"2024- 04- 17","87,800","90,400","92,700","87,700","242.67K","-2.44%"
"2024- 04- 16","90,000","92,800","93,700","89,900","146.34K","-4.36%"
"2024- 04- 15","94,100","95,500","95,800","94,000","74.46K","-2.28%"
"2024- 04- 12","96,300","96,100","97,300","94,200","95.96K","1.26%"
"2024- 04- 11","95,100","94,000","96,400","93,600","68.66K","-0.83%"
"2024- 04- 09","95,900","98,100","100,800","95,700","157.73K","-2.14%"
"2024- 04- 08","98,000","94,600","100,000","92,700","280.86K","3.59%"
"2024- 04- 05","94,600","97,000","97,500","94,500","163.98K","-3.47%"
"2024- 04- 04","98,000","98,500","99,600","97,100","146.14K","-0.10%"
"2024- 04- 03","98,100","99,600","100,200","98,100","176.09K","-2.49%"
"2024- 04- 02","100,600","103,400","103,500","100,400","195.25K","-2.71%"
"2024- 04- 01","103,400","105,500","106,500","103,400","182.18K","-1.62%"
"2024- 03- 29","105,100","104,600","106,800","103,900","303.46K","1.35%"
"2024- 03- 28","103,700","104,200","106,100","103,700","307.71K","-2.26%"
"2024- 03- 27","106,100","111,600","111,600","103,600","668.90K","-5.86%"
"2024- 03- 26","112,700","114,800","116,800","111,100","356.52K","-2.34%"
"2024- 03- 25","115,400","116,000","117,000","114,000","247.21K","0.87%"
"2024- 03- 22","114,400","115,300","117,800","113,500","352.57K","-0.26%"
"2024- 03- 21","114,700","112,700","114,800","111,800","327.23K","2.69%"
"2024- 03- 20","111,700","111,800","113,000","110,500","191.19K","0.09%"
"2024- 03- 19","111,600","110,300","112,100","108,300","228.93K","1.64%"
"2024- 03- 18","109,800","108,100","111,500","108,000","185.92K","1.86%"
"2024- 03- 17","107,800","107,800","107,800","107,800","","-1.82%"
"2024- 03- 15","109,800","108,100","112,500","107,800","21.15K","0.64%"
"2024- 03- 14","109,100","109,700","110,600","108,500","0.05K","0.28%"
"2024- 03- 13","108,800","112,000","112,000","107,900","0.00K","-2.77%"
"2024- 03- 12","111,900","111,400","112,400","110,700","165.66K","0.45%"
"2024- 03- 11","111,400","114,400","115,500","111,100","0.02K","-1.76%"
"2024- 03- 10","113,400","113,400","113,400","113,400","","0.00%"
"2024- 03- 08","113,400","112,000","114,500","112,000","301.82K","1.61%"
"2024- 03- 07","111,600","114,800","116,500","110,900","0.00K","-1.24%"
"2024- 03- 06","113,000","107,900","114,000","106,700","496.91K","4.44%"
"2024- 03- 05","108,200","109,100","111,800","106,400","0.36K","-1.01%"
"2024- 03- 04","109,300","110,700","113,600","108,000","0.01K","-1.44%"
"2024- 03- 03","110,900","110,900","110,900","110,900","","0.00%"
"2024- 02- 29","110,900","115,600","117,000","110,400","507.14K","-4.73%"
"2024- 02- 28","116,400","116,500","119,600","114,100","0.23K","0.43%"
"2024- 02- 27","115,900","107,500","117,500","106,400","6.53K","9.03%"
"2024- 02- 26","106,300","107,400","108,600","106,300","0.02K","1.33%"
"2024- 02- 25","104,900","104,900","104,900","104,900","","0.00%"
"2024- 02- 23","104,900","100,800","108,800","100,100","764.21K","4.38%"
"2024- 02- 22","100,500","99,800","101,800","99,300","0.00K","0.50%"
"2024- 02- 21","100,000","101,400","101,900","99,600","0.26K","-1.67%"
"2024- 02- 20","101,700","102,600","103,200","101,300","0.01K","-0.68%"
"2024- 02- 19","102,400","103,600","103,900","102,400","0.62K","-0.58%"
"2024- 02- 18","103,000","103,000","103,000","103,000","","0.00%"
"2024- 02- 16","103,000","103,900","104,100","101,500","122.97K","0.19%"
"2024- 02- 15","102,800","105,500","105,500","102,700","0.01K","-1.63%"
"2024- 02- 14","104,500","102,800","104,900","102,100","190.21K","0.00%"
