"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","652","643","654","635","943.05K","1.88%"
"2024- 05- 07","640","645","650","638","785.43K","-0.16%"
"2024- 05- 03","641","647","654","636","763.45K","-0.62%"
"2024- 05- 02","645","640","655","635","1.21M","0.16%"
"2024- 04- 30","644","672","734","635","11.76M","-4.45%"
"2024- 04- 29","674","617","678","617","5.77M","9.59%"
"2024- 04- 26","615","608","615","602","727.93K","0.99%"
"2024- 04- 25","609","614","619","605","692.48K","-0.98%"
"2024- 04- 24","615","605","627","603","1.34M","2.67%"
"2024- 04- 23","599","608","617","599","704.39K","-1.16%"
"2024- 04- 22","606","607","615","601","454.67K","-0.66%"
"2024- 04- 19","610","616","620","598","971.16K","-1.61%"
"2024- 04- 18","620","600","621","600","706.41K","3.16%"
"2024- 04- 17","601","605","618","601","667.56K","-0.83%"
"2024- 04- 16","606","620","626","598","1.85M","-3.50%"
"2024- 04- 15","628","636","643","618","1.27M","-2.94%"
"2024- 04- 12","647","649","660","645","681.28K","-0.31%"
"2024- 04- 11","649","639","659","632","1.04M","0.93%"
"2024- 04- 09","643","658","670","643","1.10M","-3.16%"
"2024- 04- 08","664","686","694","655","2.01M","-3.07%"
"2024- 04- 05","685","695","705","685","1.90M","-2.56%"
"2024- 04- 04","703","710","712","700","1.21M","-0.99%"
"2024- 04- 03","710","700","736","689","3.06M","0.57%"
"2024- 04- 02","706","713","721","695","1.78M","-0.98%"
"2024- 04- 01","713","710","728","707","1.55M","0.42%"
"2024- 03- 29","710","719","724","702","1.54M","-0.14%"
"2024- 03- 28","711","708","715","707","1.08M","0.00%"
"2024- 03- 27","711","732","734","707","1.64M","-3.13%"
"2024- 03- 26","734","708","741","706","3.64M","3.67%"
"2024- 03- 25","708","710","712","701","1.12M","-0.28%"
"2024- 03- 22","710","720","723","703","1.61M","-1.25%"
"2024- 03- 21","719","724","733","717","1.62M","0.42%"
"2024- 03- 20","716","729","734","710","2.01M","-1.78%"
"2024- 03- 19","729","730","735","715","1.64M","0.97%"
"2024- 03- 18","722","737","746","720","2.03M","-2.04%"
"2024- 03- 17","737","737","737","737","","0.00%"
"2024- 03- 15","737","724","750","709","3.62M","0.55%"
"2024- 03- 14","733","755","760","730","3.03M","-2.91%"
"2024- 03- 13","755","750","820","744","2.44K","-0.66%"
"2024- 03- 12","760","718","802","708","24.69K","6.29%"
"2024- 03- 11","715","758","767","715","2.54K","-4.92%"
"2024- 03- 10","752","752","752","752","","0.00%"
"2024- 03- 08","752","812","871","748","32.87M","-2.84%"
"2024- 03- 07","774","680","774","661","0.00K","13.82%"
"2024- 03- 06","680","658","694","654","2.85M","1.64%"
"2024- 03- 05","669","711","724","660","6.06M","-3.46%"
"2024- 03- 04","693","689","707","683","2.93M","0.43%"
"2024- 02- 29","690","704","720","681","6.39M","-4.43%"
"2024- 02- 28","722","742","751","715","4.14K","-3.22%"
"2024- 02- 27","746","786","791","745","14.33K","-5.21%"
"2024- 02- 26","787","795","811","769","1.65K","-1.13%"
"2024- 02- 25","796","796","796","796","","0.00%"
"2024- 02- 23","796","833","835","789","16.48M","-6.35%"
"2024- 02- 22","850","804","934","788","46.14K","4.17%"
"2024- 02- 21","816","745","937","724","93.09M","8.08%"
"2024- 02- 20","755","786","788","745","0.96K","-2.58%"
"2024- 02- 19","775","821","825","772","13.48M","-3.97%"
"2024- 02- 18","807","807","807","807","","0.00%"
"2024- 02- 16","807","786","860","766","55.43M","1.38%"
"2024- 02- 15","796","628","820","628","209.99K","24.57%"
"2024- 02- 14","639","617","640","613","1.39M","3.57%"
"2024- 02- 13","617","602","620","600","969.17K","2.66%"
"2024- 02- 12","601","601","601","601","","0.00%"
"2024- 02- 08","601","603","609","598","912.66K","-0.33%"
"2024- 02- 07","603","610","610","600","1.10K","-1.15%"
"2024- 02- 06","610","616","627","608","1.31M","-1.93%"
"2024- 02- 05","622","623","627","611","1.42M","0.00%"
"2024- 02- 04","622","622","622","622","","0.00%"
"2024- 02- 02","622","620","630","616","1.79M","-0.32%"
"2024- 02- 01","624","642","668","624","0.01K","-4.00%"
"2024- 01- 31","650","672","675","635","0.00K","-2.40%"
"2024- 01- 30","666","643","667","630","0.00K","3.90%"
"2024- 01- 29","641","618","688","618","12.89M","4.57%"
"2024- 01- 28","613","613","613","613","","0.00%"
"2024- 01- 26","613","610","625","605","1.08M","0.49%"
"2024- 01- 25","610","625","625","609","24.28K","-2.71%"
"2024- 01- 24","627","637","657","619","3.64M","-0.32%"
"2024- 01- 23","629","614","631","602","1.21M","2.28%"
"2024- 01- 22","615","630","636","600","1.23M","-1.60%"
"2024- 01- 19","625","619","634","613","1.13M","1.79%"
"2024- 01- 18","614","611","620","599","2.02M","0.33%"
"2024- 01- 17","612","633","635","604","1.25M","-3.77%"
"2024- 01- 16","636","648","651","620","2.63K","-2.00%"
"2024- 01- 15","649","650","657","637","0.08K","-0.92%"
"2024- 01- 14","655","655","655","655","","0.00%"
"2024- 01- 12","655","664","693","634","5.74M","0.61%"
"2024- 01- 11","651","603","657","603","10.98M","8.14%"
"2024- 01- 10","602","613","615","602","1.33K","-1.47%"
"2024- 01- 09","611","607","611","603","1.17M","0.33%"
"2024- 01- 08","609","587","616","584","1.76M","4.10%"
"2024- 01- 05","585","587","587","579","539.64K","0.00%"
"2024- 01- 04","585","590","592","574","791.27K","-0.85%"
"2024- 01- 03","590","593","600","589","588.67K","-0.67%"
"2024- 01- 02","594","594","596","579","639.31K","1.19%"
