"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","1,334","1,318","1,337","1,300","101.88K","1.14%"
"2024- 05- 07","1,319","1,300","1,328","1,291","103.72K","1.77%"
"2024- 05- 03","1,296","1,300","1,322","1,295","77.11K","-0.31%"
"2024- 05- 02","1,300","1,292","1,321","1,292","49.47K","-0.38%"
"2024- 04- 30","1,305","1,322","1,328","1,299","65.60K","-1.06%"
"2024- 04- 29","1,319","1,301","1,320","1,296","41.46K","1.38%"
"2024- 04- 26","1,301","1,339","1,350","1,301","41.05K","-2.55%"
"2024- 04- 25","1,335","1,302","1,358","1,281","110.92K","2.61%"
"2024- 04- 24","1,301","1,320","1,322","1,299","50.91K","-0.91%"
"2024- 04- 23","1,313","1,308","1,348","1,308","26.61K","-0.38%"
"2024- 04- 22","1,318","1,320","1,320","1,286","78.81K","-0.15%"
"2024- 04- 19","1,320","1,329","1,349","1,306","53.25K","-1.49%"
"2024- 04- 18","1,340","1,275","1,350","1,275","393.36K","4.28%"
"2024- 04- 17","1,285","1,303","1,358","1,285","41.34K","-1.98%"
"2024- 04- 16","1,311","1,323","1,368","1,311","39.43K","-1.87%"
"2024- 04- 15","1,336","1,304","1,336","1,275","80.59K","1.98%"
"2024- 04- 12","1,310","1,323","1,345","1,310","60.58K","-1.87%"
"2024- 04- 11","1,335","1,323","1,344","1,271","104.81K","0.91%"
"2024- 04- 09","1,323","1,343","1,361","1,322","205.02K","-2.51%"
"2024- 04- 08","1,357","1,359","1,360","1,318","99.29K","-0.15%"
"2024- 04- 05","1,359","1,337","1,385","1,319","358.58K","-2.72%"
"2024- 04- 04","1,397","1,383","1,424","1,375","38.25K","1.01%"
"2024- 04- 03","1,383","1,400","1,405","1,379","76.56K","-3.29%"
"2024- 04- 02","1,430","1,442","1,487","1,430","220.72K","-3.38%"
"2024- 04- 01","1,480","1,466","1,485","1,427","175.21K","0.95%"
"2024- 03- 29","1,466","1,447","1,527","1,431","328.47K","-0.41%"
"2024- 03- 28","1,472","1,473","1,535","1,470","154.20K","-1.27%"
"2024- 03- 27","1,491","1,488","1,503","1,470","54.86K","-0.80%"
"2024- 03- 26","1,503","1,503","1,503","1,466","55.55K","0.00%"
"2024- 03- 25","1,503","1,490","1,508","1,457","63.31K","0.87%"
"2024- 03- 22","1,490","1,478","1,510","1,452","74.66K","0.81%"
"2024- 03- 21","1,478","1,520","1,520","1,470","121.23K","-1.47%"
"2024- 03- 20","1,500","1,465","1,520","1,462","107.67K","2.04%"
"2024- 03- 19","1,470","1,481","1,487","1,460","62.23K","-1.67%"
"2024- 03- 18","1,495","1,484","1,520","1,447","88.58K","0.27%"
"2024- 03- 17","1,491","1,491","1,491","1,491","","0.00%"
"2024- 03- 15","1,491","1,465","1,515","1,430","182.64K","1.77%"
"2024- 03- 14","1,465","1,395","1,520","1,390","584.51K","4.87%"
"2024- 03- 13","1,397","1,405","1,405","1,377","35.44K","-0.57%"
"2024- 03- 12","1,405","1,408","1,409","1,386","63.82K","-0.28%"
"2024- 03- 11","1,409","1,390","1,433","1,365","84.12K","1.37%"
"2024- 03- 10","1,390","1,390","1,390","1,390","","0.00%"
"2024- 03- 08","1,390","1,400","1,453","1,360","297.21K","1.76%"
"2024- 03- 07","1,366","1,382","1,382","1,349","50.95K","-1.23%"
"2024- 03- 06","1,383","1,376","1,390","1,367","30.26K","-0.43%"
"2024- 03- 05","1,389","1,375","1,438","1,372","71.77K","1.02%"
"2024- 03- 04","1,375","1,360","1,378","1,356","79.49K","1.10%"
"2024- 03- 03","1,360","1,360","1,360","1,360","","0.00%"
"2024- 02- 29","1,360","1,371","1,383","1,350","63.19K","-1.66%"
"2024- 02- 28","1,383","1,387","1,389","1,365","57.28K","-0.29%"
"2024- 02- 27","1,387","1,355","1,387","1,338","128.64K","3.12%"
"2024- 02- 26","1,345","1,400","1,405","1,345","189.10K","-2.54%"
"2024- 02- 25","1,380","1,380","1,380","1,380","","0.00%"
"2024- 02- 23","1,380","1,396","1,396","1,364","105.92K","-1.22%"
"2024- 02- 22","1,397","1,412","1,412","1,382","105.03K","-1.06%"
"2024- 02- 21","1,412","1,406","1,420","1,400","33.88K","-0.63%"
"2024- 02- 20","1,421","1,428","1,450","1,410","37.52K","-0.49%"
"2024- 02- 19","1,428","1,411","1,450","1,400","60.12K","1.20%"
"2024- 02- 16","1,411","1,398","1,414","1,398","50.39K","0.07%"
"2024- 02- 15","1,410","1,411","1,419","1,396","35.11K","-0.07%"
"2024- 02- 14","1,411","1,377","1,419","1,377","98.60K","1.15%"
"2024- 02- 13","1,395","1,374","1,408","1,374","83.39K","1.53%"
"2024- 02- 12","1,374","1,374","1,374","1,374","","0.00%"
"2024- 02- 08","1,374","1,390","1,390","1,369","69.26K","-1.15%"
"2024- 02- 07","1,390","1,387","1,414","1,362","62.62K","0.22%"
"2024- 02- 06","1,387","1,390","1,400","1,374","66.05K","-0.22%"
"2024- 02- 05","1,390","1,394","1,417","1,377","58.28K","-0.29%"
"2024- 02- 02","1,394","1,415","1,423","1,385","120.89K","-2.04%"
"2024- 02- 01","1,423","1,376","1,435","1,376","60.79K","2.74%"
"2024- 01- 31","1,385","1,418","1,418","1,372","120.08K","-2.40%"
"2024- 01- 30","1,419","1,421","1,444","1,388","136.38K","-0.14%"
"2024- 01- 29","1,421","1,446","1,462","1,413","98.84K","-1.73%"
"2024- 01- 28","1,446","1,446","1,446","1,446","","0.00%"
"2024- 01- 26","1,446","1,425","1,477","1,416","116.52K","1.47%"
"2024- 01- 25","1,425","1,460","1,485","1,412","236.78K","-2.86%"
"2024- 01- 24","1,467","1,521","1,538","1,467","272.61K","-3.55%"
"2024- 01- 23","1,521","1,511","1,558","1,497","389.93K","0.13%"
"2024- 01- 22","1,519","1,528","1,544","1,499","221.96K","-0.72%"
"2024- 01- 19","1,530","1,787","1,787","1,500","2.11M","-6.02%"
"2024- 01- 18","1,628","1,480","1,628","1,471","1.13M","9.26%"
"2024- 01- 17","1,490","1,495","1,514","1,448","70.75K","-0.33%"
"2024- 01- 16","1,495","1,518","1,526","1,478","36.79K","-1.52%"
"2024- 01- 15","1,518","1,510","1,543","1,488","213.96K","-0.65%"
"2024- 01- 12","1,528","1,530","1,546","1,500","63.53K","-0.13%"
"2024- 01- 11","1,530","1,521","1,542","1,506","48.07K","-0.39%"
"2024- 01- 10","1,536","1,523","1,550","1,475","203.23K","0.07%"
"2024- 01- 09","1,535","1,540","1,556","1,475","119.71K","0.79%"
"2024- 01- 08","1,523","1,492","1,534","1,485","161.41K","2.08%"
"2024- 01- 05","1,492","1,450","1,496","1,445","92.61K","2.26%"
"2024- 01- 04","1,459","1,488","1,500","1,410","47.93K","-1.95%"
"2024- 01- 03","1,488","1,455","1,489","1,449","106.65K","1.02%"
"2024- 01- 02","1,473","1,448","1,510","1,441","134.26K","1.73%"
