"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","1,447","1,407","1,531","1,401","2.52M","2.26%"
"2024- 05- 07","1,415","1,400","1,446","1,392","271.71K","1.07%"
"2024- 05- 03","1,400","1,400","1,419","1,385","169.70K","-0.14%"
"2024- 05- 02","1,402","1,375","1,410","1,369","201.63K","1.74%"
"2024- 04- 30","1,378","1,380","1,388","1,377","113.16K","-0.36%"
"2024- 04- 29","1,383","1,368","1,388","1,364","145.88K","1.17%"
"2024- 04- 26","1,367","1,400","1,403","1,366","227.37K","0.00%"
"2024- 04- 25","1,367","1,388","1,394","1,367","155.29K","-1.58%"
"2024- 04- 24","1,389","1,360","1,390","1,360","159.70K","2.66%"
"2024- 04- 23","1,353","1,361","1,373","1,353","127.41K","-0.66%"
"2024- 04- 22","1,362","1,369","1,390","1,355","218.17K","-0.51%"
"2024- 04- 19","1,369","1,394","1,396","1,337","424.48K","-2.49%"
"2024- 04- 18","1,404","1,366","1,422","1,366","204.41K","2.86%"
"2024- 04- 17","1,365","1,370","1,396","1,365","282.54K","-0.36%"
"2024- 04- 16","1,370","1,411","1,430","1,365","368.06K","-4.53%"
"2024- 04- 15","1,435","1,450","1,450","1,338","684.05K","-1.17%"
"2024- 04- 12","1,452","1,468","1,541","1,444","1.79M","1.11%"
"2024- 04- 11","1,436","1,450","1,450","1,430","158.09K","-1.17%"
"2024- 04- 09","1,453","1,434","1,456","1,426","207.80K","1.32%"
"2024- 04- 08","1,434","1,463","1,469","1,429","357.25K","-2.05%"
"2024- 04- 05","1,464","1,474","1,519","1,443","1.28M","0.34%"
"2024- 04- 04","1,459","1,463","1,484","1,437","948.45K","-0.14%"
"2024- 04- 03","1,461","1,489","1,489","1,453","798.93K","-1.95%"
"2024- 04- 02","1,490","1,500","1,540","1,481","1.34M","-2.61%"
"2024- 04- 01","1,530","1,487","1,600","1,470","4.51M","2.89%"
"2024- 03- 29","1,487","1,478","1,620","1,459","8.49M","3.55%"
"2024- 03- 28","1,436","1,589","1,593","1,435","2.64M","-2.97%"
"2024- 03- 27","1,480","1,488","1,500","1,461","600.04K","-1.33%"
"2024- 03- 26","1,500","1,485","1,518","1,459","1.60M","1.76%"
"2024- 03- 25","1,474","1,413","1,550","1,401","4.79M","4.61%"
"2024- 03- 22","1,409","1,406","1,432","1,396","612.29K","-0.42%"
"2024- 03- 21","1,415","1,450","1,480","1,415","859.63K","-1.94%"
