"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","3,615","3,760","3,785","3,585","1.08M","-6.10%"
"2024- 05- 07","3,850","3,705","3,930","3,675","1.31M","4.48%"
"2024- 05- 03","3,685","3,685","3,715","3,640","270.18K","1.24%"
"2024- 05- 02","3,640","3,590","3,680","3,590","203.73K","1.25%"
"2024- 04- 30","3,595","3,620","3,635","3,515","249.36K","0.00%"
"2024- 04- 29","3,595","3,675","3,695","3,575","341.46K","-2.18%"
"2024- 04- 26","3,675","3,770","3,770","3,630","298.95K","-1.61%"
"2024- 04- 25","3,735","3,795","3,800","3,700","306.98K","-1.45%"
"2024- 04- 24","3,790","3,680","3,790","3,670","525.20K","3.41%"
"2024- 04- 23","3,665","3,635","3,730","3,635","305.13K","0.83%"
"2024- 04- 22","3,635","3,730","3,845","3,635","1.08M","-0.95%"
"2024- 04- 19","3,670","3,630","3,755","3,595","449.44K","0.82%"
"2024- 04- 18","3,640","3,530","3,645","3,525","177.56K","2.82%"
"2024- 04- 17","3,540","3,515","3,575","3,515","106.65K","0.71%"
"2024- 04- 16","3,515","3,600","3,650","3,515","271.08K","-2.77%"
"2024- 04- 15","3,615","3,520","3,750","3,520","336.86K","0.00%"
"2024- 04- 12","3,615","3,655","3,715","3,585","285.07K","-0.96%"
"2024- 04- 11","3,650","3,495","3,650","3,480","480.86K","2.24%"
"2024- 04- 09","3,570","3,605","3,645","3,545","236.32K","-1.24%"
"2024- 04- 08","3,615","3,760","3,760","3,615","366.59K","-2.95%"
"2024- 04- 05","3,725","3,755","3,795","3,695","335.38K","-1.06%"
"2024- 04- 04","3,765","3,835","3,875","3,730","492.48K","-1.70%"
"2024- 04- 03","3,830","3,840","3,875","3,750","448.25K","-0.26%"
"2024- 04- 02","3,840","3,790","3,865","3,705","799.07K","1.32%"
"2024- 04- 01","3,790","3,715","3,980","3,700","1.52M","2.02%"
"2024- 03- 29","3,715","3,715","3,795","3,700","307.65K","-0.67%"
"2024- 03- 28","3,740","3,760","3,800","3,700","412.21K","-0.66%"
"2024- 03- 27","3,765","3,745","3,865","3,730","761.16K","1.21%"
"2024- 03- 26","3,720","3,835","3,870","3,715","862.46K","-3.13%"
"2024- 03- 25","3,840","3,950","4,015","3,820","1.79M","-7.02%"
"2024- 03- 22","4,130","3,925","4,170","3,850","3.82M","6.86%"
"2024- 03- 21","3,865","3,905","3,940","3,855","449.62K","-0.13%"
"2024- 03- 20","3,870","3,870","3,970","3,845","748.73K","0.39%"
"2024- 03- 19","3,855","3,920","3,925","3,765","676.83K","-1.66%"
"2024- 03- 18","3,920","4,050","4,095","3,900","1.42M","-3.21%"
"2024- 03- 17","4,050","4,050","4,050","4,050","","0.75%"
"2024- 03- 15","4,020","4,050","4,060","3,840","504.60K","3.61%"
"2024- 03- 14","3,880","3,865","3,935","3,805","745.81K","0.78%"
"2024- 03- 13","3,850","3,830","3,885","3,755","0.55K","1.05%"
"2024- 03- 12","3,810","3,800","3,835","3,655","824.47K","1.74%"
"2024- 03- 11","3,745","3,935","4,000","3,720","0.18K","-2.60%"
"2024- 03- 10","3,845","3,845","3,845","3,845","","0.00%"
"2024- 03- 08","3,845","3,765","3,855","3,720","841.41K","1.05%"
"2024- 03- 07","3,805","3,975","3,985","3,720","1.50K","-3.43%"
"2024- 03- 06","3,940","3,930","4,075","3,920","863.04K","-1.50%"
"2024- 03- 05","4,000","4,045","4,135","3,900","0.04K","-3.96%"
"2024- 03- 04","4,165","4,350","4,445","4,165","0.80K","-7.13%"
"2024- 02- 29","4,485","4,250","4,510","4,150","4.53M","1.47%"
"2024- 02- 28","4,420","4,000","4,500","3,995","2.55K","12.33%"
"2024- 02- 27","3,935","4,090","4,200","3,865","0.11K","-2.60%"
"2024- 02- 26","4,040","4,300","4,450","4,000","7.86K","5.21%"
"2024- 02- 25","3,840","3,840","3,840","3,840","","0.00%"
"2024- 02- 23","3,840","3,715","3,840","3,685","1.03M","4.63%"
"2024- 02- 22","3,670","3,730","3,760","3,655","271.28K","-1.61%"
"2024- 02- 21","3,730","3,720","3,740","3,650","407.43K","1.63%"
"2024- 02- 20","3,670","3,685","3,740","3,640","435.17K","-2.00%"
"2024- 02- 19","3,745","3,840","3,950","3,725","0.00K","0.54%"
"2024- 02- 16","3,725","3,720","3,745","3,670","239.65K","0.13%"
"2024- 02- 15","3,720","3,715","3,800","3,700","461.65K","0.13%"
"2024- 02- 14","3,715","3,660","3,740","3,660","0.01K","0.00%"
"2024- 02- 13","3,715","3,770","3,770","3,620","0.00K","-0.27%"
"2024- 02- 08","3,725","3,560","3,725","3,560","391.99K","2.48%"
"2024- 02- 07","3,635","3,640","3,650","3,580","0.00K","-0.27%"
"2024- 02- 06","3,645","3,605","3,655","3,545","210.41K","1.11%"
"2024- 02- 05","3,605","3,595","3,665","3,575","273.83K","0.56%"
"2024- 02- 02","3,585","3,550","3,695","3,530","591.12K","3.91%"
"2024- 02- 01","3,450","3,390","3,490","3,390","129.45K","0.00%"
"2024- 01- 31","3,450","3,490","3,535","3,420","160.71K","-2.13%"
"2024- 01- 30","3,525","3,500","3,620","3,495","166.13K","0.86%"
"2024- 01- 29","3,495","3,610","3,620","3,480","363.00K","-3.32%"
"2024- 01- 28","3,615","3,615","3,615","3,615","","0.00%"
"2024- 01- 26","3,615","3,625","3,660","3,595","187.74K","-0.28%"
"2024- 01- 25","3,625","3,660","3,835","3,560","1.33M","0.42%"
"2024- 01- 24","3,610","3,630","3,740","3,580","608.69K","0.70%"
"2024- 01- 23","3,585","3,640","3,655","3,555","0.20K","-1.24%"
"2024- 01- 22","3,630","3,690","3,695","3,580","282.48K","-1.89%"
"2024- 01- 21","3,700","3,700","3,700","3,700","","0.00%"
"2024- 01- 19","3,700","3,720","3,760","3,670","320.26K","-0.13%"
"2024- 01- 18","3,705","3,645","3,740","3,635","1.34K","2.63%"
"2024- 01- 17","3,610","3,650","3,700","3,580","0.01K","-2.30%"
"2024- 01- 16","3,695","3,670","3,710","3,615","297.44K","0.00%"
"2024- 01- 15","3,695","3,575","3,850","3,575","0.10K","3.50%"
"2024- 01- 12","3,570","3,540","3,610","3,500","261.84K","0.85%"
"2024- 01- 11","3,540","3,550","3,680","3,525","495.43K","-0.42%"
"2024- 01- 10","3,555","3,655","3,660","3,545","303.14K","-1.80%"
"2024- 01- 09","3,620","3,495","3,635","3,480","722.32K","3.58%"
"2024- 01- 08","3,495","3,445","3,535","3,400","319.76K","2.49%"
"2024- 01- 07","3,410","3,410","3,410","3,410","","0.00%"
"2024- 01- 05","3,410","3,430","3,475","3,385","339.29K","-1.87%"
"2024- 01- 04","3,475","3,500","3,530","3,430","436.84K","-1.56%"
"2024- 01- 03","3,530","3,475","3,560","3,435","0.70K","1.29%"
"2024- 01- 02","3,485","3,350","3,600","3,340","2.49M","5.13%"
