"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","5,640","5,540","5,650","5,500","28.22K","0.18%"
"2024- 05- 07","5,630","5,580","5,650","5,580","26.51K","0.90%"
"2024- 05- 03","5,580","5,580","5,610","5,500","33.69K","0.54%"
"2024- 05- 02","5,550","5,460","5,550","5,460","42.66K","1.65%"
"2024- 04- 30","5,460","5,480","5,540","5,450","40.09K","-0.36%"
"2024- 04- 29","5,480","5,380","5,480","5,380","46.98K","1.86%"
"2024- 04- 26","5,380","5,450","5,490","5,310","79.09K","-1.28%"
"2024- 04- 25","5,450","5,600","5,640","5,420","99.90K","-3.20%"
"2024- 04- 24","5,630","5,640","5,690","5,600","54.21K","0.00%"
"2024- 04- 23","5,630","5,630","5,750","5,610","54.24K","-0.35%"
"2024- 04- 22","5,650","5,690","5,790","5,650","67.80K","-0.70%"
"2024- 04- 19","5,690","5,700","5,890","5,650","99.59K","-0.52%"
"2024- 04- 18","5,720","5,620","5,790","5,620","37.64K","0.35%"
"2024- 04- 17","5,700","5,650","5,820","5,650","70.42K","-0.35%"
"2024- 04- 16","5,720","5,830","5,910","5,700","79.34K","-2.22%"
"2024- 04- 15","5,850","6,060","6,100","5,830","140.05K","-4.41%"
"2024- 04- 12","6,120","6,150","6,180","6,060","49.68K","0.33%"
"2024- 04- 11","6,100","6,190","6,250","6,030","67.99K","-1.45%"
"2024- 04- 09","6,190","6,100","6,250","6,100","57.52K","0.65%"
"2024- 04- 08","6,150","6,180","6,190","6,050","63.51K","-0.65%"
"2024- 04- 05","6,190","6,210","6,240","6,090","98.49K","-1.12%"
"2024- 04- 04","6,260","6,280","6,420","6,170","122.60K","-0.16%"
"2024- 04- 03","6,270","6,370","6,390","6,200","88.55K","-1.72%"
"2024- 04- 02","6,380","6,630","6,660","6,330","155.56K","-3.48%"
"2024- 04- 01","6,610","6,380","6,690","6,380","244.88K","3.61%"
"2024- 03- 29","6,380","6,340","6,590","6,290","281.31K","0.31%"
"2024- 03- 28","6,360","6,460","6,610","6,350","585.74K","-4.36%"
"2024- 03- 27","6,650","7,060","7,080","6,650","479.02K","-5.00%"
"2024- 03- 26","7,000","7,390","7,520","6,980","726.13K","-6.04%"
"2024- 03- 25","7,450","7,720","7,990","7,450","1.09M","-8.02%"
"2024- 03- 22","8,100","7,640","9,120","7,600","10.46M","4.92%"
"2024- 03- 21","7,720","7,520","8,830","7,210","11.97M","-2.28%"
"2024- 03- 20","7,900","6,050","7,900","6,050","5.15M","29.93%"
"2024- 03- 19","6,080","6,240","6,240","6,040","29.12K","-1.30%"
"2024- 03- 18","6,160","6,080","6,230","6,080","26.84K","0.16%"
"2024- 03- 15","6,150","6,080","6,170","6,030","3.51K","0.33%"
"2024- 03- 14","6,130","6,070","6,280","6,000","37.56K","0.82%"
"2024- 03- 13","6,080","6,200","6,200","6,060","24.00K","-1.14%"
"2024- 03- 12","6,150","6,230","6,280","6,140","31.69K","-1.28%"
"2024- 03- 11","6,230","6,280","6,350","6,160","36.99K","1.14%"
"2024- 03- 10","6,160","6,160","6,160","6,160","","0.00%"
"2024- 03- 08","6,160","6,070","6,200","6,020","32.37K","1.99%"
"2024- 03- 07","6,040","6,070","6,180","6,030","40.05K","-1.47%"
"2024- 03- 06","6,130","6,110","6,190","6,030","39.49K","0.00%"
"2024- 03- 05","6,130","6,140","6,190","6,120","0.00K","-1.13%"
"2024- 03- 04","6,200","6,210","6,300","6,150","33.74K","-0.32%"
"2024- 03- 03","6,220","6,220","6,220","6,220","","0.00%"
"2024- 02- 29","6,220","6,430","6,500","6,220","85.22K","-4.16%"
"2024- 02- 28","6,490","6,430","6,500","6,350","21.15K","0.93%"
"2024- 02- 27","6,430","6,530","6,570","6,330","75.29K","-1.53%"
"2024- 02- 26","6,530","6,650","6,650","6,530","38.36K","-1.80%"
"2024- 02- 23","6,650","6,640","6,790","6,600","42.52K","-0.30%"
"2024- 02- 22","6,670","6,840","6,840","6,600","38.46K","-1.33%"
"2024- 02- 21","6,760","6,730","6,860","6,730","42.92K","-0.15%"
"2024- 02- 20","6,770","6,860","6,880","6,750","36.60K","-1.02%"
"2024- 02- 19","6,840","6,810","6,940","6,750","34.37K","0.88%"
"2024- 02- 16","6,780","6,920","6,920","6,740","37.90K","-1.60%"
"2024- 02- 15","6,890","6,750","6,910","6,730","60.28K","1.77%"
"2024- 02- 14","6,770","6,710","6,810","6,650","25.45K","0.00%"
"2024- 02- 13","6,770","6,620","6,790","6,620","0.00K","2.42%"
"2024- 02- 08","6,610","6,570","6,660","6,570","26.15K","0.15%"
"2024- 02- 07","6,600","6,660","6,720","6,570","29.65K","-0.15%"
"2024- 02- 06","6,610","6,600","6,670","6,590","23.31K","-0.15%"
"2024- 02- 05","6,620","6,750","6,760","6,600","35.15K","-1.05%"
"2024- 02- 04","6,690","6,690","6,690","6,690","","0.00%"
"2024- 02- 02","6,690","6,620","6,740","6,590","42.35K","1.06%"
"2024- 02- 01","6,620","6,580","6,710","6,580","36.85K","-0.15%"
"2024- 01- 31","6,630","6,800","6,890","6,630","43.25K","-2.64%"
"2024- 01- 30","6,810","6,970","7,050","6,790","51.65K","-1.16%"
"2024- 01- 29","6,890","6,860","7,210","6,720","145.46K","3.14%"
"2024- 01- 26","6,680","6,650","6,790","6,630","40.06K","0.45%"
