"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","5,070.00","5,160.00","5,240.00","5,050.00","253.20K","-1.17%"
"2024- 05- 07","5,130.00","5,300.00","5,300.00","5,100.00","501.89K","-3.39%"
"2024- 05- 03","5,310.00","5,060.00","5,560.00","5,040.00","1.27M","6.20%"
"2024- 05- 02","5,000.00","5,360.00","5,400.00","4,995.00","627.09K","-7.75%"
"2024- 04- 30","5,420.00","5,380.00","5,470.00","5,100.00","1.02M","-0.73%"
"2024- 04- 29","5,460.00","5,470.00","5,620.00","5,400.00","1.87M","0.18%"
"2024- 04- 26","5,450.00","4,840.00","5,790.00","4,800.00","5.61M","11.45%"
"2024- 04- 25","4,890.00","5,460.00","5,620.00","4,890.00","963.40K","-10.93%"
"2024- 04- 24","5,490.00","5,390.00","5,860.00","5,190.00","2.93M","-17.44%"
"2024- 04- 23","6,650.00","6,610.00","6,680.00","6,410.00","225.11K","-0.75%"
"2024- 04- 22","6,700.00","7,440.00","7,490.00","6,690.00","400.93K","-10.19%"
"2024- 04- 19","7,460.00","8,230.00","8,330.00","7,410.00","423.89K","-9.36%"
"2024- 04- 18","8,230.00","8,410.00","8,880.00","8,210.00","526.97K","-3.63%"
"2024- 04- 17","8,540.00","8,810.00","9,370.00","8,540.00","1.21M","-1.61%"
"2024- 04- 16","8,680.00","8,780.00","9,980.00","8,610.00","3.53M","0.23%"
"2024- 04- 15","8,660.00","8,940.00","10,210.00","8,130.00","4.85M","-5.56%"
"2024- 04- 12","9,170.00","9,630.00","11,160.00","9,170.00","4.07M","-3.17%"
"2024- 04- 11","9,470.00","8,270.00","10,710.00","8,090.00","9.96M","11.15%"
"2024- 04- 09","8,520.00","10,810.00","12,500.00","8,510.00","11.88M","-15.73%"
"2024- 04- 08","10,110.00","10,110.00","10,110.00","10,110.00","417.37K","29.95%"
"2024- 04- 05","7,780.00","7,780.00","7,780.00","7,780.00","22.80K","30.03%"
"2024- 04- 04","5,983.35","5,941.68","6,000.01","5,791.68","786.35K","1.70%"
"2024- 04- 03","5,883.35","5,866.68","5,975.01","5,800.01","340.91K","-83.26%"
"2024- 04- 02","35,150.00","34,900.00","35,400.00","34,400.00","40.43K","1.15%"
"2024- 04- 01","34,750.00","35,150.00","35,300.00","34,400.00","34.44K","-1.14%"
"2024- 03- 29","35,150.00","34,400.00","35,350.00","33,700.00","48.59K","2.18%"
"2024- 03- 28","34,400.00","33,600.00","34,900.00","33,600.00","44.98K","1.18%"
"2024- 03- 27","34,000.00","33,300.00","34,650.00","32,200.00","67.25K","2.72%"
"2024- 03- 26","33,100.00","32,150.00","33,550.00","31,700.00","52.19K","2.95%"
"2024- 03- 25","32,150.00","32,150.00","33,100.00","32,150.00","52.87K","-0.92%"
"2024- 03- 22","32,450.00","34,100.00","34,150.00","31,650.00","124.07K","-3.71%"
"2024- 03- 21","33,700.00","34,650.00","41,600.00","33,300.00","928.61K","1.81%"
"2024- 03- 20","33,100.00","33,550.00","34,000.00","31,850.00","45.26K","-1.34%"
"2024- 03- 19","33,550.00","34,500.00","35,000.00","33,350.00","29.17K","-1.47%"
"2024- 03- 18","34,050.00","36,100.00","36,100.00","33,800.00","29.95K","-3.54%"
"2024- 03- 15","35,300.00","35,650.00","37,200.00","34,900.00","33.45K","-0.28%"
"2024- 03- 14","35,400.00","34,250.00","35,850.00","34,000.00","13.59K","1.43%"
"2024- 03- 13","34,900.00","35,800.00","35,900.00","34,500.00","0.05K","-2.65%"
"2024- 03- 12","35,850.00","36,500.00","36,600.00","34,700.00","31.16K","-1.78%"
"2024- 03- 11","36,500.00","36,100.00","37,900.00","35,650.00","32.06K","1.25%"
"2024- 03- 08","36,050.00","37,450.00","38,100.00","35,400.00","32.15K","-3.61%"
"2024- 03- 07","37,400.00","37,550.00","38,600.00","37,300.00","25.91K","-0.27%"
"2024- 03- 06","37,500.00","36,000.00","37,750.00","35,500.00","29.84K","4.17%"
"2024- 03- 05","36,000.00","34,900.00","36,650.00","34,900.00","22.74K","1.41%"
"2024- 03- 04","35,500.00","37,500.00","37,800.00","35,400.00","28.91K","-5.33%"
"2024- 02- 29","37,500.00","38,000.00","38,000.00","35,750.00","61.88K","-0.79%"
"2024- 02- 28","37,800.00","38,150.00","39,200.00","34,800.00","0.00K","2.58%"
"2024- 02- 27","36,850.00","38,200.00","39,300.00","36,700.00","69.23K","-2.64%"
"2024- 02- 26","37,850.00","36,650.00","38,300.00","36,450.00","42.95K","2.16%"
"2024- 02- 25","37,050.00","37,050.00","37,050.00","37,050.00","","0.00%"
"2024- 02- 23","37,050.00","35,250.00","37,750.00","34,800.00","75.70K","5.86%"
"2024- 02- 22","35,000.00","35,500.00","36,400.00","34,550.00","30.60K","-2.23%"
