"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 07","9,050","9,050","9,080","8,930","107.11K","0.44%"
"2024- 05- 03","9,010","8,700","9,040","8,640","247.08K","3.68%"
"2024- 05- 02","8,690","8,770","8,770","8,590","60.56K","0.00%"
"2024- 04- 30","8,690","8,710","8,810","8,660","45.92K","-0.23%"
"2024- 04- 29","8,710","8,580","8,770","8,570","95.29K","2.11%"
"2024- 04- 26","8,530","8,690","8,840","8,460","228.32K","-1.61%"
"2024- 04- 25","8,670","8,800","8,950","8,670","109.26K","-1.81%"
"2024- 04- 24","8,830","8,850","9,020","8,730","173.76K","-0.11%"
"2024- 04- 23","8,840","8,650","8,950","8,660","310.99K","2.31%"
"2024- 04- 22","8,640","8,310","8,670","8,310","257.78K","4.10%"
"2024- 04- 19","8,300","8,380","8,420","8,180","140.22K","-0.60%"
"2024- 04- 18","8,350","8,250","8,410","8,210","91.11K","0.72%"
"2024- 04- 17","8,290","8,490","8,460","8,240","177.02K","-1.31%"
"2024- 04- 16","8,400","8,120","8,410","8,080","444.68K","3.45%"
"2024- 04- 15","8,120","7,990","8,130","7,920","146.89K","0.37%"
"2024- 04- 12","8,090","7,950","8,130","7,910","147.33K","1.76%"
"2024- 04- 11","7,950","7,990","8,030","7,750","99.53K","-0.13%"
"2024- 04- 09","7,960","7,910","8,140","7,910","394.99K","0.38%"
"2024- 04- 08","7,930","7,860","8,050","7,770","210.80K","0.89%"
"2024- 04- 05","7,860","7,510","7,900","7,420","272.65K","3.69%"
"2024- 04- 04","7,580","7,550","7,760","7,480","124.11K","1.47%"
"2024- 04- 03","7,470","7,540","7,680","7,420","67.68K","-0.93%"
"2024- 04- 02","7,540","7,660","7,690","7,480","106.26K","-0.66%"
"2024- 04- 01","7,590","7,800","7,880","7,350","112.79K","-2.06%"
"2024- 03- 29","7,750","7,750","7,800","7,290","398.53K","0.13%"
"2024- 03- 28","7,740","7,800","7,900","7,670","152.60K","-0.39%"
"2024- 03- 27","7,770","7,490","7,840","7,480","280.81K","3.46%"
"2024- 03- 26","7,510","7,540","7,560","7,480","66.55K","-0.27%"
"2024- 03- 25","7,530","7,300","7,550","7,300","168.48K","2.31%"
"2024- 03- 22","7,360","7,320","7,380","7,300","59.72K","0.14%"
"2024- 03- 21","7,350","7,310","7,390","7,290","58.93K","0.55%"
"2024- 03- 20","7,310","7,350","7,390","7,260","57.77K","-0.81%"
"2024- 03- 19","7,370","7,220","7,420","7,140","193.22K","2.08%"
"2024- 03- 18","7,220","7,260","7,350","7,210","85.63K","-1.10%"
"2024- 03- 17","7,300","7,300","7,300","7,300","","0.00%"
"2024- 03- 15","7,300","7,390","7,440","7,110","0.01K","-0.41%"
"2024- 03- 14","7,330","7,300","7,350","7,230","0.40K","1.10%"
"2024- 03- 13","7,250","7,180","7,410","7,180","258.51K","1.12%"
"2024- 03- 12","7,170","7,050","7,210","7,040","120.84K","1.70%"
"2024- 03- 11","7,050","7,080","7,180","7,050","83.75K","0.00%"
"2024- 03- 08","7,050","6,950","7,080","6,920","76.72K","1.73%"
"2024- 03- 07","6,930","7,100","7,100","6,930","73.37K","-1.28%"
"2024- 03- 06","7,020","6,920","7,120","6,910","80.46K","0.57%"
"2024- 03- 05","6,980","6,990","7,110","6,640","136.74K","-0.43%"
"2024- 03- 04","7,010","6,970","7,050","6,850","67.64K","0.57%"
"2024- 02- 29","6,970","6,960","7,100","6,910","76.43K","0.58%"
"2024- 02- 28","6,930","6,960","7,080","6,930","73.91K","-1.42%"
"2024- 02- 27","7,030","7,080","7,100","6,930","101.64K","-1.26%"
"2024- 02- 26","7,120","6,940","7,140","6,860","147.20K","1.71%"
"2024- 02- 23","7,000","7,230","7,240","6,920","202.56K","-2.64%"
"2024- 02- 22","7,190","6,790","7,340","6,770","0.00K","6.52%"
"2024- 02- 21","6,750","6,640","6,830","6,620","96.51K","0.75%"
"2024- 02- 20","6,700","6,680","6,810","6,600","61.12K","-0.59%"
"2024- 02- 19","6,740","6,740","6,770","6,670","43.18K","0.00%"
"2024- 02- 16","6,740","6,780","6,800","6,690","51.77K","-1.32%"
"2024- 02- 15","6,830","6,700","6,980","6,680","0.00K","2.25%"
"2024- 02- 14","6,680","6,560","6,700","6,560","32.76K","0.45%"
"2024- 02- 13","6,650","6,490","6,650","6,490","45.55K","2.47%"
"2024- 02- 08","6,490","6,550","6,600","6,450","48.45K","-0.92%"
"2024- 02- 07","6,550","6,590","6,670","6,490","48.80K","-0.61%"
"2024- 02- 06","6,590","6,520","6,610","6,490","32.23K","0.30%"
"2024- 02- 05","6,570","6,640","6,680","6,560","47.37K","-1.05%"
"2024- 02- 02","6,640","6,570","6,640","6,400","50.97K","2.31%"
"2024- 02- 01","6,490","6,430","6,510","6,210","125.22K","0.93%"
"2024- 01- 31","6,430","6,560","6,600","6,430","75.74K","-2.58%"
"2024- 01- 30","6,600","6,680","6,740","6,560","89.83K","-1.20%"
"2024- 01- 29","6,680","6,760","6,780","6,590","84.72K","-1.18%"
"2024- 01- 26","6,760","6,720","6,840","6,720","64.95K","0.30%"
"2024- 01- 25","6,740","6,870","6,870","6,680","82.40K","-1.46%"
"2024- 01- 24","6,840","6,870","6,930","6,760","0.53K","0.00%"
"2024- 01- 23","6,840","6,910","6,950","6,800","55.78K","-1.01%"
"2024- 01- 22","6,910","6,820","7,180","6,750","67.89K","1.92%"
"2024- 01- 19","6,780","6,770","6,920","6,760","61.40K","0.30%"
"2024- 01- 18","6,760","6,670","6,800","6,660","40.13K","1.35%"
"2024- 01- 17","6,670","6,870","6,910","6,670","106.63K","-3.47%"
"2024- 01- 16","6,910","6,960","7,060","6,880","64.38K","-1.57%"
"2024- 01- 15","7,020","6,990","7,100","6,930","74.09K","-0.43%"
"2024- 01- 12","7,050","7,200","7,200","7,040","82.16K","-2.08%"
"2024- 01- 11","7,200","6,980","7,240","6,980","145.97K","3.15%"
"2024- 01- 10","6,980","7,210","7,240","6,980","159.34K","-3.59%"
"2024- 01- 09","7,240","7,380","7,630","7,180","0.05K","2.55%"
"2024- 01- 08","7,060","6,920","7,140","6,890","112.97K","2.02%"
"2024- 01- 07","6,920","6,920","6,920","6,920","","0.00%"
"2024- 01- 05","6,920","6,890","6,970","6,820","27.34K","0.87%"
"2024- 01- 04","6,860","7,040","7,040","6,830","82.24K","-2.00%"
"2024- 01- 03","7,000","6,920","7,060","6,840","0.01K","1.01%"
"2024- 01- 02","6,930","6,960","7,090","6,850","104.04K","0.00%"
