"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","2,765.00","2,760.00","2,800.00","2,725.00","52.11K","0.18%"
"2024- 05- 07","2,760.00","2,795.00","2,805.00","2,725.00","37.18K","-1.25%"
"2024- 05- 03","2,795.00","2,805.00","2,810.00","2,705.00","113.65K","-0.36%"
"2024- 05- 02","2,805.00","2,500.00","2,940.00","2,500.00","645.90K","13.56%"
"2024- 04- 30","2,470.00","2,470.00","2,500.00","2,450.00","47.77K","-0.80%"
"2024- 04- 29","2,490.00","2,475.00","2,545.00","2,455.00","41.71K","0.81%"
"2024- 04- 26","2,470.00","2,505.00","2,515.00","2,465.00","23.43K","-1.20%"
"2024- 04- 25","2,500.00","2,575.00","2,595.00","2,490.00","31.72K","0.00%"
"2024- 04- 24","2,500.00","2,455.00","2,540.00","2,455.00","41.74K","1.83%"
"2024- 04- 23","2,455.00","2,495.00","2,545.00","2,455.00","27.60K","-1.41%"
"2024- 04- 22","2,490.00","2,505.00","2,600.00","2,490.00","40.96K","-0.60%"
"2024- 04- 19","2,505.00","2,600.00","2,635.00","2,500.00","45.29K","-3.65%"
"2024- 04- 18","2,600.00","2,550.00","2,615.00","2,530.00","50.48K","1.76%"
"2024- 04- 17","2,555.00","2,570.00","2,625.00","2,545.00","39.55K","-0.97%"
"2024- 04- 16","2,580.00","2,730.00","2,730.00","2,545.00","119.47K","-5.67%"
"2024- 04- 15","2,735.00","2,805.00","2,850.00","2,715.00","82.65K","-4.70%"
"2024- 04- 12","2,870.00","2,990.00","2,995.00","2,870.00","89.32K","-3.37%"
"2024- 04- 11","2,970.00","3,030.00","3,035.00","2,940.00","43.06K","-1.82%"
"2024- 04- 09","3,025.00","3,010.00","3,095.00","3,010.00","43.10K","0.50%"
"2024- 04- 08","3,010.00","3,130.00","3,130.00","2,980.00","44.94K","-0.99%"
"2024- 04- 05","3,040.00","3,140.00","3,140.00","3,040.00","52.60K","-2.88%"
"2024- 04- 04","3,130.00","3,190.00","3,200.00","3,100.00","44.27K","-2.34%"
"2024- 04- 03","3,205.00","3,190.00","3,270.00","3,145.00","68.70K","0.47%"
"2024- 04- 02","3,190.00","3,165.00","3,250.00","3,120.00","61.39K","1.11%"
"2024- 04- 01","3,155.00","3,135.00","3,180.00","3,100.00","29.51K","0.64%"
"2024- 03- 29","3,135.00","3,165.00","3,180.00","3,100.00","46.53K","-0.95%"
"2024- 03- 28","3,165.00","3,220.00","3,250.00","3,150.00","70.49K","-2.01%"
"2024- 03- 27","3,230.00","3,265.00","3,300.00","3,215.00","64.28K","-1.82%"
"2024- 03- 26","3,290.00","3,210.00","3,530.00","3,205.00","198.55K","2.97%"
"2024- 03- 25","3,195.00","3,295.00","3,330.00","3,115.00","70.82K","-3.18%"
"2024- 03- 22","3,300.00","3,350.00","3,355.00","3,285.00","63.71K","-1.49%"
"2024- 03- 21","3,350.00","3,365.00","3,395.00","3,340.00","56.35K","-0.15%"
"2024- 03- 20","3,355.00","3,350.00","3,395.00","3,345.00","27.29K","-0.74%"
"2024- 03- 19","3,380.00","3,460.00","3,460.00","3,355.00","25.44K","-1.46%"
"2024- 03- 18","3,430.00","3,365.00","3,440.00","3,335.00","43.68K","1.03%"
"2024- 03- 15","3,395.00","3,455.00","3,470.00","3,370.00","38.43K","-1.45%"
"2024- 03- 14","3,445.00","3,420.00","3,470.00","3,405.00","55.05K","-0.14%"
"2024- 03- 13","3,450.00","3,420.00","3,515.00","3,410.00","70.44K","1.02%"
"2024- 03- 12","3,415.00","3,380.00","3,420.00","3,335.00","35.01K","0.15%"
"2024- 03- 11","3,410.00","3,405.00","3,450.00","3,305.00","35.68K","0.15%"
"2024- 03- 08","3,405.00","3,565.00","3,565.00","3,390.00","96.22K","-3.54%"
"2024- 03- 07","3,530.00","3,335.00","3,650.00","3,285.00","200.78K","7.29%"
"2024- 03- 06","3,290.00","3,275.00","3,295.00","3,215.00","64.34K","0.92%"
"2024- 03- 05","3,260.00","3,400.00","3,400.00","3,255.00","198.65K","-4.12%"
"2024- 03- 04","3,400.00","3,515.00","3,515.00","3,400.00","101.44K","-2.30%"
"2024- 02- 29","3,480.00","3,615.00","3,615.00","3,480.00","127.96K","-3.33%"
"2024- 02- 28","3,600.00","3,605.00","3,645.00","3,590.00","53.95K","-0.28%"
"2024- 02- 27","3,610.00","3,615.00","3,645.00","3,575.00","79.84K","-0.14%"
"2024- 02- 26","3,615.00","3,715.00","3,715.00","3,585.00","98.62K","-0.69%"
"2024- 02- 25","3,640.00","3,640.00","3,640.00","3,640.00","","0.00%"
"2024- 02- 23","3,640.00","3,730.00","3,730.00","3,610.00","119.99K","-1.22%"
"2024- 02- 22","3,685.00","3,745.00","3,785.00","3,670.00","148.79K","-2.77%"
"2024- 02- 21","3,790.00","3,810.00","3,855.00","3,755.00","108.25K","-0.52%"
"2024- 02- 20","3,810.00","3,805.00","3,845.00","3,775.00","67.04K","0.26%"
"2024- 02- 19","3,800.00","3,900.00","3,910.00","3,780.00","94.01K","-1.30%"
"2024- 02- 16","3,850.00","3,720.00","3,865.00","3,705.00","138.85K","2.94%"
"2024- 02- 15","3,740.00","3,760.00","3,785.00","3,695.00","111.81K","-0.40%"
"2024- 02- 14","3,755.00","3,655.00","3,765.00","3,610.00","120.95K","1.62%"
"2024- 02- 13","3,695.00","3,775.00","3,790.00","3,670.00","0.01K","-1.99%"
"2024- 02- 08","3,770.00","3,800.00","3,900.00","3,650.00","207.86K","3.01%"
"2024- 02- 07","3,660.00","3,725.00","3,750.00","3,650.00","89.83K","-0.81%"
"2024- 02- 06","3,690.00","3,720.00","3,795.00","3,670.00","0.00K","-0.81%"
"2024- 02- 05","3,720.00","3,850.00","3,850.00","3,720.00","134.52K","-3.50%"
"2024- 02- 02","3,855.00","3,850.00","3,875.00","3,800.00","152.00K","-0.13%"
"2024- 02- 01","3,860.00","3,865.00","3,980.00","3,840.00","0.00K","-1.28%"
"2024- 01- 31","3,910.00","3,960.00","4,035.00","3,855.00","0.00K","-1.76%"
"2024- 01- 30","3,980.00","3,990.00","4,030.00","3,900.00","141.65K","-0.25%"
"2024- 01- 29","3,990.00","4,205.00","4,205.00","3,925.00","0.02K","-3.97%"
"2024- 01- 26","4,155.00","4,185.00","4,235.00","4,085.00","161.88K","-1.07%"
"2024- 01- 25","4,200.00","4,130.00","4,305.00","4,050.00","408.79K","2.31%"
"2024- 01- 24","4,105.00","4,100.00","4,150.00","4,030.00","124.43K","0.86%"
"2024- 01- 23","4,070.00","4,085.00","4,115.00","3,970.00","167.16K","-0.12%"
"2024- 01- 22","4,075.00","4,085.00","4,240.00","3,870.00","335.57K","2.90%"
"2024- 01- 19","3,960.00","4,025.00","4,130.00","3,895.00","174.81K","-1.61%"
"2024- 01- 18","4,025.00","3,865.00","4,025.00","3,855.00","1.15K","3.87%"
"2024- 01- 17","3,875.00","4,190.00","4,240.00","3,850.00","412.74K","-7.63%"
"2024- 01- 16","4,195.00","4,180.00","4,375.00","4,145.00","326.64K","1.21%"
"2024- 01- 15","4,145.00","4,140.00","4,340.00","4,085.00","301.88K","-1.78%"
"2024- 01- 12","4,220.00","4,315.00","4,375.00","4,165.00","330.02K","-2.09%"
"2024- 01- 11","4,310.00","4,360.00","4,420.00","4,250.00","365.62K","-1.15%"
"2024- 01- 10","4,360.00","4,580.00","4,610.00","4,325.00","518.91K","-6.64%"
"2024- 01- 09","4,670.00","4,950.00","5,140.00","4,645.00","0.00K","0.21%"
"2024- 01- 08","4,660.00","4,685.00","5,030.00","4,575.00","0.20K","-4.90%"
"2024- 01- 07","4,900.00","4,900.00","4,900.00","4,900.00","","0.31%"
"2024- 01- 05","4,885.00","4,900.00","4,995.00","4,825.00","224.31K","-0.31%"
"2024- 01- 04","4,900.00","5,150.00","5,200.00","4,845.00","604.26K","-4.67%"
"2024- 01- 03","5,140.00","5,100.00","5,230.00","4,990.00","0.01K","0.19%"
"2024- 01- 02","5,130.00","4,930.00","5,220.00","4,895.00","0.51K","5.34%"
