"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","9,550.00","9,820.00","9,870.00","9,520.00","12.13K","-2.75%"
"2024- 05- 07","9,820.00","10,050.00","10,050.00","9,800.00","7.78K","-0.10%"
"2024- 05- 03","9,830.00","10,470.00","10,710.00","9,800.00","76.90K","-6.11%"
"2024- 05- 02","10,470.00","10,350.00","10,690.00","10,320.00","4.10K","-1.23%"
"2024- 04- 30","10,600.00","10,700.00","10,700.00","10,370.00","2.81K","0.47%"
"2024- 04- 29","10,550.00","10,160.00","10,700.00","10,160.00","7.11K","3.84%"
"2024- 04- 26","10,160.00","10,120.00","10,330.00","10,120.00","4.01K","0.40%"
"2024- 04- 25","10,120.00","10,390.00","10,480.00","10,100.00","7.22K","-1.27%"
"2024- 04- 24","10,250.00","10,230.00","10,420.00","10,160.00","5.79K","1.89%"
"2024- 04- 23","10,060.00","10,120.00","10,410.00","10,050.00","10.70K","-0.49%"
"2024- 04- 22","10,110.00","10,100.00","10,320.00","10,100.00","3.97K","0.10%"
"2024- 04- 19","10,100.00","10,390.00","10,600.00","9,900.00","20.80K","-2.70%"
"2024- 04- 18","10,380.00","10,380.00","10,450.00","10,170.00","10.68K","0.00%"
"2024- 04- 17","10,380.00","9,860.00","11,880.00","9,800.00","179.05K","5.27%"
"2024- 04- 16","9,860.00","10,170.00","10,280.00","9,750.00","14.70K","-4.46%"
"2024- 04- 15","10,320.00","10,600.00","10,820.00","10,310.00","14.73K","-4.71%"
"2024- 04- 12","10,830.00","11,000.00","11,000.00","10,710.00","2.69K","0.19%"
"2024- 04- 11","10,810.00","10,650.00","11,320.00","10,610.00","8.92K","0.84%"
"2024- 04- 09","10,720.00","10,680.00","10,920.00","10,540.00","7.42K","-0.19%"
"2024- 04- 08","10,740.00","10,950.00","11,300.00","10,710.00","6.35K","-1.92%"
"2024- 04- 05","10,950.00","11,010.00","11,290.00","10,950.00","13.23K","-2.06%"
"2024- 04- 04","11,180.00","11,340.00","11,340.00","11,050.00","9.68K","-0.45%"
"2024- 04- 03","11,230.00","11,360.00","11,450.00","11,000.00","14.47K","-1.14%"
"2024- 04- 02","11,360.00","11,390.00","11,690.00","11,330.00","9.80K","-0.35%"
"2024- 04- 01","11,400.00","11,300.00","11,500.00","11,230.00","10.51K","0.88%"
"2024- 03- 29","11,300.00","11,320.00","11,440.00","11,250.00","11.65K","-0.09%"
"2024- 03- 28","11,310.00","11,390.00","11,690.00","11,310.00","10.84K","-0.18%"
"2024- 03- 27","11,330.00","11,620.00","11,780.00","11,320.00","15.40K","-2.50%"
