"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 07","68,300","67,900","68,500","67,700","3.97K","0.44%"
"2024- 05- 03","68,000","67,500","68,400","67,500","2.47K","-0.29%"
"2024- 05- 02","68,200","67,700","68,700","66,500","16.46K","1.19%"
"2024- 04- 30","67,400","66,800","67,600","66,700","3.24K","0.60%"
"2024- 04- 29","67,000","68,300","68,300","66,900","9.30K","-2.05%"
"2024- 04- 26","68,400","68,000","68,400","66,000","9.99K","-0.73%"
"2024- 04- 25","68,900","65,400","68,900","65,700","7.47K","6.00%"
"2024- 04- 24","65,000","65,800","66,700","65,000","2.29K","-1.07%"
"2024- 04- 23","65,700","66,200","66,600","65,700","1.49K","-0.90%"
"2024- 04- 22","66,300","64,900","66,500","64,900","2.68K","2.16%"
"2024- 04- 19","64,900","63,700","65,000","63,300","5.34K","1.25%"
"2024- 04- 18","64,100","63,300","64,200","63,300","4.51K","1.26%"
"2024- 04- 17","63,300","64,700","64,800","62,600","4.66K","-1.09%"
"2024- 04- 16","64,000","64,500","64,700","63,700","5.19K","-0.78%"
"2024- 04- 15","64,500","64,500","64,500","63,500","4.41K","-0.62%"
"2024- 04- 12","64,900","65,000","65,500","64,400","2.90K","1.25%"
"2024- 04- 11","64,100","64,200","65,200","64,000","5.83K","-1.08%"
"2024- 04- 09","64,800","65,100","65,200","64,500","4.38K","-0.31%"
"2024- 04- 08","65,000","64,400","65,000","64,400","1.35K","0.93%"
"2024- 04- 05","64,400","64,400","65,100","64,300","3.97K","0.00%"
"2024- 04- 04","64,400","64,000","65,200","64,000","5.73K","0.63%"
"2024- 04- 03","64,000","63,900","64,300","63,800","4.23K","0.16%"
"2024- 04- 02","63,900","64,200","64,200","63,600","2.86K","-0.62%"
"2024- 04- 01","64,300","62,500","64,300","62,400","7.05K","2.72%"
"2024- 03- 29","62,600","63,800","64,300","62,500","6.52K","-1.73%"
"2024- 03- 28","63,700","64,900","64,900","63,500","13.56K","-5.63%"
