"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","1,285","1,290","1,296","1,277","134.95K","-0.39%"
"2024- 05- 07","1,290","1,290","1,297","1,281","138.53K","-0.23%"
"2024- 05- 03","1,293","1,296","1,296","1,287","62.52K","-0.08%"
"2024- 05- 02","1,294","1,295","1,304","1,288","81.69K","-0.31%"
"2024- 04- 30","1,298","1,302","1,305","1,298","57.53K","-0.54%"
"2024- 04- 29","1,305","1,296","1,307","1,287","142.23K","1.16%"
"2024- 04- 26","1,290","1,282","1,290","1,279","180.90K","0.78%"
"2024- 04- 25","1,280","1,279","1,286","1,277","56.93K","-0.16%"
"2024- 04- 24","1,282","1,281","1,290","1,273","159.05K","0.16%"
"2024- 04- 23","1,280","1,286","1,286","1,275","70.38K","0.00%"
"2024- 04- 22","1,280","1,263","1,286","1,263","135.17K","-0.16%"
"2024- 04- 19","1,282","1,284","1,288","1,264","108.97K","-0.23%"
"2024- 04- 18","1,285","1,262","1,285","1,265","43.76K","1.58%"
"2024- 04- 17","1,265","1,261","1,274","1,261","58.25K","0.08%"
"2024- 04- 16","1,264","1,280","1,287","1,263","229.07K","-1.86%"
"2024- 04- 15","1,288","1,277","1,288","1,275","118.76K","0.39%"
"2024- 04- 12","1,283","1,276","1,289","1,273","127.05K","0.08%"
"2024- 04- 11","1,282","1,293","1,299","1,281","98.48K","-0.93%"
"2024- 04- 09","1,294","1,275","1,299","1,276","188.44K","1.01%"
"2024- 04- 08","1,281","1,282","1,292","1,280","142.38K","-0.08%"
"2024- 04- 05","1,282","1,289","1,293","1,280","132.12K","-0.54%"
"2024- 04- 04","1,289","1,285","1,297","1,285","134.72K","-0.46%"
"2024- 04- 03","1,295","1,296","1,301","1,281","174.74K","-0.08%"
"2024- 04- 02","1,296","1,306","1,320","1,296","136.64K","-1.37%"
"2024- 04- 01","1,314","1,313","1,314","1,301","156.20K","0.38%"
"2024- 03- 29","1,309","1,300","1,309","1,292","78.80K","0.69%"
"2024- 03- 28","1,300","1,300","1,302","1,290","169.85K","0.00%"
"2024- 03- 27","1,300","1,313","1,315","1,295","108.55K","-0.54%"
"2024- 03- 26","1,307","1,303","1,318","1,302","118.81K","-0.15%"
"2024- 03- 25","1,309","1,320","1,320","1,302","175.10K","-0.61%"
"2024- 03- 22","1,317","1,295","1,324","1,295","235.94K","1.62%"
"2024- 03- 21","1,296","1,296","1,301","1,292","139.13K","0.00%"
"2024- 03- 20","1,296","1,288","1,300","1,288","85.95K","0.08%"
"2024- 03- 19","1,295","1,294","1,302","1,286","114.91K","0.08%"
"2024- 03- 18","1,294","1,290","1,298","1,279","190.32K","0.15%"
"2024- 03- 15","1,292","1,292","1,295","1,279","141.45K","0.00%"
"2024- 03- 14","1,292","1,282","1,295","1,280","0.00K","0.70%"
"2024- 03- 13","1,283","1,292","1,298","1,280","0.00K","-0.70%"
"2024- 03- 12","1,292","1,301","1,304","1,287","286.47K","-0.69%"
"2024- 03- 11","1,301","1,308","1,330","1,300","330.06K","-1.44%"
"2024- 03- 08","1,320","1,328","1,340","1,314","190.70K","-0.60%"
"2024- 03- 07","1,328","1,354","1,356","1,325","235.67K","-1.99%"
"2024- 03- 06","1,355","1,345","1,385","1,330","775.69K","0.74%"
"2024- 03- 05","1,345","1,293","1,390","1,292","1.43M","4.51%"
"2024- 03- 04","1,287","1,280","1,293","1,280","137.53K","0.55%"
"2024- 02- 29","1,280","1,278","1,287","1,277","95.30K","0.00%"
"2024- 02- 28","1,280","1,281","1,284","1,273","91.82K","-0.08%"
"2024- 02- 27","1,281","1,302","1,306","1,274","298.82K","-1.00%"
"2024- 02- 26","1,294","1,307","1,308","1,293","291.78K","-1.07%"
"2024- 02- 23","1,308","1,306","1,311","1,296","231.98K","0.15%"
"2024- 02- 22","1,306","1,306","1,315","1,299","105.28K","-0.68%"
