"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","3,800","3,695","4,110","3,645","1.60M","6.29%"
"2024- 05- 07","3,575","3,595","4,250","3,410","1.74M","-61.76%"
"2024- 04- 09","9,350","9,170","9,520","9,170","25.12K","0.97%"
"2024- 04- 08","9,260","9,510","9,600","9,210","18.08K","-3.04%"
"2024- 04- 05","9,550","9,550","9,590","9,460","11.78K","0.21%"
"2024- 04- 04","9,530","9,450","9,550","9,430","8.26K","1.06%"
"2024- 04- 03","9,430","9,380","9,530","9,380","11.67K","0.53%"
"2024- 04- 02","9,380","9,450","10,390","9,380","175.92K","-0.74%"
"2024- 04- 01","9,450","9,410","9,480","9,400","9.79K","0.53%"
"2024- 03- 29","9,400","9,450","9,470","9,350","9.10K","-0.21%"
"2024- 03- 28","9,420","9,510","9,540","9,390","11.42K","-0.95%"
"2024- 03- 27","9,510","9,700","9,700","9,430","15.84K","-1.96%"
"2024- 03- 26","9,700","9,290","10,190","9,260","152.41K","4.19%"
"2024- 03- 25","9,310","9,280","9,470","9,260","7.49K","0.43%"
"2024- 03- 22","9,270","9,380","9,420","9,250","8.06K","-0.64%"
"2024- 03- 21","9,330","9,420","9,460","9,330","8.19K","-0.85%"
"2024- 03- 20","9,410","9,480","9,540","9,410","4.95K","-0.42%"
"2024- 03- 19","9,450","9,580","9,590","9,390","9.91K","-1.46%"
"2024- 03- 18","9,590","9,530","9,750","9,530","18.26K","0.63%"
"2024- 03- 15","9,530","9,460","9,800","9,380","32.61K","1.71%"
"2024- 03- 14","9,370","9,290","9,990","9,180","0.52K","1.08%"
"2024- 03- 13","9,270","9,180","9,300","9,100","5.89K","0.98%"
"2024- 03- 12","9,180","9,200","9,210","9,110","7.34K","-0.22%"
"2024- 03- 11","9,200","9,240","9,340","9,200","8.59K","-0.43%"
"2024- 03- 08","9,240","9,370","9,390","9,220","5.43K","0.22%"
"2024- 03- 07","9,220","9,630","9,680","9,220","13.32K","-4.26%"
"2024- 03- 06","9,630","9,520","9,790","9,520","10.72K","-1.03%"
"2024- 03- 05","9,730","9,810","9,820","9,690","15.46K","0.62%"
"2024- 03- 04","9,670","9,840","9,840","9,530","0.04K","2.65%"
"2024- 02- 29","9,420","9,470","9,650","9,320","9.02K","-0.11%"
"2024- 02- 28","9,430","9,410","9,570","9,400","9.60K","-0.84%"
"2024- 02- 27","9,510","9,670","9,710","9,510","9.01K","-1.65%"
"2024- 02- 26","9,670","9,770","9,770","9,670","4.75K","-1.12%"
"2024- 02- 23","9,780","9,850","9,900","9,630","16.23K","-0.71%"
"2024- 02- 22","9,850","10,050","10,050","9,800","17.15K","-1.40%"
"2024- 02- 21","9,990","9,900","9,990","9,790","18.71K","0.71%"
"2024- 02- 20","9,920","10,090","10,090","9,910","11.87K","-1.39%"
"2024- 02- 19","10,060","10,040","10,240","9,930","57.09K","2.03%"
"2024- 02- 16","9,860","9,990","9,990","9,800","8.30K","-0.70%"
"2024- 02- 15","9,930","9,990","10,000","9,900","6.82K","0.00%"
"2024- 02- 14","9,930","9,930","9,990","9,830","7.48K","1.02%"
"2024- 02- 13","9,830","9,850","10,000","9,700","21.40K","-0.20%"
"2024- 02- 08","9,850","9,910","10,030","9,810","23.84K","-0.61%"
"2024- 02- 07","9,910","9,970","9,970","9,740","17.36K","-0.40%"
"2024- 02- 06","9,950","9,970","10,070","9,880","21.31K","-0.50%"
"2024- 02- 05","10,000","10,010","10,150","9,840","26.34K","0.10%"
"2024- 02- 02","9,990","10,000","10,100","9,800","38.74K","-1.28%"
"2024- 02- 01","10,120","9,640","10,190","9,610","0.10K","6.30%"
"2024- 01- 31","9,520","9,570","9,860","9,520","9.86K","-1.45%"
"2024- 01- 30","9,660","9,870","9,870","9,630","0.10K","0.31%"
"2024- 01- 29","9,630","10,120","10,150","9,560","39.41K","-2.63%"
"2024- 01- 26","9,890","9,990","10,010","9,850","13.08K","0.30%"
"2024- 01- 25","9,860","10,230","10,230","9,820","28.39K","-3.62%"
"2024- 01- 24","10,230","10,070","10,260","9,930","63.66K","2.71%"
"2024- 01- 23","9,960","9,900","10,050","9,860","25.82K","0.40%"
"2024- 01- 22","9,920","10,120","10,140","9,860","23.18K","-0.50%"
"2024- 01- 19","9,970","9,720","10,040","9,720","22.86K","1.73%"
"2024- 01- 18","9,800","9,820","10,100","9,800","48.84K","0.00%"
"2024- 01- 17","9,800","9,970","9,970","9,610","31.34K","0.20%"
"2024- 01- 16","9,780","9,620","9,840","9,510","18.29K","1.66%"
"2024- 01- 15","9,620","9,820","9,870","9,620","13.05K","-2.53%"
"2024- 01- 12","9,870","9,810","9,990","9,500","31.86K","0.30%"
"2024- 01- 11","9,840","9,820","9,920","9,760","9.65K","0.20%"
"2024- 01- 10","9,820","9,990","9,990","9,790","16.08K","-0.91%"
"2024- 01- 09","9,910","10,000","10,000","9,850","22.26K","-0.40%"
"2024- 01- 08","9,950","9,900","10,000","9,830","54.70K","1.43%"
"2024- 01- 05","9,810","9,690","9,820","9,680","28.31K","1.24%"
"2024- 01- 04","9,690","9,800","9,800","9,640","49.15K","0.41%"
"2024- 01- 03","9,650","9,110","10,070","9,050","183.11K","4.78%"
"2024- 01- 02","9,210","9,190","9,210","9,100","6.21K","0.66%"
