"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","12,400","12,270","12,400","12,040","10.95K","0.98%"
"2024- 05- 07","12,280","12,400","12,490","12,210","13.81K","-0.81%"
"2024- 05- 03","12,380","12,020","12,420","11,990","21.50K","3.00%"
"2024- 05- 02","12,020","11,950","12,070","11,880","14.71K","0.17%"
"2024- 04- 30","12,000","11,950","12,030","11,800","34.84K","0.25%"
"2024- 04- 29","11,970","12,030","12,190","11,890","11.30K","-0.50%"
"2024- 04- 26","12,030","12,030","12,150","11,990","6.98K","-0.99%"
"2024- 04- 25","12,150","12,200","12,300","12,050","21.82K","-1.22%"
"2024- 04- 24","12,300","11,660","12,370","11,640","78.88K","5.58%"
"2024- 04- 23","11,650","11,590","11,680","11,580","10.14K","0.52%"
"2024- 04- 22","11,590","11,600","11,710","11,470","22.45K","-0.09%"
"2024- 04- 19","11,600","11,690","11,690","11,330","20.53K","-0.77%"
"2024- 04- 18","11,690","11,500","11,690","11,490","16.32K","0.78%"
"2024- 04- 17","11,600","11,500","11,700","11,440","14.79K","1.05%"
"2024- 04- 16","11,480","11,490","11,500","11,170","27.31K","-0.52%"
"2024- 04- 15","11,540","11,700","11,700","11,340","22.80K","-1.87%"
"2024- 04- 12","11,760","11,660","11,910","11,660","21.54K","0.17%"
"2024- 04- 11","11,740","11,700","11,750","11,550","10.14K","-0.17%"
"2024- 04- 09","11,760","11,750","11,800","11,630","12.22K","0.09%"
"2024- 04- 08","11,750","11,900","11,900","11,670","15.51K","-1.26%"
"2024- 04- 05","11,900","11,860","11,910","11,640","26.99K","0.34%"
"2024- 04- 04","11,860","11,850","11,880","11,740","13.01K","0.08%"
"2024- 04- 03","11,850","11,810","11,940","11,580","16.84K","0.17%"
"2024- 04- 02","11,830","11,970","12,000","11,700","20.41K","-1.17%"
"2024- 04- 01","11,970","11,970","12,000","11,850","10.99K","0.00%"
"2024- 03- 29","11,970","12,070","12,110","11,810","24.50K","-0.83%"
"2024- 03- 28","12,070","12,250","12,250","12,050","18.70K","-1.79%"
"2024- 03- 27","12,290","12,350","12,380","12,220","16.34K","-0.08%"
"2024- 03- 26","12,300","12,190","12,400","12,180","25.84K","0.08%"
"2024- 03- 25","12,290","12,450","12,450","12,190","21.38K","-1.44%"
"2024- 03- 22","12,470","12,710","12,710","12,100","74.35K","-0.24%"
"2024- 03- 21","12,500","12,790","13,580","12,200","207.74K","-1.65%"
"2024- 03- 20","12,710","12,760","12,840","12,580","14.32K","-1.17%"
"2024- 03- 19","12,860","12,830","13,010","12,690","35.29K","0.31%"
"2024- 03- 18","12,820","12,200","13,150","12,200","116.97K","4.23%"
"2024- 03- 15","12,300","12,200","12,300","12,000","2.89K","1.99%"
"2024- 03- 14","12,060","12,180","12,250","12,000","16.50K","-0.99%"
"2024- 03- 13","12,180","12,100","12,190","11,950","19.27K","0.83%"
"2024- 03- 12","12,080","12,300","12,490","11,950","17.35K","-1.79%"
"2024- 03- 11","12,300","12,100","12,430","12,000","28.67K","2.50%"
"2024- 03- 08","12,000","11,900","12,100","11,800","26.51K","0.84%"
"2024- 03- 07","11,900","12,120","12,120","11,730","23.22K","-1.82%"
"2024- 03- 06","12,120","11,900","12,200","11,850","18.90K","1.76%"
"2024- 03- 05","11,910","12,100","12,230","11,900","17.08K","-1.81%"
"2024- 03- 04","12,130","12,410","12,420","12,130","31.03K","-2.26%"
"2024- 02- 29","12,410","12,580","12,580","12,410","12.16K","-1.35%"
"2024- 02- 28","12,580","12,470","12,590","12,300","23.41K","0.56%"
"2024- 02- 27","12,510","12,400","13,070","12,300","0.01K","0.89%"
"2024- 02- 26","12,400","12,900","12,900","12,350","43.93K","-2.13%"
"2024- 02- 23","12,670","12,400","13,250","12,310","121.18K","2.26%"
"2024- 02- 22","12,390","12,280","12,450","12,010","52.66K","1.06%"
"2024- 02- 21","12,260","12,080","12,400","11,900","61.01K","0.91%"
"2024- 02- 20","12,150","11,930","12,200","11,910","49.46K","1.84%"
"2024- 02- 19","11,930","11,740","11,950","11,730","23.20K","1.71%"
"2024- 02- 16","11,730","11,480","11,800","11,470","17.23K","2.18%"
"2024- 02- 15","11,480","11,600","11,600","11,440","20.59K","-0.95%"
"2024- 02- 14","11,590","11,410","11,640","11,360","19.59K","-0.09%"
"2024- 02- 13","11,600","11,810","11,810","11,500","26.45K","-1.94%"
"2024- 02- 08","11,830","12,000","12,180","11,830","43.64K","-1.25%"
"2024- 02- 07","11,980","12,050","12,070","11,800","20.82K","-0.25%"
"2024- 02- 06","12,010","11,790","12,090","11,600","115.93K","3.36%"
"2024- 02- 05","11,620","11,720","11,720","11,520","7.26K","-0.85%"
"2024- 02- 02","11,720","11,500","11,790","11,500","18.61K","1.91%"
"2024- 02- 01","11,500","11,460","11,670","11,250","15.17K","0.26%"
"2024- 01- 31","11,470","11,690","11,690","11,270","18.07K","-1.97%"
"2024- 01- 30","11,700","11,540","11,750","11,540","6.93K","-0.43%"
"2024- 01- 29","11,750","11,850","11,920","11,600","9.71K","-1.51%"
"2024- 01- 26","11,930","11,750","12,350","11,340","33.23K","1.45%"
"2024- 01- 25","11,760","11,820","11,840","11,630","13.63K","-0.51%"
"2024- 01- 24","11,820","11,850","11,850","11,570","16.99K","-0.25%"
"2024- 01- 23","11,850","11,720","11,860","11,720","9.61K","0.00%"
"2024- 01- 22","11,850","11,610","11,850","11,530","28.83K","2.69%"
"2024- 01- 19","11,540","11,440","11,540","11,320","13.26K","-0.09%"
"2024- 01- 18","11,550","11,290","11,550","11,210","31.44K","0.43%"
"2024- 01- 17","11,500","11,550","11,560","11,110","7.46K","-0.43%"
"2024- 01- 16","11,550","11,770","11,810","11,300","15.88K","-2.61%"
"2024- 01- 15","11,860","11,900","11,900","11,640","5.20K","0.00%"
"2024- 01- 12","11,860","11,800","11,860","11,610","9.64K","-0.75%"
"2024- 01- 11","11,950","11,800","12,000","11,630","8.29K","1.27%"
"2024- 01- 10","11,800","11,890","11,890","11,510","10.98K","-0.76%"
"2024- 01- 09","11,890","11,500","11,900","11,200","26.20K","4.30%"
"2024- 01- 08","11,400","11,260","11,400","11,130","20.60K","1.33%"
"2024- 01- 05","11,250","11,160","11,250","11,110","4.77K","0.81%"
"2024- 01- 04","11,160","11,220","11,220","11,050","3.79K","0.36%"
"2024- 01- 03","11,120","11,180","11,250","11,100","6.66K","0.18%"
"2024- 01- 02","11,100","11,220","11,270","11,100","4.73K","-1.07%"
