"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","1,171","1,172","1,177","1,149","208.29K","-0.34%"
"2024- 05- 07","1,175","1,186","1,197","1,170","96.61K","-0.84%"
"2024- 05- 03","1,185","1,199","1,199","1,175","53.84K","0.59%"
"2024- 05- 02","1,178","1,172","1,188","1,163","113.58K","0.77%"
"2024- 04- 30","1,169","1,160","1,183","1,160","84.02K","-0.26%"
"2024- 04- 29","1,172","1,180","1,182","1,169","26.29K","0.09%"
"2024- 04- 26","1,171","1,179","1,180","1,160","83.80K","0.00%"
"2024- 04- 25","1,171","1,192","1,192","1,167","76.10K","-0.76%"
"2024- 04- 24","1,180","1,175","1,195","1,169","151.59K","1.03%"
"2024- 04- 23","1,168","1,191","1,200","1,159","116.92K","-2.01%"
"2024- 04- 22","1,192","1,154","1,198","1,149","234.32K","3.29%"
"2024- 04- 19","1,154","1,180","1,179","1,149","230.74K","-2.29%"
"2024- 04- 18","1,181","1,199","1,217","1,160","461.75K","-1.50%"
"2024- 04- 17","1,199","1,181","1,203","1,139","363.92K","1.61%"
"2024- 04- 16","1,180","1,187","1,214","1,170","514.81K","-2.88%"
"2024- 04- 15","1,215","1,186","1,215","1,168","163.28K","2.97%"
"2024- 04- 12","1,180","1,242","1,244","1,120","504.27K","-4.99%"
"2024- 04- 11","1,242","1,235","1,250","1,196","97.38K","0.65%"
"2024- 04- 09","1,234","1,197","1,254","1,197","153.76K","1.06%"
"2024- 04- 08","1,221","1,200","1,225","1,189","104.85K","2.09%"
"2024- 04- 05","1,196","1,249","1,249","1,179","105.74K","-2.92%"
"2024- 04- 04","1,232","1,220","1,234","1,206","51.04K","0.41%"
"2024- 04- 03","1,227","1,192","1,230","1,178","85.08K","2.94%"
"2024- 04- 02","1,192","1,242","1,261","1,191","129.07K","-4.26%"
"2024- 04- 01","1,245","1,196","1,264","1,187","225.00K","3.84%"
"2024- 03- 29","1,199","1,199","1,222","1,160","298.18K","1.10%"
"2024- 03- 28","1,186","1,211","1,219","1,177","178.48K","-2.31%"
"2024- 03- 27","1,214","1,205","1,234","1,189","328.16K","0.75%"
"2024- 03- 26","1,205","1,177","1,212","1,177","86.76K","0.42%"
"2024- 03- 25","1,200","1,210","1,210","1,174","187.18K","-0.83%"
"2024- 03- 22","1,210","1,187","1,229","1,184","105.38K","1.00%"
"2024- 03- 21","1,198","1,217","1,231","1,120","272.89K","-1.72%"
"2024- 03- 20","1,219","1,220","1,239","1,205","63.65K","-0.08%"
"2024- 03- 19","1,220","1,195","1,249","1,174","148.80K","1.67%"
"2024- 03- 18","1,200","1,200","1,213","1,145","363.98K","-0.33%"
"2024- 03- 15","1,204","1,205","1,217","1,180","285.06K","-0.08%"
"2024- 03- 14","1,205","1,227","1,227","1,200","85.58K","-2.03%"
"2024- 03- 13","1,230","1,276","1,276","1,212","224.87K","-3.61%"
"2024- 03- 12","1,276","1,230","1,279","1,213","104.16K","3.74%"
"2024- 03- 11","1,230","1,210","1,237","1,180","128.38K","0.57%"
"2024- 03- 08","1,223","1,228","1,249","1,211","117.73K","-0.33%"
"2024- 03- 07","1,227","1,209","1,265","1,181","310.66K","1.49%"
"2024- 03- 06","1,209","1,254","1,278","1,209","450.21K","-3.43%"
"2024- 03- 05","1,252","1,252","1,299","1,144","416.79K","0.00%"
