"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","6,060.00","5,860.00","6,240.00","5,860.00","104.15K","3.59%"
"2024- 05- 07","5,850.00","6,060.00","6,060.00","5,770.00","69.33K","1.21%"
"2024- 05- 03","5,780.00","5,690.00","5,900.00","5,510.00","50.47K","3.58%"
"2024- 05- 02","5,580.00","5,680.00","5,700.00","5,540.00","28.88K","-2.62%"
"2024- 04- 30","5,730.00","5,600.00","5,750.00","5,560.00","26.91K","2.32%"
"2024- 04- 29","5,600.00","5,550.00","5,780.00","5,470.00","31.36K","0.90%"
"2024- 04- 26","5,550.00","5,270.00","5,910.00","5,270.00","130.79K","4.52%"
"2024- 04- 25","5,310.00","5,570.00","5,570.00","5,310.00","48.59K","-4.15%"
"2024- 04- 24","5,540.00","5,390.00","5,590.00","5,360.00","56.38K","0.36%"
"2024- 04- 23","5,520.00","5,160.00","6,440.00","5,160.00","891.29K","8.02%"
"2024- 04- 22","5,110.00","5,050.00","5,160.00","5,040.00","12.31K","1.19%"
"2024- 04- 19","5,050.00","5,250.00","5,330.00","5,000.00","56.35K","-5.25%"
"2024- 04- 18","5,330.00","5,220.00","5,370.00","5,170.00","35.34K","1.91%"
"2024- 04- 17","5,230.00","5,200.00","5,300.00","5,160.00","23.62K","0.58%"
"2024- 04- 16","5,200.00","5,420.00","5,470.00","5,150.00","72.28K","-6.31%"
"2024- 04- 15","5,550.00","5,620.00","5,620.00","5,400.00","57.54K","-1.25%"
"2024- 04- 12","5,620.00","5,690.00","5,750.00","5,590.00","22.40K","-0.71%"
"2024- 04- 11","5,660.00","5,700.00","5,790.00","5,600.00","37.24K","-2.25%"
"2024- 04- 09","5,790.00","5,910.00","6,010.00","5,660.00","41.73K","-2.03%"
"2024- 04- 08","5,910.00","6,080.00","6,090.00","5,780.00","33.37K","-2.48%"
"2024- 04- 05","6,060.00","5,980.00","6,150.00","5,930.00","25.33K","0.33%"
"2024- 04- 04","6,040.00","6,200.00","6,200.00","6,000.00","36.10K","-2.11%"
"2024- 04- 03","6,170.00","6,310.00","6,350.00","6,110.00","61.17K","-3.44%"
"2024- 04- 02","6,390.00","6,430.00","6,610.00","6,290.00","32.78K","-2.29%"
"2024- 04- 01","6,540.00","6,280.00","6,600.00","6,280.00","40.84K","4.14%"
"2024- 03- 29","6,280.00","6,440.00","6,560.00","6,280.00","53.23K","-2.64%"
"2024- 03- 28","6,450.00","6,680.00","6,790.00","6,440.00","59.20K","-3.30%"
"2024- 03- 27","6,670.00","6,970.00","6,970.00","6,670.00","32.73K","-3.61%"
"2024- 03- 26","6,920.00","6,690.00","6,920.00","6,590.00","49.14K","3.44%"
"2024- 03- 25","6,690.00","6,820.00","6,910.00","6,590.00","41.92K","-1.91%"
"2024- 03- 22","6,820.00","6,770.00","6,870.00","6,660.00","23.09K","0.74%"
"2024- 03- 21","6,770.00","6,650.00","6,800.00","6,540.00","66.01K","2.11%"
"2024- 03- 20","6,630.00","6,800.00","6,820.00","6,550.00","23.12K","-0.15%"
"2024- 03- 19","6,640.00","6,910.00","7,010.00","6,590.00","57.80K","-3.91%"
"2024- 03- 18","6,910.00","6,880.00","7,000.00","6,850.00","21.21K","0.00%"
"2024- 03- 15","6,910.00","7,150.00","7,150.00","6,820.00","34.35K","-1.99%"
"2024- 03- 14","7,050.00","7,200.00","7,340.00","6,950.00","27.81K","-1.67%"
"2024- 03- 13","7,170.00","7,200.00","7,200.00","7,060.00","25.27K","1.41%"
"2024- 03- 12","7,070.00","7,020.00","7,150.00","6,950.00","24.26K","0.71%"
"2024- 03- 11","7,020.00","6,940.00","7,220.00","6,940.00","21.27K","0.14%"
"2024- 03- 08","7,010.00","6,850.00","7,050.00","6,770.00","25.26K","4.16%"
"2024- 03- 07","6,730.00","6,960.00","6,980.00","6,700.00","64.23K","-3.17%"
"2024- 03- 06","6,950.00","6,990.00","7,100.00","6,950.00","34.33K","-1.28%"
"2024- 03- 05","7,040.00","7,140.00","7,180.00","6,950.00","53.46K","-1.26%"
"2024- 03- 04","7,130.00","7,280.00","7,450.00","7,100.00","69.97K","-1.93%"
"2024- 02- 29","7,270.00","7,670.00","7,670.00","7,260.00","42.97K","-3.71%"
"2024- 02- 28","7,550.00","7,530.00","7,650.00","7,450.00","23.82K","0.00%"
"2024- 02- 27","7,550.00","7,710.00","7,710.00","7,500.00","20.06K","-1.44%"
"2024- 02- 26","7,660.00","7,820.00","7,820.00","7,660.00","21.03K","-2.05%"
"2024- 02- 23","7,820.00","7,900.00","7,900.00","7,720.00","25.35K","-1.01%"
"2024- 02- 22","7,900.00","7,900.00","7,990.00","7,750.00","29.19K","0.00%"
"2024- 02- 21","7,900.00","7,850.00","8,050.00","7,840.00","27.62K","0.64%"
"2024- 02- 20","7,850.00","7,980.00","8,030.00","7,850.00","35.36K","-1.63%"
"2024- 02- 19","7,980.00","8,090.00","8,090.00","7,930.00","33.01K","-0.25%"
"2024- 02- 16","8,000.00","7,840.00","8,200.00","7,830.00","34.97K","0.76%"
"2024- 02- 15","7,940.00","8,030.00","8,030.00","7,780.00","20.46K","0.76%"
"2024- 02- 14","7,880.00","7,730.00","7,920.00","7,700.00","21.53K","1.94%"
"2024- 02- 13","7,730.00","7,710.00","7,880.00","7,620.00","36.88K","0.26%"
"2024- 02- 08","7,710.00","7,730.00","7,800.00","7,610.00","20.40K","0.26%"
"2024- 02- 07","7,690.00","7,480.00","7,820.00","7,480.00","29.04K","1.45%"
"2024- 02- 06","7,580.00","7,610.00","7,900.00","7,460.00","40.96K","-0.39%"
"2024- 02- 05","7,610.00","7,770.00","7,840.00","7,600.00","40.97K","-1.68%"
"2024- 02- 02","7,740.00","8,010.00","8,240.00","7,700.00","67.39K","-1.28%"
"2024- 02- 01","7,840.00","7,750.00","8,050.00","7,600.00","47.08K","0.26%"
"2024- 01- 31","7,820.00","8,210.00","8,370.00","7,810.00","80.18K","-6.12%"
"2024- 01- 30","8,330.00","8,790.00","8,950.00","8,190.00","141.62K","-5.23%"
"2024- 01- 29","8,790.00","8,880.00","9,400.00","8,470.00","0.16K","1.62%"
"2024- 01- 28","8,650.00","8,650.00","8,650.00","8,650.00","","0.00%"
"2024- 01- 26","8,650.00","8,600.00","8,800.00","8,410.00","57.73K","2.13%"
"2024- 01- 25","8,470.00","8,880.00","8,880.00","8,420.00","95.81K","-4.62%"
"2024- 01- 24","8,880.00","9,250.00","9,340.00","8,800.00","0.00K","0.23%"
"2024- 01- 23","8,860.00","8,650.00","9,090.00","8,440.00","160.95K","2.67%"
"2024- 01- 22","8,630.00","8,350.00","8,630.00","8,270.00","58.22K","3.35%"
"2024- 01- 19","8,350.00","8,400.00","8,670.00","8,270.00","83.70K","0.72%"
"2024- 01- 18","8,290.00","7,790.00","8,330.00","7,790.00","47.57K","6.42%"
"2024- 01- 17","7,790.00","8,220.00","8,270.00","7,790.00","53.42K","-3.95%"
"2024- 01- 16","8,110.00","8,230.00","8,310.00","7,960.00","59.32K","-2.87%"
"2024- 01- 15","8,350.00","8,340.00","8,410.00","8,050.00","47.46K","0.12%"
"2024- 01- 14","8,340.00","8,340.00","8,340.00","8,340.00","","0.00%"
"2024- 01- 12","8,340.00","8,440.00","9,050.00","8,120.00","308.96K","-1.18%"
"2024- 01- 11","8,440.00","8,600.00","8,600.00","8,330.00","49.30K","0.72%"
"2024- 01- 10","8,380.00","8,810.00","8,870.00","8,330.00","93.26K","-4.77%"
"2024- 01- 09","8,800.00","8,450.00","8,870.00","8,150.00","169.16K","6.02%"
"2024- 01- 08","8,300.00","8,140.00","8,770.00","8,030.00","237.72K","4.01%"
"2024- 01- 05","7,980.00","7,520.00","8,030.00","7,330.00","78.74K","6.12%"
"2024- 01- 04","7,520.00","7,880.00","7,960.00","7,510.00","62.06K","-4.81%"
"2024- 01- 03","7,900.00","7,870.00","8,020.00","7,770.00","42.00K","-1.13%"
"2024- 01- 02","7,990.00","8,130.00","8,130.00","7,920.00","0.01K","-0.99%"
