"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","1,530","1,507","1,530","1,500","134.26K","1.46%"
"2024- 05- 07","1,508","1,524","1,539","1,503","163.35K","-0.72%"
"2024- 05- 03","1,519","1,503","1,522","1,500","141.07K","1.06%"
"2024- 05- 02","1,503","1,488","1,512","1,483","106.59K","0.54%"
"2024- 04- 30","1,495","1,494","1,512","1,451","152.34K","0.07%"
"2024- 04- 29","1,494","1,484","1,501","1,483","102.22K","0.74%"
"2024- 04- 26","1,483","1,462","1,486","1,461","158.32K","1.58%"
"2024- 04- 25","1,460","1,472","1,482","1,460","92.19K","-1.48%"
"2024- 04- 24","1,482","1,456","1,498","1,456","110.28K","1.86%"
"2024- 04- 23","1,455","1,459","1,483","1,452","139.24K","-0.34%"
"2024- 04- 22","1,460","1,501","1,501","1,460","108.67K","-1.42%"
"2024- 04- 19","1,481","1,510","1,510","1,460","208.27K","-0.94%"
"2024- 04- 18","1,495","1,481","1,520","1,481","171.90K","0.67%"
"2024- 04- 17","1,485","1,445","1,508","1,445","367.40K","2.56%"
"2024- 04- 16","1,448","1,493","1,493","1,445","243.00K","-3.08%"
"2024- 04- 15","1,494","1,496","1,498","1,464","122.81K","-0.86%"
"2024- 04- 12","1,507","1,479","1,508","1,460","182.13K","1.89%"
"2024- 04- 11","1,479","1,500","1,500","1,470","164.24K","-1.40%"
"2024- 04- 09","1,500","1,510","1,539","1,500","178.66K","-1.96%"
"2024- 04- 08","1,530","1,520","1,535","1,487","286.27K","-0.20%"
"2024- 04- 05","1,533","1,517","1,533","1,496","209.09K","1.05%"
"2024- 04- 04","1,517","1,547","1,548","1,501","370.03K","-0.39%"
"2024- 04- 03","1,523","1,582","1,582","1,520","337.86K","-4.03%"
"2024- 04- 02","1,587","1,608","1,609","1,561","413.21K","-1.31%"
"2024- 04- 01","1,608","1,566","1,621","1,560","376.34K","3.08%"
"2024- 03- 29","1,560","1,585","1,587","1,558","322.59K","-1.58%"
"2024- 03- 28","1,585","1,574","1,597","1,571","437.54K","0.00%"
"2024- 03- 27","1,585","1,638","1,638","1,585","658.35K","-3.29%"
"2024- 03- 26","1,639","1,655","1,658","1,606","1.12M","-2.38%"
"2024- 03- 25","1,679","1,590","1,696","1,578","2.81M","5.93%"
"2024- 03- 22","1,585","1,565","1,585","1,535","574.41K","1.28%"
"2024- 03- 21","1,565","1,576","1,586","1,550","622.74K","-0.70%"
"2024- 03- 20","1,576","1,522","1,634","1,522","2.86M","4.10%"
"2024- 03- 19","1,514","1,535","1,537","1,505","260.02K","-1.37%"
"2024- 03- 18","1,535","1,520","1,549","1,500","410.20K","-0.58%"
"2024- 03- 15","1,544","1,520","1,544","1,490","60.70K","2.86%"
"2024- 03- 14","1,501","1,522","1,531","1,498","0.42K","-2.15%"
"2024- 03- 13","1,534","1,549","1,550","1,492","537.45K","-0.39%"
"2024- 03- 12","1,540","1,529","1,544","1,510","418.68K","0.00%"
"2024- 03- 11","1,540","1,530","1,582","1,521","1.10M","1.45%"
"2024- 03- 10","1,518","1,518","1,518","1,518","","0.00%"
"2024- 03- 08","1,518","1,485","1,525","1,485","530.66K","1.00%"
"2024- 03- 07","1,503","1,525","1,533","1,488","1.00K","-1.44%"
"2024- 03- 06","1,525","1,527","1,548","1,504","1.10M","-0.72%"
"2024- 03- 05","1,536","1,571","1,607","1,531","0.43K","-0.90%"
"2024- 03- 04","1,550","1,693","1,693","1,550","1.99K","-5.78%"
"2024- 03- 03","1,645","1,645","1,645","1,645","","0.00%"
"2024- 02- 29","1,645","1,449","1,760","1,427","41.08M","13.37%"
"2024- 02- 28","1,451","1,430","1,453","1,402","0.60K","0.97%"
"2024- 02- 27","1,437","1,405","1,621","1,387","0.01K","2.42%"
"2024- 02- 26","1,403","1,411","1,432","1,400","240.48K","-1.20%"
"2024- 02- 25","1,420","1,420","1,420","1,420","","0.00%"
"2024- 02- 23","1,420","1,434","1,458","1,411","226.70K","-0.70%"
"2024- 02- 22","1,430","1,465","1,465","1,430","203.96K","-1.79%"
"2024- 02- 21","1,456","1,492","1,492","1,447","302.39K","-2.41%"
"2024- 02- 20","1,492","1,498","1,498","1,464","202.45K","0.54%"
"2024- 02- 19","1,484","1,490","1,508","1,482","194.20K","-0.67%"
"2024- 02- 18","1,494","1,494","1,494","1,494","","0.00%"
"2024- 02- 16","1,494","1,512","1,520","1,478","269.44K","-1.19%"
"2024- 02- 15","1,512","1,512","1,530","1,500","300.21K","0.00%"
"2024- 02- 14","1,512","1,481","1,520","1,481","202.15K","0.27%"
"2024- 02- 13","1,508","1,489","1,512","1,482","305.44K","1.41%"
"2024- 02- 12","1,487","1,487","1,487","1,487","","0.00%"
"2024- 02- 08","1,487","1,480","1,520","1,480","305.67K","0.07%"
"2024- 02- 07","1,486","1,471","1,531","1,466","413.29K","1.43%"
"2024- 02- 06","1,465","1,452","1,501","1,449","228.12K","-0.14%"
"2024- 02- 05","1,467","1,475","1,485","1,445","192.23K","0.20%"
"2024- 02- 02","1,464","1,440","1,470","1,420","163.63K","3.68%"
"2024- 02- 01","1,412","1,425","1,450","1,400","352.18K","-1.26%"
"2024- 01- 31","1,430","1,452","1,476","1,430","257.12K","-2.05%"
"2024- 01- 30","1,460","1,469","1,491","1,447","280.79K","-0.14%"
"2024- 01- 29","1,462","1,497","1,516","1,457","271.26K","-3.05%"
"2024- 01- 28","1,508","1,508","1,508","1,508","","0.00%"
"2024- 01- 26","1,508","1,472","1,529","1,467","316.61K","2.45%"
"2024- 01- 25","1,472","1,535","1,535","1,470","0.01K","-4.17%"
"2024- 01- 24","1,536","1,556","1,557","1,510","435.50K","-1.29%"
"2024- 01- 23","1,556","1,515","1,605","1,511","0.27K","3.05%"
