"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","13,000","12,750","13,520","12,750","71.91K","2.52%"
"2024- 05- 07","12,680","12,820","12,880","12,630","5.99K","-0.63%"
"2024- 05- 03","12,760","12,710","12,830","12,600","2.61K","-0.55%"
"2024- 05- 02","12,830","12,420","12,890","12,420","13.39K","2.64%"
"2024- 04- 30","12,500","12,700","12,700","12,480","6.37K","-1.57%"
"2024- 04- 29","12,700","12,190","12,880","12,190","17.30K","4.18%"
"2024- 04- 26","12,190","12,120","12,240","12,080","6.56K","1.16%"
"2024- 04- 25","12,050","12,110","12,130","12,000","11.24K","-0.50%"
"2024- 04- 24","12,110","12,050","12,140","12,000","2.97K","0.67%"
"2024- 04- 23","12,030","12,040","12,060","11,920","3.14K","0.92%"
"2024- 04- 22","11,920","11,930","11,980","11,820","7.38K","0.51%"
"2024- 04- 19","11,860","12,040","12,300","11,580","19.83K","-2.87%"
"2024- 04- 18","12,210","12,670","12,670","12,130","9.87K","0.16%"
"2024- 04- 17","12,190","12,100","12,190","12,030","11.60K","0.74%"
"2024- 04- 16","12,100","12,370","12,390","12,070","25.77K","-3.28%"
"2024- 04- 15","12,510","12,700","12,770","12,420","26.35K","-2.27%"
"2024- 04- 12","12,800","12,290","12,880","12,260","46.82K","4.15%"
"2024- 04- 11","12,290","12,000","12,410","12,000","9.44K","0.08%"
"2024- 04- 09","12,280","12,700","12,700","12,160","12.85K","-1.92%"
"2024- 04- 08","12,520","13,090","13,090","12,460","40.35K","-0.24%"
