"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","1,201","1,207","1,207","1,190","10.90K","-0.33%"
"2024- 05- 07","1,205","1,199","1,230","1,187","19.70K","0.50%"
"2024- 05- 03","1,199","1,214","1,214","1,197","5.49K","-1.24%"
"2024- 05- 02","1,214","1,195","1,216","1,195","8.77K","-0.16%"
"2024- 04- 30","1,216","1,213","1,224","1,190","28.87K","0.25%"
"2024- 04- 29","1,213","1,216","1,248","1,190","52.68K","-0.25%"
"2024- 04- 26","1,216","1,218","1,440","1,172","1.35M","0.91%"
"2024- 04- 25","1,205","1,260","1,261","1,205","10.81K","-4.37%"
"2024- 04- 24","1,260","1,252","1,272","1,220","10.87K","0.64%"
"2024- 04- 23","1,252","1,201","1,273","1,201","6.48K","0.08%"
"2024- 04- 22","1,251","1,265","1,271","1,248","8.01K","-1.03%"
"2024- 04- 19","1,264","1,257","1,264","1,186","16.15K","1.20%"
"2024- 04- 18","1,249","1,232","1,258","1,221","17.55K","2.29%"
"2024- 04- 17","1,221","1,196","1,247","1,196","22.75K","0.41%"
"2024- 04- 16","1,216","1,250","1,250","1,177","28.08K","-2.72%"
"2024- 04- 15","1,250","1,245","1,340","1,230","35.02K","0.16%"
"2024- 04- 12","1,248","1,260","1,295","1,248","17.88K","-0.79%"
"2024- 04- 11","1,258","1,257","1,273","1,250","7.92K","1.78%"
"2024- 04- 09","1,236","1,279","1,279","1,220","39.33K","-3.36%"
"2024- 04- 08","1,279","1,290","1,291","1,216","40.78K","-1.62%"
"2024- 04- 05","1,300","1,313","1,321","1,291","15.56K","-1.37%"
"2024- 04- 04","1,318","1,326","1,343","1,299","15.68K","0.00%"
"2024- 04- 03","1,318","1,350","1,392","1,306","53.16K","-2.66%"
"2024- 04- 02","1,354","1,358","1,400","1,354","39.40K","-0.29%"
"2024- 04- 01","1,358","1,388","1,388","1,350","54.33K","-2.86%"
"2024- 03- 29","1,398","1,374","1,410","1,374","42.41K","0.07%"
"2024- 03- 28","1,397","1,409","1,411","1,350","63.99K","-1.41%"
"2024- 03- 27","1,417","1,435","1,435","1,387","70.60K","-0.42%"
"2024- 03- 26","1,423","1,355","1,568","1,344","1.56M","5.41%"
"2024- 03- 25","1,350","1,338","1,356","1,338","65.05K","0.90%"
"2024- 03- 22","1,338","1,310","1,360","1,310","45.43K","-1.25%"
"2024- 03- 21","1,355","1,317","1,371","1,280","158.75K","2.11%"
"2024- 03- 20","1,327","1,280","1,328","1,272","95.99K","3.67%"
"2024- 03- 19","1,280","1,254","1,280","1,254","41.75K","2.07%"
"2024- 03- 18","1,254","1,245","1,255","1,230","32.78K","0.72%"
"2024- 03- 15","1,245","1,245","1,266","1,241","2.98K","-0.16%"
"2024- 03- 14","1,247","1,250","1,264","1,237","49.13K","-0.24%"
"2024- 03- 13","1,250","1,223","1,253","1,214","64.67K","2.21%"
"2024- 03- 12","1,223","1,190","1,240","1,185","40.54K","0.66%"
"2024- 03- 11","1,215","1,152","1,261","1,141","112.69K","5.47%"
"2024- 03- 08","1,152","1,150","1,160","1,140","70.12K","0.17%"
"2024- 03- 07","1,150","1,145","1,150","1,109","44.42K","0.26%"
"2024- 03- 06","1,147","1,131","1,159","1,131","12.23K","-0.35%"
"2024- 03- 05","1,151","1,139","1,156","1,139","10.23K","1.05%"
"2024- 03- 04","1,139","1,174","1,174","1,133","50.78K","-2.98%"
"2024- 02- 29","1,174","1,166","1,177","1,164","19.31K","-0.25%"
"2024- 02- 28","1,177","1,179","1,181","1,164","16.29K","-0.17%"
"2024- 02- 27","1,179","1,182","1,182","1,170","15.82K","0.17%"
"2024- 02- 26","1,177","1,179","1,179","1,170","15.97K","0.00%"
"2024- 02- 23","1,177","1,188","1,195","1,177","23.01K","-0.51%"
"2024- 02- 22","1,183","1,196","1,196","1,182","19.30K","-1.33%"
"2024- 02- 21","1,199","1,195","1,200","1,194","6.68K","-0.08%"
"2024- 02- 20","1,200","1,198","1,201","1,195","7.26K","-0.25%"
"2024- 02- 19","1,203","1,202","1,204","1,196","11.41K","0.42%"
"2024- 02- 16","1,198","1,206","1,212","1,198","44.10K","-1.16%"
"2024- 02- 15","1,212","1,214","1,215","1,205","34.40K","0.50%"
"2024- 02- 14","1,206","1,220","1,223","1,205","19.16K","-1.15%"
"2024- 02- 13","1,220","1,227","1,227","1,211","12.36K","-0.57%"
"2024- 02- 08","1,227","1,223","1,228","1,216","8.26K","0.25%"
"2024- 02- 07","1,224","1,220","1,224","1,210","5.91K","0.25%"
"2024- 02- 06","1,221","1,223","1,233","1,205","24.94K","-0.16%"
"2024- 02- 05","1,223","1,224","1,234","1,215","10.26K","-0.97%"
"2024- 02- 02","1,235","1,213","1,235","1,204","14.28K","1.81%"
"2024- 02- 01","1,213","1,212","1,214","1,186","33.34K","-0.08%"
"2024- 01- 31","1,214","1,225","1,232","1,203","21.92K","-0.90%"
"2024- 01- 30","1,225","1,239","1,250","1,225","32.08K","-1.84%"
"2024- 01- 29","1,248","1,232","1,248","1,222","51.76K","0.08%"
"2024- 01- 26","1,247","1,245","1,248","1,237","29.30K","0.24%"
"2024- 01- 25","1,244","1,233","1,248","1,229","29.65K","0.89%"
"2024- 01- 24","1,233","1,236","1,250","1,222","12.83K","-0.24%"
