"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","16,610","16,700","16,840","16,450","30.85K","0.36%"
"2024- 05- 07","16,550","16,530","16,680","16,400","15.60K","0.42%"
"2024- 05- 03","16,480","16,300","16,580","16,020","19.61K","1.10%"
"2024- 05- 02","16,300","16,300","16,550","16,290","21.78K","0.00%"
"2024- 04- 30","16,300","16,200","16,510","16,200","20.27K","0.49%"
"2024- 04- 29","16,220","15,920","16,340","15,920","24.00K","1.63%"
"2024- 04- 26","15,960","15,960","16,250","15,800","18.22K","-0.56%"
"2024- 04- 25","16,050","15,850","17,430","15,650","172.93K","1.01%"
"2024- 04- 24","15,890","15,770","15,960","15,650","14.50K","1.99%"
"2024- 04- 23","15,580","15,610","15,920","15,440","15.54K","-0.13%"
"2024- 04- 22","15,600","15,410","16,000","15,410","14.26K","0.26%"
"2024- 04- 19","15,560","15,790","15,870","15,300","23.91K","-1.95%"
"2024- 04- 18","15,870","15,400","16,070","15,410","21.37K","3.12%"
"2024- 04- 17","15,390","15,320","15,650","15,320","24.80K","0.46%"
"2024- 04- 16","15,320","15,430","15,590","15,250","49.51K","-2.54%"
"2024- 04- 15","15,720","16,250","16,310","15,660","54.06K","-3.20%"
"2024- 04- 12","16,240","16,140","16,600","16,130","102.65K","-1.22%"
"2024- 04- 11","16,440","15,970","19,470","15,830","1.33M","1.86%"
"2024- 04- 09","16,140","16,020","16,240","16,020","9.89K","-0.19%"
"2024- 04- 08","16,170","16,220","16,290","15,940","27.16K","-0.12%"
"2024- 04- 05","16,190","16,500","16,700","16,060","31.27K","-2.00%"
"2024- 04- 04","16,520","16,620","16,860","16,500","29.82K","-0.96%"
"2024- 04- 03","16,680","16,650","16,890","16,550","28.19K","-1.07%"
"2024- 04- 02","16,860","17,300","17,320","16,850","30.87K","-2.43%"
"2024- 04- 01","17,280","17,060","17,340","16,800","29.89K","3.54%"
"2024- 03- 29","16,690","16,950","17,190","16,640","32.11K","-2.23%"
"2024- 03- 28","17,070","17,030","17,300","16,980","22.14K","-0.12%"
"2024- 03- 27","17,090","17,210","17,350","17,050","16.44K","-0.70%"
"2024- 03- 26","17,210","17,450","17,650","17,210","36.50K","-0.06%"
"2024- 03- 25","17,220","17,040","17,500","17,040","16.07K","0.17%"
"2024- 03- 22","17,190","17,370","17,380","17,130","14.37K","-0.64%"
"2024- 03- 21","17,300","17,100","17,410","17,000","26.75K","2.37%"
"2024- 03- 20","16,900","16,890","17,040","16,880","19.78K","-0.35%"
"2024- 03- 19","16,960","17,500","17,500","16,960","19.52K","-0.76%"
"2024- 03- 18","17,090","17,010","17,170","17,000","19.77K","-0.12%"
"2024- 03- 15","17,110","17,290","17,300","16,990","40.01K","-1.21%"
"2024- 03- 14","17,320","17,390","17,400","17,190","21.21K","-0.40%"
"2024- 03- 13","17,390","17,160","17,410","17,100","28.66K","0.46%"
