"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","2,330","2,295","2,330","2,280","58.30K","1.53%"
"2024- 05- 07","2,295","2,300","2,310","2,280","60.63K","0.44%"
"2024- 05- 03","2,285","2,320","2,350","2,265","111.04K","-2.35%"
"2024- 05- 02","2,340","2,315","2,345","2,295","61.25K","0.86%"
"2024- 04- 30","2,320","2,310","2,355","2,305","64.26K","1.53%"
"2024- 04- 29","2,285","2,265","2,310","2,255","48.42K","0.88%"
"2024- 04- 26","2,265","2,290","2,310","2,235","84.16K","-1.09%"
"2024- 04- 25","2,290","2,295","2,300","2,270","24.83K","-0.22%"
"2024- 04- 24","2,295","2,245","2,315","2,235","104.55K","3.38%"
"2024- 04- 23","2,220","2,270","2,290","2,220","55.98K","-1.99%"
"2024- 04- 22","2,265","2,270","2,305","2,240","55.61K","0.00%"
"2024- 04- 19","2,265","2,305","2,310","2,240","56.93K","-2.37%"
"2024- 04- 18","2,320","2,260","2,320","2,260","42.67K","1.53%"
"2024- 04- 17","2,285","2,265","2,340","2,270","59.11K","0.66%"
"2024- 04- 16","2,270","2,350","2,355","2,270","109.85K","-3.40%"
"2024- 04- 15","2,350","2,425","2,420","2,310","61.25K","-3.09%"
"2024- 04- 12","2,425","2,350","2,435","2,350","78.00K","2.97%"
"2024- 04- 11","2,355","2,355","2,365","2,320","51.80K","-0.84%"
"2024- 04- 09","2,375","2,365","2,400","2,360","61.79K","0.00%"
"2024- 04- 08","2,375","2,435","2,455","2,360","223.19K","-4.04%"
"2024- 04- 05","2,475","2,480","2,505","2,430","79.16K","-0.20%"
"2024- 04- 04","2,480","2,520","2,560","2,450","137.31K","-1.39%"
"2024- 04- 03","2,515","2,570","2,580","2,500","127.21K","-2.14%"
"2024- 04- 02","2,570","2,620","2,640","2,565","139.93K","-1.72%"
"2024- 04- 01","2,615","2,610","2,625","2,595","69.15K","0.19%"
"2024- 03- 29","2,610","2,635","2,635","2,580","120.78K","-0.95%"
"2024- 03- 28","2,635","2,645","2,665","2,620","64.30K","-0.57%"
"2024- 03- 27","2,650","2,660","2,675","2,630","65.39K","-0.38%"
"2024- 03- 26","2,660","2,680","2,695","2,640","126.13K","-2.03%"
"2024- 03- 25","2,715","2,660","2,740","2,640","155.32K","1.50%"
"2024- 03- 22","2,675","2,655","2,690","2,625","77.53K","0.94%"
"2024- 03- 21","2,650","2,600","2,660","2,585","111.69K","2.51%"
"2024- 03- 20","2,585","2,600","2,610","2,555","126.91K","0.19%"
"2024- 03- 19","2,580","2,630","2,660","2,580","201.05K","-1.90%"
"2024- 03- 18","2,630","2,655","2,660","2,615","99.37K","-0.57%"
"2024- 03- 15","2,645","2,655","2,740","2,620","8.82K","-2.40%"
"2024- 03- 14","2,710","2,770","2,775","2,710","0.02K","-1.63%"
"2024- 03- 13","2,755","2,820","2,825","2,745","206.20K","-0.18%"
"2024- 03- 12","2,760","2,800","2,810","2,750","183.97K","-0.54%"
"2024- 03- 11","2,775","2,820","2,840","2,770","0.00K","-1.25%"
"2024- 03- 08","2,810","2,785","2,820","2,770","187.19K","1.08%"
"2024- 03- 07","2,780","2,850","2,850","2,735","329.74K","-2.63%"
"2024- 03- 06","2,855","2,770","2,885","2,715","622.38K","3.07%"
"2024- 03- 05","2,770","2,820","2,850","2,745","393.29K","-0.36%"
"2024- 03- 04","2,780","2,775","2,840","2,775","341.57K","-0.71%"
"2024- 03- 03","2,800","2,800","2,800","2,800","","0.00%"
"2024- 02- 29","2,800","2,755","2,820","2,750","337.96K","0.36%"
"2024- 02- 28","2,790","2,770","2,830","2,705","602.43K","0.00%"
"2024- 02- 27","2,790","3,310","3,310","2,775","2.87M","-17.70%"
"2024- 02- 26","3,390","3,605","3,690","3,305","1.72M","-7.00%"
"2024- 02- 25","3,645","3,645","3,645","3,645","","0.00%"
"2024- 02- 23","3,645","3,225","3,720","3,165","4.49M","13.20%"
"2024- 02- 22","3,220","3,200","3,300","3,185","0.03K","0.00%"
"2024- 02- 21","3,220","3,220","3,300","3,205","276.83K","-1.23%"
"2024- 02- 20","3,260","3,300","3,355","3,205","0.00K","-2.25%"
"2024- 02- 19","3,335","3,400","3,430","3,270","557.54K","-1.91%"
"2024- 02- 18","3,400","3,400","3,400","3,400","","0.00%"
"2024- 02- 16","3,400","3,380","3,460","3,335","793.85K","-0.44%"
"2024- 02- 15","3,415","3,495","3,495","3,230","4.67K","3.17%"
"2024- 02- 14","3,310","3,365","3,365","3,095","0.00K","-0.30%"
"2024- 02- 13","3,320","3,170","3,385","3,170","903.23K","5.23%"
"2024- 02- 08","3,155","3,140","3,205","3,080","257.75K","0.48%"
"2024- 02- 07","3,140","3,115","3,155","3,040","196.72K","0.96%"
"2024- 02- 06","3,110","3,165","3,195","3,080","245.60K","-1.89%"
"2024- 02- 05","3,170","3,030","3,220","2,990","584.06K","4.62%"
"2024- 02- 02","3,030","3,130","3,140","2,985","293.88K","-3.50%"
"2024- 02- 01","3,140","3,015","3,170","3,015","0.10K","3.97%"
"2024- 01- 31","3,020","2,960","3,025","2,955","1.11K","2.03%"
"2024- 01- 30","2,960","2,875","3,015","2,875","372.97K","3.50%"
"2024- 01- 29","2,860","2,840","2,955","2,820","569.69K","1.42%"
"2024- 01- 28","2,820","2,820","2,820","2,820","","0.00%"
"2024- 01- 26","2,820","2,810","2,860","2,750","342.54K","0.89%"
"2024- 01- 25","2,795","2,845","2,850","2,740","1.69K","-1.76%"
"2024- 01- 24","2,845","2,965","2,965","2,810","553.98K","-4.53%"
"2024- 01- 23","2,980","3,070","3,105","2,965","0.63K","-4.18%"
"2024- 01- 22","3,110","3,130","3,220","3,080","155.39K","-0.48%"
"2024- 01- 21","3,125","3,125","3,125","3,125","","0.00%"
"2024- 01- 19","3,125","3,090","3,190","3,090","178.48K","2.46%"
"2024- 01- 18","3,050","3,150","3,150","3,015","371.99K","-4.39%"
"2024- 01- 17","3,190","3,120","3,320","3,095","518.85K","0.79%"
"2024- 01- 16","3,165","3,315","3,370","3,085","622.86K","-4.38%"
"2024- 01- 15","3,310","3,540","3,560","3,300","574.34K","-5.97%"
"2024- 01- 14","3,520","3,520","3,520","3,520","","0.00%"
"2024- 01- 12","3,520","3,560","3,650","3,375","455.27K","-1.40%"
"2024- 01- 11","3,570","3,530","3,600","3,520","0.16K","0.71%"
"2024- 01- 10","3,545","3,470","3,615","3,435","0.02K","3.50%"
"2024- 01- 09","3,425","3,500","3,510","3,420","0.01K","-2.14%"
"2024- 01- 08","3,500","3,310","3,550","3,295","0.10K","6.22%"
"2024- 01- 05","3,295","3,405","3,420","3,285","357.38K","-3.37%"
"2024- 01- 04","3,410","3,300","3,460","3,255","571.46K","3.18%"
"2024- 01- 03","3,305","3,280","3,390","3,205","482.36K","-0.30%"
"2024- 01- 02","3,315","3,045","3,330","3,045","0.02K","8.87%"
