"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","3,335","3,260","3,340","3,260","92.61K","1.68%"
"2024- 05- 07","3,280","3,310","3,340","3,255","47.15K","-0.76%"
"2024- 05- 03","3,305","3,255","3,335","3,255","71.60K","1.54%"
"2024- 05- 02","3,255","3,220","3,260","3,205","46.95K","0.46%"
"2024- 04- 30","3,240","3,190","3,295","3,190","73.22K","0.31%"
"2024- 04- 29","3,230","3,185","3,295","3,180","48.73K","1.41%"
"2024- 04- 26","3,185","3,205","3,225","3,160","34.36K","-0.62%"
"2024- 04- 25","3,205","3,230","3,285","3,185","53.26K","1.10%"
"2024- 04- 24","3,170","3,145","3,215","3,125","66.94K","0.79%"
"2024- 04- 23","3,145","3,145","3,180","3,130","54.93K","0.00%"
"2024- 04- 22","3,145","3,215","3,235","3,135","72.89K","-2.18%"
"2024- 04- 19","3,215","3,215","3,315","3,160","65.36K","-1.08%"
"2024- 04- 18","3,250","3,200","3,265","3,170","31.77K","1.56%"
"2024- 04- 17","3,200","3,190","3,290","3,160","45.93K","-0.16%"
"2024- 04- 16","3,205","3,280","3,280","3,140","134.01K","-3.32%"
"2024- 04- 15","3,315","3,315","3,315","3,250","74.16K","-0.15%"
"2024- 04- 12","3,320","3,245","3,335","3,245","43.96K","2.31%"
"2024- 04- 11","3,245","3,255","3,285","3,160","44.73K","-0.61%"
"2024- 04- 09","3,265","3,250","3,275","3,220","97.55K","-0.61%"
"2024- 04- 08","3,285","3,355","3,355","3,255","87.36K","-2.09%"
"2024- 04- 05","3,355","3,325","3,365","3,285","68.98K","-0.15%"
"2024- 04- 04","3,360","3,425","3,440","3,355","55.24K","-1.90%"
"2024- 04- 03","3,425","3,460","3,460","3,350","92.48K","-1.01%"
"2024- 04- 02","3,460","3,535","3,555","3,420","146.36K","-2.54%"
"2024- 04- 01","3,550","3,550","3,620","3,465","159.20K","0.00%"
"2024- 03- 29","3,550","3,675","3,695","3,495","175.00K","-3.40%"
"2024- 03- 28","3,675","3,690","3,735","3,670","50.22K","-0.54%"
"2024- 03- 27","3,695","3,705","3,920","3,655","106.13K","-0.27%"
"2024- 03- 26","3,705","3,710","3,750","3,670","22.68K","-0.13%"
"2024- 03- 25","3,710","3,675","3,725","3,675","39.96K","0.41%"
"2024- 03- 22","3,695","3,730","3,800","3,685","40.00K","-0.94%"
"2024- 03- 21","3,730","3,735","3,790","3,715","48.33K","0.40%"
"2024- 03- 20","3,715","3,745","3,745","3,670","63.18K","-0.40%"
"2024- 03- 19","3,730","3,800","3,800","3,710","47.01K","-1.45%"
"2024- 03- 18","3,785","3,820","3,820","3,740","58.30K","0.53%"
