"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","340","389","389","330","22.06K","-12.37%"
"2024- 05- 07","388","345","389","320","24.94K","12.46%"
"2024- 05- 03","345","399","399","323","11.01K","-2.82%"
"2024- 05- 02","355","379","379","321","1.12K","2.31%"
"2024- 04- 30","347","353","360","330","15.74K","-1.98%"
"2024- 04- 29","354","355","399","330","18.14K","-0.28%"
"2024- 04- 26","355","346","384","340","25.67K","-9.90%"
"2024- 04- 25","394","397","397","330","0.33K","4.23%"
"2024- 04- 24","378","400","400","360","5.64K","-4.79%"
"2024- 04- 23","397","400","400","397","0.02K","-0.50%"
"2024- 04- 22","399","380","399","380","0.15K","1.53%"
"2024- 04- 19","393","418","418","361","13.40K","-7.09%"
"2024- 04- 18","423","450","450","357","10.47K","0.95%"
"2024- 04- 17","419","400","400","362","7.84K","0.24%"
"2024- 04- 16","418","450","450","360","3.60K","1.95%"
"2024- 04- 15","410","459","459","360","0.15K","2.50%"
"2024- 04- 12","400","444","444","390","0.24K","0.00%"
"2024- 04- 11","400","459","459","352","1.65K","-0.99%"
"2024- 04- 09","404","440","440","358","1.01K","3.86%"
"2024- 04- 08","389","390","390","360","1.95K","-3.95%"
"2024- 04- 05","405","410","410","365","6.31K","7.14%"
"2024- 04- 04","378","450","450","361","42.88K","-4.79%"
"2024- 04- 03","397","450","450","383","6.92K","-1.98%"
"2024- 04- 02","405","412","412","405","0.18K","-1.70%"
"2024- 04- 01","412","459","459","380","7.74K","2.23%"
"2024- 03- 29","403","371","427","368","7.18K","6.05%"
"2024- 03- 28","380","429","443","376","11.37K","-11.42%"
"2024- 03- 27","429","438","470","387","7.37K","-2.05%"
"2024- 03- 26","438","470","470","396","6.24K","-5.81%"
"2024- 03- 25","465","468","468","420","6.15K","12.86%"
"2024- 03- 22","412","484","484","412","9.54K","-14.88%"
"2024- 03- 21","484","490","490","395","14.59K","5.45%"
"2024- 03- 20","459","450","460","425","1.53K","3.38%"
"2024- 03- 19","444","460","460","398","24.91K","5.71%"
"2024- 03- 18","420","500","500","401","15.41K","-6.46%"
"2024- 03- 15","449","449","449","409","12.17K","9.25%"
"2024- 03- 14","411","460","460","375","29.46K","-4.42%"
"2024- 03- 13","430","487","487","389","6.58K","0.70%"
"2024- 03- 12","427","371","479","371","8.90K","1.91%"
"2024- 03- 11","419","460","460","376","6.73K","3.97%"
"2024- 03- 08","403","420","420","358","15.16K","1.00%"
"2024- 03- 07","399","420","420","342","9.82K","2.57%"
"2024- 03- 06","389","360","428","345","5.37K","1.04%"
"2024- 03- 05","385","401","401","353","37.80K","-5.17%"
"2024- 03- 04","406","440","440","400","2.14K","-5.58%"
"2024- 02- 29","430","415","440","400","7.88K","3.61%"
"2024- 02- 28","415","480","480","400","7.48K","-1.43%"
"2024- 02- 27","421","470","470","421","11.20K","-9.27%"
"2024- 02- 26","464","498","498","406","1.06K","2.88%"
"2024- 02- 23","451","500","500","415","0.03K","0.45%"
"2024- 02- 22","449","451","451","415","2.12K","4.66%"
"2024- 02- 21","429","405","429","385","22.80K","-4.67%"
"2024- 02- 20","450","440","499","405","3.14K","2.27%"
"2024- 02- 19","440","430","485","400","7.91K","2.33%"
"2024- 02- 16","430","400","459","385","24.41K","5.13%"
"2024- 02- 15","409","440","440","397","57.25K","-7.67%"
"2024- 02- 14","443","415","444","415","7.74K","-1.56%"
"2024- 02- 13","450","437","487","420","27.07K","-7.98%"
"2024- 02- 08","489","495","495","489","1.13K","-1.21%"
"2024- 02- 07","495","499","499","437","0.03K","9.03%"
"2024- 02- 06","454","442","455","440","7.91K","2.71%"
"2024- 02- 05","442","499","499","420","33.09K","-5.96%"
"2024- 02- 02","470","458","487","430","3.24K","2.40%"
"2024- 02- 01","459","430","500","430","2.43K","-0.22%"
"2024- 01- 31","460","499","499","435","6.02K","-4.17%"
"2024- 01- 30","480","450","499","423","16.39K","2.13%"
"2024- 01- 29","470","491","491","436","3.74K","-5.05%"
"2024- 01- 26","495","455","497","455","0.24K","8.32%"
"2024- 01- 25","457","470","470","411","3.35K","-1.08%"
"2024- 01- 24","462","431","464","382","49.81K","2.90%"
"2024- 01- 23","449","450","450","426","5.90K","-4.26%"
"2024- 01- 22","469","455","517","440","19.37K","2.18%"
"2024- 01- 19","459","451","517","450","5.43K","0.00%"
"2024- 01- 18","459","451","479","450","23.95K","-6.33%"
"2024- 01- 17","490","498","498","461","5.92K","-2.00%"
"2024- 01- 16","500","558","558","451","1.71K","2.25%"
"2024- 01- 15","489","490","490","461","4.50K","-0.20%"
"2024- 01- 12","490","549","549","435","9.88K","2.08%"
"2024- 01- 11","480","553","553","480","6.51K","-2.64%"
"2024- 01- 10","493","453","548","453","1.15K","-0.40%"
"2024- 01- 09","495","473","497","472","28.93K","4.65%"
"2024- 01- 08","473","610","610","463","13.69K","-11.09%"
"2024- 01- 05","532","460","540","435","20.99K","13.19%"
"2024- 01- 04","470","489","489","443","14.90K","-2.69%"
"2024- 01- 03","483","490","490","431","59.40K","0.00%"
"2024- 01- 02","483","500","500","430","22.68K","7.57%"
