"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","5,100","5,040","5,100","5,040","6.25K","0.20%"
"2024- 05- 07","5,090","5,070","5,100","5,070","8.16K","0.59%"
"2024- 05- 03","5,060","5,050","5,090","5,050","2.24K","-0.39%"
"2024- 05- 02","5,080","5,040","5,090","5,030","6.63K","0.20%"
"2024- 04- 30","5,070","5,080","5,090","5,010","16.60K","-0.20%"
"2024- 04- 29","5,080","5,080","5,100","5,050","5.33K","0.00%"
"2024- 04- 26","5,080","5,020","5,100","4,995","10.36K","1.20%"
"2024- 04- 25","5,020","5,050","5,050","5,000","8.60K","-0.20%"
"2024- 04- 24","5,030","4,990","5,040","4,990","44.52K","0.80%"
"2024- 04- 23","4,990","5,070","5,080","4,985","24.72K","-1.38%"
"2024- 04- 22","5,060","5,000","5,060","5,000","13.55K","1.20%"
"2024- 04- 19","5,000","5,030","5,030","4,985","12.53K","-0.60%"
"2024- 04- 18","5,030","4,965","5,050","4,965","11.01K","-0.20%"
"2024- 04- 17","5,040","5,020","5,070","5,010","6.11K","0.40%"
"2024- 04- 16","5,020","4,990","5,030","4,990","10.55K","-0.20%"
"2024- 04- 15","5,030","5,040","5,040","5,000","16.55K","-0.59%"
"2024- 04- 12","5,060","5,130","5,130","5,020","37.60K","-1.17%"
"2024- 04- 11","5,120","5,140","5,240","5,060","13.35K","-1.16%"
"2024- 04- 09","5,180","5,170","5,240","5,140","6.08K","0.19%"
"2024- 04- 08","5,170","5,220","5,230","5,150","7.61K","-0.96%"
"2024- 04- 05","5,220","5,210","5,250","5,180","14.15K","-0.57%"
"2024- 04- 04","5,250","5,260","5,300","5,210","8.05K","-0.19%"
"2024- 04- 03","5,260","5,250","5,290","5,220","6.49K","-0.75%"
"2024- 04- 02","5,300","5,310","5,330","5,240","11.73K","-0.38%"
"2024- 04- 01","5,320","5,300","5,360","5,300","13.98K","-0.19%"
"2024- 03- 29","5,330","5,420","5,420","5,330","6.35K","-1.11%"
"2024- 03- 28","5,390","5,390","5,410","5,350","7.42K","0.00%"
"2024- 03- 27","5,390","5,430","5,450","5,370","7.91K","-1.10%"
"2024- 03- 26","5,450","5,430","5,470","5,400","17.66K","0.00%"
"2024- 03- 25","5,450","5,400","5,490","5,360","37.60K","1.49%"
"2024- 03- 22","5,370","5,400","5,400","5,300","7.28K","0.00%"
"2024- 03- 21","5,370","5,330","5,390","5,290","14.86K","0.75%"
"2024- 03- 20","5,330","5,220","5,360","5,190","26.91K","2.70%"
"2024- 03- 19","5,190","5,210","5,260","5,160","11.26K","-1.33%"
"2024- 03- 18","5,260","5,190","5,260","5,180","4.22K","1.35%"
"2024- 03- 15","5,190","5,260","5,260","5,140","15.53K","-1.14%"
"2024- 03- 14","5,250","5,270","5,290","5,180","12.27K","-0.38%"
"2024- 03- 13","5,270","5,360","5,360","5,250","14.52K","-2.04%"
"2024- 03- 12","5,380","5,270","5,380","5,220","31.15K","2.67%"
"2024- 03- 11","5,240","5,160","5,270","5,160","19.09K","1.75%"
"2024- 03- 08","5,150","5,170","5,200","5,100","29.47K","-0.39%"
"2024- 03- 07","5,170","5,230","5,230","5,140","15.70K","-1.15%"
"2024- 03- 06","5,230","5,200","5,240","5,200","5.18K","-0.19%"
"2024- 03- 05","5,240","5,250","5,300","5,190","15.73K","-0.38%"
"2024- 03- 04","5,260","5,340","5,340","5,260","8.43K","-0.75%"
"2024- 02- 29","5,300","5,340","5,340","5,290","5.87K","-0.93%"
"2024- 02- 28","5,350","5,300","5,350","5,260","14.32K","0.94%"
"2024- 02- 27","5,300","5,400","5,400","5,260","21.46K","-1.30%"
"2024- 02- 26","5,370","5,470","5,500","5,300","14.87K","0.19%"
"2024- 02- 23","5,360","5,420","5,420","5,340","7.45K","-0.92%"
"2024- 02- 22","5,410","5,380","5,440","5,310","20.21K","0.19%"
"2024- 02- 21","5,400","5,370","5,400","5,290","34.67K","1.12%"
"2024- 02- 20","5,340","5,450","5,460","5,330","49.12K","-2.02%"
"2024- 02- 19","5,450","5,380","5,480","5,380","17.60K","1.30%"
"2024- 02- 16","5,380","5,290","5,380","5,260","32.78K","2.09%"
"2024- 02- 15","5,270","5,360","5,380","5,190","79.58K","-2.04%"
"2024- 02- 14","5,380","5,390","5,390","5,290","31.11K","-0.37%"
"2024- 02- 13","5,400","5,410","5,440","5,380","28.94K","-0.37%"
"2024- 02- 08","5,420","5,490","5,490","5,400","14.09K","-0.18%"
"2024- 02- 07","5,430","5,500","5,510","5,390","23.19K","-0.91%"
"2024- 02- 06","5,480","5,510","5,510","5,430","9.30K","0.00%"
"2024- 02- 05","5,480","5,540","5,540","5,450","13.27K","-0.18%"
"2024- 02- 02","5,490","5,460","5,520","5,440","14.10K","0.55%"
"2024- 02- 01","5,460","5,410","5,470","5,390","13.40K","0.00%"
"2024- 01- 31","5,460","5,470","5,480","5,380","9.08K","0.00%"
"2024- 01- 30","5,460","5,460","5,500","5,300","21.72K","0.00%"
"2024- 01- 29","5,460","5,540","5,580","5,410","32.62K","-1.09%"
"2024- 01- 26","5,520","5,480","5,540","5,440","22.21K","1.10%"
"2024- 01- 25","5,460","5,540","5,540","5,430","9.61K","-1.27%"
"2024- 01- 24","5,530","5,480","5,550","5,480","8.20K","0.00%"
"2024- 01- 23","5,530","5,500","5,570","5,480","19.82K","0.73%"
"2024- 01- 22","5,490","5,550","5,590","5,410","19.76K","-0.72%"
"2024- 01- 19","5,530","5,540","5,600","5,490","21.15K","0.00%"
