"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","3,625","3,630","3,630","3,590","23.74K","-0.14%"
"2024- 05- 07","3,630","3,650","3,680","3,605","34.18K","-0.82%"
"2024- 05- 03","3,660","3,820","3,820","3,625","119.35K","-3.81%"
"2024- 05- 02","3,805","3,695","3,845","3,675","93.21K","3.40%"
"2024- 04- 30","3,680","3,555","3,760","3,555","97.47K","4.99%"
"2024- 04- 29","3,505","3,610","3,670","3,505","59.36K","-2.37%"
"2024- 04- 26","3,590","3,680","3,680","3,560","79.86K","-2.45%"
"2024- 04- 25","3,680","3,765","3,765","3,680","41.43K","-2.26%"
"2024- 04- 24","3,765","3,750","3,820","3,745","27.51K","-0.40%"
"2024- 04- 23","3,780","3,725","3,785","3,690","20.84K","1.48%"
"2024- 04- 22","3,725","3,780","3,870","3,725","31.67K","-1.06%"
"2024- 04- 19","3,765","3,830","3,830","3,705","40.63K","-1.70%"
"2024- 04- 18","3,830","3,630","3,855","3,615","63.02K","5.51%"
"2024- 04- 17","3,630","3,610","3,695","3,610","35.40K","-0.82%"
"2024- 04- 16","3,660","3,675","3,730","3,620","50.37K","-2.14%"
"2024- 04- 15","3,740","3,725","3,800","3,700","35.46K","-1.58%"
"2024- 04- 12","3,800","3,840","3,840","3,765","48.57K","0.80%"
"2024- 04- 11","3,770","3,790","3,805","3,690","48.72K","-0.79%"
"2024- 04- 09","3,800","3,670","3,800","3,670","64.57K","2.56%"
"2024- 04- 08","3,705","3,745","3,850","3,700","56.93K","-0.94%"
"2024- 04- 05","3,740","3,770","3,770","3,665","58.09K","-0.93%"
"2024- 04- 04","3,775","3,770","3,920","3,740","156.28K","0.13%"
"2024- 04- 03","3,770","3,810","3,850","3,705","182.73K","-0.26%"
"2024- 04- 02","3,780","3,945","4,550","3,770","1.76M","-4.91%"
"2024- 04- 01","3,975","3,935","4,005","3,920","47.31K","0.13%"
"2024- 03- 29","3,970","3,905","4,005","3,880","118.35K","1.40%"
"2024- 03- 28","3,915","3,915","3,965","3,840","110.62K","-1.14%"
"2024- 03- 27","3,960","3,920","4,040","3,920","216.80K","0.13%"
"2024- 03- 26","3,955","3,895","3,980","3,850","163.94K","1.93%"
"2024- 03- 25","3,880","3,755","3,925","3,755","195.76K","2.51%"
"2024- 03- 22","3,785","3,780","3,805","3,695","65.66K","0.53%"
"2024- 03- 21","3,765","3,670","3,835","3,660","199.23K","3.01%"
"2024- 03- 20","3,655","3,715","3,730","3,650","90.02K","-1.88%"
"2024- 03- 19","3,725","3,715","3,775","3,650","138.98K","-1.19%"
"2024- 03- 18","3,770","3,580","3,935","3,575","1.06M","5.45%"
"2024- 03- 15","3,575","3,560","3,640","3,425","93.37K","-0.83%"
"2024- 03- 14","3,605","3,550","3,660","3,550","37.46K","1.55%"
"2024- 03- 13","3,550","3,605","3,620","3,540","34.84K","-1.53%"
"2024- 03- 12","3,605","3,585","3,635","3,530","47.58K","0.56%"
"2024- 03- 11","3,585","3,490","3,615","3,470","71.53K","2.72%"
"2024- 03- 08","3,490","3,350","3,490","3,310","68.60K","5.28%"
"2024- 03- 07","3,315","3,430","3,435","3,305","92.65K","-3.07%"
"2024- 03- 06","3,420","3,430","3,500","3,400","41.61K","-1.16%"
"2024- 03- 05","3,460","3,520","3,525","3,435","81.05K","-1.84%"
"2024- 03- 04","3,525","3,555","3,600","3,500","60.77K","-1.95%"
"2024- 02- 29","3,595","3,570","3,655","3,540","39.41K","-0.14%"
"2024- 02- 28","3,600","3,540","3,620","3,520","51.45K","0.84%"
"2024- 02- 27","3,570","3,605","3,735","3,530","192.87K","-1.92%"
"2024- 02- 26","3,640","3,600","3,665","3,600","54.51K","1.25%"
"2024- 02- 25","3,595","3,595","3,595","3,595","","0.00%"
"2024- 02- 23","3,595","3,590","3,650","3,570","93.65K","-0.42%"
"2024- 02- 22","3,610","3,635","3,670","3,575","0.07K","-1.63%"
"2024- 02- 21","3,670","3,810","3,810","3,660","464.64K","-3.55%"
"2024- 02- 20","3,805","3,815","4,560","3,790","0.42K","0.13%"
"2024- 02- 19","3,800","3,825","3,825","3,770","16.43K","0.53%"
"2024- 02- 16","3,780","3,805","3,830","3,750","36.57K","-1.18%"
"2024- 02- 15","3,825","3,855","3,855","3,775","36.39K","-0.26%"
"2024- 02- 14","3,835","3,795","3,850","3,750","41.20K","0.92%"
"2024- 02- 13","3,800","3,755","3,800","3,695","40.28K","1.20%"
"2024- 02- 08","3,755","3,690","3,755","3,680","20.31K","1.76%"
"2024- 02- 07","3,690","3,730","3,785","3,565","37.13K","-0.54%"
"2024- 02- 06","3,710","3,705","3,740","3,665","43.22K","-0.54%"
"2024- 02- 05","3,730","3,700","3,730","3,670","30.57K","0.67%"
"2024- 02- 02","3,705","3,650","3,785","3,650","51.90K","0.14%"
"2024- 02- 01","3,700","3,725","3,735","3,605","80.39K","-0.67%"
"2024- 01- 31","3,725","3,750","3,795","3,700","37.64K","-0.67%"
"2024- 01- 30","3,750","3,805","3,815","3,750","38.90K","-0.66%"
"2024- 01- 29","3,775","3,850","3,950","3,720","102.62K","-1.56%"
"2024- 01- 26","3,835","3,795","3,920","3,755","86.83K","1.05%"
"2024- 01- 25","3,795","3,805","3,805","3,670","116.93K","-0.26%"
"2024- 01- 24","3,805","3,845","3,890","3,785","65.47K","-1.93%"
"2024- 01- 23","3,880","3,745","3,900","3,740","0.28K","3.60%"
"2024- 01- 22","3,745","3,795","3,845","3,745","117.36K","-1.19%"
"2024- 01- 21","3,790","3,790","3,790","3,790","","0.00%"
"2024- 01- 19","3,790","3,850","3,905","3,785","159.54K","-1.17%"
"2024- 01- 18","3,835","4,040","4,485","3,830","0.03K","-5.07%"
"2024- 01- 17","4,040","4,060","4,090","3,835","146.92K","-0.25%"
