"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","15,670","15,750","15,700","15,250","18.62K","0.58%"
"2024- 05- 07","15,580","15,550","15,910","15,400","22.06K","1.83%"
"2024- 05- 03","15,300","15,200","15,350","15,080","12.65K","0.00%"
"2024- 05- 02","15,300","15,190","15,540","14,850","27.68K","1.19%"
"2024- 04- 30","15,120","15,250","15,360","14,950","32.94K","-1.37%"
"2024- 04- 29","15,330","15,310","15,500","14,940","21.81K","0.13%"
"2024- 04- 26","15,310","14,860","15,470","14,860","27.28K","3.03%"
"2024- 04- 25","14,860","14,730","14,900","14,000","25.66K","4.43%"
"2024- 04- 24","14,230","14,350","15,000","13,940","19.48K","-0.84%"
"2024- 04- 23","14,350","14,340","14,470","13,920","25.59K","0.07%"
"2024- 04- 22","14,340","14,240","14,700","13,800","27.79K","2.43%"
"2024- 04- 19","14,000","14,390","14,990","13,990","43.86K","-2.71%"
"2024- 04- 18","14,390","14,350","14,750","14,100","21.47K","0.28%"
"2024- 04- 17","14,350","14,570","14,570","13,980","14.10K","0.70%"
"2024- 04- 16","14,250","14,200","15,000","13,240","58.44K","0.00%"
"2024- 04- 15","14,250","15,130","15,290","14,250","39.51K","-5.82%"
"2024- 04- 12","15,130","15,690","16,500","14,910","67.18K","-3.57%"
"2024- 04- 11","15,690","16,010","16,130","14,910","50.18K","-2.00%"
"2024- 04- 09","16,010","16,010","16,490","15,820","30.49K","0.00%"
"2024- 04- 08","16,010","15,820","16,230","15,820","20.05K","0.06%"
"2024- 04- 05","16,000","16,210","16,950","15,890","28.73K","-1.30%"
"2024- 04- 04","16,210","16,850","16,850","15,800","15.61K","-0.55%"
"2024- 04- 03","16,300","16,960","16,960","16,260","19.65K","-1.98%"
"2024- 04- 02","16,630","16,290","16,890","16,290","30.66K","0.91%"
"2024- 04- 01","16,480","16,770","16,800","16,040","26.95K","-1.73%"
"2024- 03- 29","16,770","16,930","17,450","16,660","20.82K","-0.95%"
"2024- 03- 28","16,930","16,610","17,080","16,590","16.97K","-0.41%"
"2024- 03- 27","17,000","16,910","17,050","16,340","54.75K","0.59%"
"2024- 03- 26","16,900","16,810","17,010","16,150","51.82K","1.14%"
"2024- 03- 25","16,710","16,250","16,770","16,080","64.75K","2.83%"
"2024- 03- 22","16,250","16,500","16,700","15,930","48.83K","0.49%"
"2024- 03- 21","16,170","15,210","16,330","15,050","57.62K","6.31%"
"2024- 03- 20","15,210","14,400","15,210","14,160","48.42K","3.47%"
"2024- 03- 19","14,700","14,940","15,010","14,360","60.34K","-1.61%"
"2024- 03- 18","14,940","14,760","15,170","14,410","70.11K","2.47%"
"2024- 03- 15","14,580","14,760","14,890","14,210","3.62K","2.10%"
"2024- 03- 14","14,280","14,910","15,020","14,110","58.28K","-5.18%"
"2024- 03- 13","15,060","15,470","15,470","14,930","33.03K","-1.57%"
"2024- 03- 12","15,300","16,000","16,000","14,720","50.76K","-1.92%"
"2024- 03- 11","15,600","15,250","15,630","14,930","41.24K","1.56%"
"2024- 03- 08","15,360","16,110","16,470","15,360","31.57K","-4.66%"
"2024- 03- 07","16,110","16,330","16,960","15,930","37.25K","-2.60%"
"2024- 03- 06","16,540","16,380","17,000","16,020","65.93K","0.00%"
"2024- 03- 05","16,540","15,020","16,590","14,730","84.43K","9.10%"
"2024- 03- 04","15,160","17,200","17,200","15,090","84.24K","-10.14%"
"2024- 02- 29","16,870","17,300","17,300","16,490","94.01K","-1.23%"
"2024- 02- 28","17,080","17,110","17,350","16,790","0.01K","0.00%"
"2024- 02- 27","17,080","17,070","17,270","16,470","40.03K","0.12%"
"2024- 02- 26","17,060","17,200","17,360","16,740","65.59K","0.06%"
"2024- 02- 23","17,050","16,720","17,400","16,450","39.70K","1.49%"
"2024- 02- 22","16,800","16,890","17,160","16,520","49.31K","1.76%"
"2024- 02- 21","16,510","16,570","17,380","16,510","61.54K","-2.02%"
"2024- 02- 20","16,850","16,690","17,040","16,440","61.47K","0.96%"
"2024- 02- 19","16,690","16,880","17,100","16,400","34.53K","-1.36%"
"2024- 02- 16","16,920","16,780","17,080","16,110","27.08K","1.01%"
"2024- 02- 15","16,750","16,990","16,990","16,390","24.64K","0.18%"
"2024- 02- 14","16,720","17,670","17,670","16,040","41.23K","3.02%"
"2024- 02- 13","16,230","17,010","17,010","16,200","47.75K","0.19%"
"2024- 02- 08","16,200","15,880","16,470","15,700","59.26K","2.08%"
"2024- 02- 07","15,870","16,270","16,460","15,790","23.51K","-2.34%"
"2024- 02- 06","16,250","16,500","16,900","15,960","46.34K","-3.96%"
"2024- 02- 05","16,920","17,400","17,900","16,530","61.65K","-3.86%"
"2024- 02- 02","17,600","17,700","18,290","17,430","101.17K","0.11%"
"2024- 02- 01","17,580","17,990","18,150","17,370","65.94K","-1.01%"
"2024- 01- 31","17,760","18,340","19,000","17,250","133.69K","-3.32%"
"2024- 01- 30","18,370","17,900","18,500","17,440","63.71K","3.79%"
"2024- 01- 29","17,700","17,850","17,970","17,200","81.34K","-1.67%"
"2024- 01- 26","18,000","16,860","18,000","16,780","112.67K","6.51%"
"2024- 01- 25","16,900","16,840","17,180","16,630","60.12K","0.06%"
"2024- 01- 24","16,890","16,800","17,110","16,490","72.84K","0.66%"
"2024- 01- 23","16,780","16,570","16,950","16,050","59.66K","0.42%"
"2024- 01- 22","16,710","16,800","16,910","16,450","46.23K","0.84%"
"2024- 01- 19","16,570","16,730","16,990","15,810","60.49K","-0.96%"
"2024- 01- 18","16,730","17,000","17,000","16,220","40.15K","-0.36%"
"2024- 01- 17","16,790","17,120","17,400","16,600","30.36K","-0.94%"
"2024- 01- 16","16,950","17,010","17,170","16,450","39.57K","0.06%"
"2024- 01- 15","16,940","16,970","17,110","16,650","68.12K","-0.06%"
