"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","9,590","9,390","9,610","9,360","37.40K","2.13%"
"2024- 05- 07","9,390","9,630","9,630","9,320","23.29K","-1.05%"
"2024- 05- 03","9,490","9,410","9,500","9,270","25.01K","0.42%"
"2024- 05- 02","9,450","9,370","9,450","9,270","26.20K","0.96%"
"2024- 04- 30","9,360","9,580","9,580","9,260","51.60K","-2.30%"
"2024- 04- 29","9,580","9,210","9,950","9,210","239.96K","4.02%"
"2024- 04- 26","9,210","9,110","9,300","9,070","47.90K","1.32%"
"2024- 04- 25","9,090","9,100","9,120","8,900","26.73K","-0.22%"
"2024- 04- 24","9,110","9,040","9,170","8,980","97.79K","0.77%"
"2024- 04- 23","9,040","8,800","10,800","8,800","908.93K","2.61%"
"2024- 04- 22","8,810","8,990","8,990","8,710","11.77K","-0.23%"
"2024- 04- 19","8,830","8,920","8,920","8,680","15.62K","-1.01%"
"2024- 04- 18","8,920","8,630","8,930","8,630","9.92K","1.36%"
"2024- 04- 17","8,800","8,870","9,040","8,800","27.79K","-0.68%"
"2024- 04- 16","8,860","8,630","8,860","8,450","35.68K","2.67%"
"2024- 04- 15","8,630","8,620","8,770","8,360","31.17K","-0.12%"
"2024- 04- 12","8,640","8,630","8,840","8,590","17.87K","-1.03%"
"2024- 04- 11","8,730","8,510","8,730","8,450","16.96K","0.58%"
"2024- 04- 09","8,680","8,650","8,800","8,570","20.42K","0.35%"
"2024- 04- 08","8,650","8,900","8,940","8,500","49.88K","-2.81%"
"2024- 04- 05","8,900","8,890","9,100","8,830","23.32K","-0.78%"
"2024- 04- 04","8,970","9,080","9,360","8,940","53.77K","-1.32%"
"2024- 04- 03","9,090","9,030","9,110","8,860","39.62K","0.66%"
"2024- 04- 02","9,030","9,250","9,300","8,980","31.53K","-2.90%"
"2024- 04- 01","9,300","9,000","9,360","9,000","33.23K","3.68%"
"2024- 03- 29","8,970","9,250","9,250","8,970","43.19K","-2.18%"
"2024- 03- 28","9,170","9,380","9,500","9,100","45.81K","-2.45%"
"2024- 03- 27","9,400","9,320","9,570","9,260","43.16K","0.21%"
"2024- 03- 26","9,380","9,600","9,710","9,280","77.84K","-3.10%"
"2024- 03- 25","9,680","9,670","9,750","9,500","39.48K","0.10%"
"2024- 03- 22","9,670","10,050","10,070","9,620","68.18K","-3.30%"
"2024- 03- 21","10,000","10,160","10,300","9,840","136.33K","0.40%"
"2024- 03- 20","9,960","10,210","10,340","9,730","221.67K","-3.30%"
"2024- 03- 19","10,300","9,300","11,280","9,270","1.32M","10.16%"
"2024- 03- 18","9,350","9,040","9,450","9,010","38.83K","1.63%"
"2024- 03- 15","9,200","9,040","9,310","9,050","8.95K","-2.13%"
"2024- 03- 14","9,400","9,440","9,440","9,170","35.05K","0.32%"
"2024- 03- 13","9,370","9,450","9,660","9,290","71.14K","-1.16%"
"2024- 03- 12","9,480","9,310","9,560","9,220","47.15K","1.83%"
"2024- 03- 11","9,310","9,330","9,500","9,200","69.19K","0.22%"
"2024- 03- 08","9,290","9,030","9,360","8,980","49.26K","2.31%"
"2024- 03- 07","9,080","8,910","9,200","8,800","49.03K","1.23%"
"2024- 03- 06","8,970","9,210","9,250","8,930","51.13K","-3.03%"
"2024- 03- 05","9,250","9,120","9,440","8,930","67.21K","0.43%"
"2024- 03- 04","9,210","9,080","9,700","9,020","0.03K","2.56%"
"2024- 02- 29","8,980","9,050","9,050","8,790","30.78K","-0.66%"
"2024- 02- 28","9,040","8,700","9,040","8,700","58.51K","3.91%"
"2024- 02- 27","8,700","8,690","8,850","8,620","30.69K","-0.80%"
"2024- 02- 26","8,770","8,800","8,920","8,600","22.42K","-0.34%"
"2024- 02- 23","8,800","8,810","8,940","8,710","25.74K","0.00%"
"2024- 02- 22","8,800","8,890","8,910","8,750","16.94K","-0.90%"
"2024- 02- 21","8,880","8,980","9,020","8,790","27.13K","-1.11%"
"2024- 02- 20","8,980","8,970","9,100","8,860","0.03K","-0.11%"
"2024- 02- 19","8,990","9,000","9,300","8,940","63.43K","-0.22%"
"2024- 02- 16","9,010","9,000","9,090","8,810","29.06K","0.67%"
"2024- 02- 15","8,950","8,790","9,120","8,750","61.30K","1.82%"
"2024- 02- 14","8,790","8,730","8,800","8,560","37.06K","0.57%"
"2024- 02- 13","8,740","8,390","9,510","8,390","0.10K","4.80%"
"2024- 02- 08","8,340","8,230","8,460","8,230","35.39K","1.58%"
"2024- 02- 07","8,210","8,270","8,400","8,200","73.25K","-1.68%"
"2024- 02- 06","8,350","8,520","8,590","8,210","63.76K","-2.00%"
"2024- 02- 05","8,520","8,810","8,870","8,510","68.18K","-3.18%"
"2024- 02- 04","8,800","8,800","8,800","8,800","","0.00%"
"2024- 02- 02","8,800","8,810","9,180","8,770","129.46K","0.34%"
"2024- 02- 01","8,770","9,040","9,160","8,700","131.33K","-3.52%"
"2024- 01- 31","9,090","9,480","9,640","9,030","0.06K","-4.72%"
"2024- 01- 30","9,540","9,750","11,350","9,350","1.18M","-0.52%"
"2024- 01- 29","9,590","9,680","10,400","9,480","353.96K","1.48%"
"2024- 01- 26","9,450","8,810","9,550","8,740","93.45K","7.26%"
"2024- 01- 25","8,810","9,200","9,200","8,780","0.04K","-6.38%"
"2024- 01- 24","9,410","10,200","10,200","9,380","170.49K","-4.47%"
"2024- 01- 23","9,850","9,150","10,240","8,960","292.36K","7.18%"
"2024- 01- 22","9,190","9,320","9,530","9,140","95.81K","-0.65%"
"2024- 01- 19","9,250","9,100","9,440","9,100","59.53K","1.76%"
"2024- 01- 18","9,090","8,520","9,220","8,520","74.30K","5.70%"
"2024- 01- 17","8,600","8,910","9,000","8,600","56.21K","-4.44%"
"2024- 01- 16","9,000","9,080","9,300","8,800","71.96K","-1.85%"
"2024- 01- 15","9,170","9,180","9,180","8,850","30.66K","-0.11%"
"2024- 01- 12","9,180","9,530","9,530","9,030","50.91K","-1.71%"
"2024- 01- 11","9,340","9,150","9,470","9,150","0.01K","2.08%"
"2024- 01- 10","9,150","9,600","9,600","9,090","0.06K","-3.58%"
"2024- 01- 09","9,490","9,250","9,490","9,070","85.69K","2.59%"
"2024- 01- 08","9,250","8,530","9,380","8,450","0.00K","8.44%"
"2024- 01- 05","8,530","8,520","8,770","8,270","52.23K","2.16%"
"2024- 01- 04","8,350","8,620","8,620","8,200","90.61K","-3.24%"
"2024- 01- 03","8,630","8,810","8,890","8,570","0.01K","-3.03%"
"2024- 01- 02","8,900","8,700","8,940","8,550","44.61K","2.30%"
