"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","1,279","1,256","1,288","1,256","225.40K","0.71%"
"2024- 05- 07","1,270","1,303","1,311","1,257","250.98K","-1.93%"
"2024- 05- 03","1,295","1,320","1,327","1,290","331.98K","-1.07%"
"2024- 05- 02","1,309","1,305","1,316","1,262","394.61K","0.31%"
"2024- 04- 30","1,305","1,290","1,320","1,248","687.82K","2.92%"
"2024- 04- 29","1,268","1,207","1,293","1,192","1.04M","7.37%"
"2024- 04- 26","1,181","1,344","1,349","1,176","1.71M","-10.05%"
"2024- 04- 25","1,313","1,219","1,315","1,219","1.86M","7.71%"
"2024- 04- 24","1,219","1,222","1,227","1,202","250.21K","0.74%"
"2024- 04- 23","1,210","1,176","1,217","1,150","615.37K","3.51%"
"2024- 04- 22","1,169","1,214","1,215","1,153","353.96K","-4.10%"
"2024- 04- 19","1,219","1,241","1,244","1,204","657.46K","-2.25%"
"2024- 04- 18","1,247","1,220","1,247","1,210","351.52K","1.71%"
"2024- 04- 17","1,226","1,152","1,240","1,152","856.53K","6.42%"
"2024- 04- 16","1,152","1,188","1,194","1,148","498.60K","-3.84%"
"2024- 04- 15","1,198","1,179","1,207","1,159","248.11K","0.67%"
"2024- 04- 12","1,190","1,190","1,228","1,182","527.78K","0.00%"
"2024- 04- 11","1,190","1,195","1,206","1,173","279.56K","0.51%"
"2024- 04- 09","1,184","1,252","1,255","1,164","1.02M","-4.75%"
"2024- 04- 08","1,243","1,209","1,248","1,180","888.69K","4.19%"
"2024- 04- 05","1,193","1,171","1,220","1,169","560.89K","-1.08%"
"2024- 04- 04","1,206","1,199","1,210","1,161","863.93K","2.12%"
"2024- 04- 03","1,181","1,131","1,188","1,101","1.15M","3.96%"
"2024- 04- 02","1,136","1,140","1,190","1,094","887.58K","-0.35%"
"2024- 04- 01","1,140","1,030","1,178","1,030","3.65M","11.33%"
"2024- 03- 29","1,024","1,016","1,035","1,008","144.59K","0.39%"
"2024- 03- 28","1,020","1,007","1,029","995","101.49K","1.29%"
"2024- 03- 27","1,007","987","1,020","981","77.46K","1.41%"
"2024- 03- 26","993","1,014","1,025","960","162.28K","-1.29%"
"2024- 03- 25","1,006","1,019","1,032","1,006","82.75K","-1.28%"
"2024- 03- 22","1,019","1,049","1,070","1,015","201.33K","-2.86%"
"2024- 03- 21","1,049","1,030","1,054","1,012","136.74K","1.35%"
"2024- 03- 20","1,035","1,034","1,054","1,020","102.48K","0.19%"
"2024- 03- 19","1,033","1,037","1,043","999","182.34K","-0.39%"
"2024- 03- 18","1,037","1,060","1,061","1,020","223.87K","-1.43%"
"2024- 03- 17","1,052","1,052","1,052","1,052","","0.00%"
"2024- 03- 15","1,052","1,000","1,090","991","1.11M","5.20%"
"2024- 03- 14","1,000","998","1,009","983","98.61K","-0.20%"
"2024- 03- 13","1,002","977","1,012","960","186.07K","2.56%"
"2024- 03- 12","977","979","983","920","231.74K","-0.20%"
