"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","5,760","5,820","5,900","5,760","71.19K","-1.20%"
"2024- 05- 07","5,830","5,810","5,870","5,700","127.80K","0.34%"
"2024- 05- 03","5,810","5,940","6,090","5,800","158.87K","-2.52%"
"2024- 05- 02","5,960","6,060","6,090","5,960","104.49K","-1.97%"
"2024- 04- 30","6,080","6,130","6,200","6,080","99.27K","-0.98%"
"2024- 04- 29","6,140","6,130","6,300","6,100","207.21K","0.33%"
"2024- 04- 26","6,120","5,950","6,140","5,910","162.73K","3.03%"
"2024- 04- 25","5,940","6,070","6,170","5,930","92.09K","-2.46%"
"2024- 04- 24","6,090","6,100","6,160","6,050","96.31K","0.83%"
"2024- 04- 23","6,040","6,160","6,190","6,010","112.03K","-0.33%"
"2024- 04- 22","6,060","5,910","6,180","5,790","332.90K","1.85%"
"2024- 04- 19","5,950","6,030","6,030","5,750","228.45K","-2.30%"
"2024- 04- 18","6,090","5,680","6,120","5,670","297.21K","7.41%"
"2024- 04- 17","5,670","5,660","5,810","5,650","135.97K","0.18%"
"2024- 04- 16","5,660","5,830","5,860","5,640","156.99K","-3.74%"
"2024- 04- 15","5,880","5,790","5,950","5,640","219.58K","0.34%"
"2024- 04- 12","5,860","5,840","5,950","5,720","185.82K","0.34%"
"2024- 04- 11","5,840","5,800","5,940","5,790","95.79K","-1.02%"
"2024- 04- 09","5,900","5,970","6,090","5,840","159.43K","-1.17%"
"2024- 04- 08","5,970","6,140","6,290","5,880","367.75K","-2.13%"
"2024- 04- 05","6,100","6,000","6,260","5,950","449.87K","1.16%"
"2024- 04- 04","6,030","6,010","6,120","5,850","436.96K","-0.33%"
"2024- 04- 03","6,050","5,950","6,490","5,690","2.92M","3.24%"
"2024- 04- 02","5,860","5,800","5,940","5,690","285.27K","0.69%"
"2024- 04- 01","5,820","5,620","5,900","5,510","551.34K","5.63%"
"2024- 03- 29","5,510","5,520","5,630","5,470","130.22K","0.36%"
"2024- 03- 28","5,490","5,430","5,700","5,390","183.36K","1.48%"
"2024- 03- 27","5,410","5,320","5,740","5,250","521.84K","1.69%"
"2024- 03- 26","5,320","5,240","5,360","5,200","72.25K","2.11%"
"2024- 03- 25","5,210","5,250","5,310","5,190","84.88K","-0.38%"
