"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","41,000.00","38,500.00","41,000.00","38,000.00","960.65K","6.49%"
"2024- 05- 07","38,500.00","38,300.00","39,550.00","36,300.00","702.08K","4.76%"
"2024- 05- 03","36,750.00","33,750.00","39,950.00","33,650.00","1.43M","5.00%"
"2024- 05- 02","35,000.00","33,550.00","36,900.00","31,850.00","1.09M","2.64%"
"2024- 04- 30","34,100.00","36,400.00","36,400.00","32,800.00","1.01M","-7.08%"
"2024- 04- 29","36,700.00","33,550.00","38,850.00","33,200.00","2.51M","11.04%"
"2024- 04- 26","33,050.00","38,700.00","40,000.00","31,300.00","3.05M","-18.40%"
"2024- 04- 25","40,500.00","47,750.00","48,000.00","38,450.00","2.45M","-8.27%"
"2024- 04- 23","44,150.00","37,900.00","44,150.00","36,650.00","1.83M","11.49%"
"2024- 04- 22","39,600.00","45,100.00","49,500.00","35,100.00","6.04M","1.54%"
"2024- 04- 18","39,000.00","32,350.00","39,000.00","30,500.00","2.13M","30.00%"
"2024- 04- 17","30,000.00","27,200.00","30,500.00","26,950.00","1.95M","11.94%"
"2024- 04- 16","26,800.00","21,050.00","26,800.00","20,250.00","4.38M","29.78%"
"2024- 04- 15","20,650.00","20,500.00","22,850.00","19,920.00","2.27M","0.00%"
"2024- 04- 12","20,650.00","16,500.00","20,900.00","16,300.00","3.33M","28.26%"
"2024- 04- 11","16,100.00","16,000.00","16,400.00","15,160.00","501.21K","1.26%"
"2024- 04- 09","15,900.00","15,100.00","16,430.00","14,770.00","939.48K","6.93%"
"2024- 04- 08","14,870.00","13,800.00","16,500.00","13,760.00","2.01M","8.54%"
"2024- 04- 05","13,700.00","14,470.00","14,470.00","13,700.00","455.28K","-6.16%"
"2024- 04- 04","14,600.00","14,740.00","15,000.00","13,970.00","967.12K","3.84%"
"2024- 04- 03","14,060.00","13,400.00","14,870.00","13,000.00","873.68K","2.33%"
"2024- 04- 02","13,740.00","14,450.00","14,880.00","13,450.00","1.10M","-4.58%"
