"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","63,000","62,900","63,000","62,000","25.85K","0.80%"
"2024- 05- 07","62,500","60,800","63,200","60,900","57.74K","3.82%"
"2024- 05- 03","60,200","60,800","60,900","59,700","30.94K","0.00%"
"2024- 05- 02","60,200","59,600","60,900","59,600","43.45K","0.67%"
"2024- 04- 30","59,800","59,500","60,300","59,500","28.90K","-0.50%"
"2024- 04- 29","60,100","61,900","62,200","59,300","87.86K","-2.59%"
"2024- 04- 26","61,700","62,600","63,200","60,800","53.88K","-1.12%"
"2024- 04- 25","62,400","62,100","63,000","61,500","29.04K","-0.64%"
"2024- 04- 24","62,800","63,700","63,900","62,600","37.54K","-0.63%"
"2024- 04- 23","63,200","60,500","63,300","60,200","57.17K","3.61%"
"2024- 04- 22","61,000","60,600","61,000","60,200","23.04K","1.67%"
"2024- 04- 19","60,000","59,600","60,600","59,300","46.48K","-0.17%"
"2024- 04- 18","60,100","61,000","61,100","60,100","28.84K","-1.15%"
"2024- 04- 17","60,800","61,000","61,000","59,700","35.61K","1.00%"
"2024- 04- 16","60,200","59,900","60,800","59,800","49.58K","0.33%"
"2024- 04- 15","60,000","60,600","60,700","59,600","21.78K","-1.15%"
"2024- 04- 12","60,700","59,700","61,200","59,700","46.01K","0.50%"
"2024- 04- 11","60,400","60,000","61,500","59,400","83.87K","0.33%"
"2024- 04- 09","60,200","59,600","60,400","58,700","25.81K","1.69%"
"2024- 04- 08","59,200","58,700","59,600","58,600","15.96K","0.68%"
"2024- 04- 05","58,800","58,500","59,500","58,300","20.77K","-0.34%"
"2024- 04- 04","59,000","60,500","60,600","59,000","21.32K","-1.67%"
"2024- 04- 03","60,000","59,800","60,600","59,700","30.88K","-0.33%"
"2024- 04- 02","60,200","59,600","61,500","59,600","32.44K","-0.17%"
"2024- 04- 01","60,300","60,700","60,800","59,800","21.00K","0.33%"
"2024- 03- 29","60,100","61,200","61,400","60,000","24.41K","-1.64%"
"2024- 03- 28","61,100","60,700","61,400","60,200","23.62K","0.66%"
"2024- 03- 27","60,700","59,800","61,300","59,800","32.81K","0.50%"
"2024- 03- 26","60,400","59,400","61,000","59,200","50.79K","3.07%"
"2024- 03- 25","58,600","59,500","60,100","58,000","70.07K","-2.50%"
"2024- 03- 22","60,100","59,500","61,500","59,300","42.05K","-1.64%"
"2024- 03- 21","61,100","59,900","61,100","59,800","70.04K","3.04%"
"2024- 03- 20","59,300","58,800","59,500","58,300","28.42K","1.72%"
"2024- 03- 19","58,300","57,400","58,900","56,600","43.76K","0.00%"
"2024- 03- 18","58,300","59,300","59,400","58,000","28.12K","-1.02%"
"2024- 03- 15","58,900","59,200","59,400","58,500","41.03K","-0.67%"
"2024- 03- 14","59,300","57,800","59,900","57,500","74.77K","3.31%"
"2024- 03- 13","57,400","58,000","58,000","57,300","20.62K","-0.17%"
