"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","4,130","4,100","4,140","4,085","61.30K","0.00%"
"2024- 05- 07","4,130","4,060","4,135","4,040","124.13K","1.72%"
"2024- 05- 03","4,060","4,065","4,105","4,025","89.69K","0.00%"
"2024- 05- 02","4,060","4,065","4,120","4,040","96.32K","-0.12%"
"2024- 04- 30","4,065","4,015","4,170","4,015","211.00K","0.62%"
"2024- 04- 29","4,040","3,990","4,110","3,965","161.49K","1.25%"
"2024- 04- 26","3,990","3,985","4,000","3,945","65.83K","0.13%"
"2024- 04- 25","3,985","4,030","4,050","3,960","83.84K","-0.87%"
"2024- 04- 24","4,020","4,010","4,040","4,000","74.23K","0.25%"
"2024- 04- 23","4,010","3,900","4,025","3,900","100.14K","1.91%"
"2024- 04- 22","3,935","3,895","3,950","3,870","62.20K","0.13%"
"2024- 04- 19","3,930","3,955","3,990","3,815","132.23K","-1.50%"
"2024- 04- 18","3,990","3,945","4,005","3,925","69.70K","1.14%"
"2024- 04- 17","3,945","3,885","4,015","3,860","150.62K","1.54%"
"2024- 04- 16","3,885","3,850","3,935","3,820","152.56K","-0.77%"
"2024- 04- 15","3,915","3,870","3,920","3,830","113.27K","0.64%"
"2024- 04- 12","3,890","3,850","3,945","3,850","75.78K","-0.26%"
"2024- 04- 11","3,900","3,950","3,965","3,805","161.73K","-1.64%"
"2024- 04- 09","3,965","4,000","4,040","3,965","107.90K","-0.88%"
"2024- 04- 08","4,000","4,105","4,170","4,000","203.83K","-3.26%"
"2024- 04- 05","4,135","4,095","4,140","4,045","159.89K","-0.12%"
"2024- 04- 04","4,140","4,250","4,260","4,130","246.75K","-2.01%"
"2024- 04- 03","4,225","4,230","4,280","4,145","315.84K","-0.12%"
"2024- 04- 02","4,230","4,220","4,295","4,200","367.64K","0.36%"
"2024- 04- 01","4,215","3,960","4,215","3,960","551.99K","6.44%"
"2024- 03- 29","3,960","3,980","4,005","3,945","161.90K","-1.12%"
"2024- 03- 28","4,005","4,065","4,095","4,000","109.46K","-0.87%"
"2024- 03- 27","4,040","4,070","4,070","4,025","76.08K","-0.74%"
"2024- 03- 26","4,070","3,960","4,090","3,960","227.42K","1.75%"
"2024- 03- 25","4,000","3,935","4,000","3,935","106.15K","1.65%"
"2024- 03- 22","3,935","3,955","3,965","3,935","73.09K","-0.51%"
"2024- 03- 21","3,955","3,980","3,980","3,915","108.95K","0.00%"
"2024- 03- 20","3,955","4,000","4,000","3,945","147.33K","-1.00%"
"2024- 03- 19","3,995","4,015","4,035","3,975","109.60K","-0.99%"
"2024- 03- 18","4,035","3,955","4,150","3,955","227.41K","2.02%"
"2024- 03- 15","3,955","4,010","4,015","3,955","100.74K","-1.13%"
"2024- 03- 14","4,000","4,040","4,105","3,965","213.66K","-1.96%"
"2024- 03- 13","4,080","4,040","4,105","3,975","174.10K","1.49%"
"2024- 03- 12","4,020","3,985","4,040","3,950","145.72K","0.88%"
"2024- 03- 11","3,985","3,975","4,035","3,975","187.83K","-0.75%"
"2024- 03- 10","4,015","4,015","4,015","4,015","","0.00%"
"2024- 03- 08","4,015","4,115","4,115","3,990","179.75K","-1.11%"
"2024- 03- 07","4,060","4,120","4,135","4,020","273.02K","-1.46%"
"2024- 03- 06","4,120","4,100","4,190","4,095","197.42K","-0.48%"
"2024- 03- 05","4,140","4,220","4,230","4,100","238.09K","-1.66%"
"2024- 03- 04","4,210","4,220","4,250","4,135","207.92K","0.00%"
"2024- 02- 29","4,210","4,150","4,335","4,105","261.50K","1.45%"
"2024- 02- 28","4,150","4,105","4,210","4,105","142.44K","0.85%"
"2024- 02- 27","4,115","4,300","4,330","4,100","345.47K","-4.30%"
"2024- 02- 26","4,300","4,290","4,340","4,225","187.48K","0.47%"
"2024- 02- 23","4,280","4,350","4,420","4,235","422.71K","-1.50%"
"2024- 02- 22","4,345","4,445","4,445","4,285","550.77K","-1.70%"
"2024- 02- 21","4,420","4,550","4,620","4,405","1.62M","-1.78%"
"2024- 02- 20","4,500","4,345","4,660","4,315","5.97M","5.26%"
"2024- 02- 19","4,275","4,320","4,385","4,200","931.20K","-0.93%"
"2024- 02- 16","4,315","4,290","4,365","4,270","622.66K","1.53%"
"2024- 02- 15","4,250","4,240","4,370","4,225","1.07M","1.92%"
"2024- 02- 14","4,170","4,170","4,195","4,080","314.93K","-0.71%"
"2024- 02- 13","4,200","4,205","4,245","4,175","266.07K","0.00%"
"2024- 02- 12","4,200","4,200","4,200","4,200","","0.00%"
"2024- 02- 08","4,200","4,275","4,305","4,155","399.00K","-1.75%"
"2024- 02- 07","4,275","4,220","4,320","4,195","620.74K","2.03%"
"2024- 02- 06","4,190","4,190","4,245","4,070","525.83K","-0.59%"
"2024- 02- 05","4,215","4,305","4,325","4,130","786.09K","-3.44%"
"2024- 02- 04","4,365","4,365","4,365","4,365","","0.00%"
"2024- 02- 02","4,365","4,320","4,365","4,280","1.15M","1.04%"
"2024- 02- 01","4,320","4,375","4,460","4,255","3.01M","1.89%"
"2024- 01- 31","4,240","3,905","4,570","3,880","12.74M","8.16%"
"2024- 01- 30","3,920","3,910","3,945","3,845","168.57K","0.26%"
"2024- 01- 29","3,910","4,035","4,045","3,870","333.45K","-3.22%"
"2024- 01- 28","4,040","4,040","4,040","4,040","","0.00%"
"2024- 01- 26","4,040","3,790","4,165","3,770","1.58M","7.16%"
"2024- 01- 25","3,770","3,810","3,850","3,750","83.70K","-1.82%"
"2024- 01- 24","3,840","3,885","3,885","3,785","50.35K","0.26%"
"2024- 01- 23","3,830","3,820","3,930","3,815","80.26K","-0.65%"
"2024- 01- 22","3,855","3,840","3,880","3,805","56.63K","0.52%"
"2024- 01- 19","3,835","3,780","3,960","3,770","100.49K","1.46%"
"2024- 01- 18","3,780","3,675","3,815","3,675","94.58K","1.34%"
"2024- 01- 17","3,730","3,900","3,915","3,730","214.75K","-4.36%"
"2024- 01- 16","3,900","3,910","3,960","3,860","87.64K","-0.89%"
"2024- 01- 15","3,935","3,880","3,975","3,845","98.55K","0.51%"
"2024- 01- 14","3,915","3,915","3,915","3,915","","0.00%"
"2024- 01- 12","3,915","4,055","4,055","3,865","152.15K","-2.61%"
"2024- 01- 11","4,020","3,960","4,055","3,950","226.49K","1.52%"
"2024- 01- 10","3,960","3,970","4,000","3,915","62.87K","-0.25%"
"2024- 01- 09","3,970","3,960","4,010","3,935","138.88K","0.51%"
"2024- 01- 08","3,950","3,900","3,955","3,870","115.28K","1.41%"
"2024- 01- 05","3,895","3,870","3,965","3,860","78.65K","0.65%"
"2024- 01- 04","3,870","3,920","3,920","3,840","121.96K","-1.28%"
"2024- 01- 03","3,920","3,865","3,970","3,865","109.31K","-0.51%"
"2024- 01- 02","3,940","3,825","3,940","3,825","209.52K","2.60%"
