"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","6,820","6,060","6,930","6,020","838.77K","13.86%"
"2024- 05- 07","5,990","6,230","6,230","5,850","215.18K","-3.85%"
"2024- 05- 03","6,230","6,210","6,440","6,050","265.58K","-2.50%"
"2024- 05- 02","6,390","6,330","6,600","6,140","313.15K","-2.74%"
"2024- 04- 30","6,570","7,100","7,350","6,490","1.29M","-2.52%"
"2024- 04- 29","6,740","5,400","6,740","5,190","1.50M","29.87%"
"2024- 04- 26","5,190","5,050","5,330","5,020","167.24K","2.98%"
"2024- 04- 25","5,040","5,290","5,540","4,960","258.97K","-4.36%"
"2024- 04- 24","5,270","4,550","5,300","4,430","513.11K","16.21%"
"2024- 04- 23","4,535","4,940","4,980","4,525","249.06K","-6.49%"
"2024- 04- 22","4,850","5,060","5,210","4,850","173.78K","-3.96%"
"2024- 04- 19","5,050","4,600","5,150","4,600","419.13K","7.68%"
"2024- 04- 18","4,690","4,430","4,690","4,360","209.06K","5.87%"
"2024- 04- 17","4,430","4,400","4,835","4,350","294.00K","-1.77%"
"2024- 04- 16","4,510","4,790","5,520","4,455","498.47K","-7.30%"
"2024- 04- 15","4,865","5,000","5,030","4,860","170.28K","-3.66%"
"2024- 04- 12","5,050","4,820","5,720","4,770","770.81K","4.12%"
"2024- 04- 11","4,850","4,970","4,970","4,630","236.42K","-3.00%"
"2024- 04- 09","5,000","5,130","5,210","4,940","246.92K","-3.85%"
"2024- 04- 08","5,200","5,240","5,400","5,030","216.23K","0.39%"
"2024- 04- 05","5,180","5,090","5,310","4,975","205.66K","-0.19%"
"2024- 04- 04","5,190","5,290","5,400","5,080","199.90K","-1.52%"
"2024- 04- 03","5,270","5,490","5,490","4,945","448.59K","-4.01%"
"2024- 04- 02","5,490","5,700","5,810","5,390","229.51K","-4.36%"
"2024- 04- 01","5,740","5,590","5,890","5,240","423.21K","3.24%"
"2024- 03- 29","5,560","6,360","6,780","5,560","966.46K","-12.58%"
"2024- 03- 28","6,360","6,690","6,900","6,310","223.82K","-6.06%"
"2024- 03- 27","6,770","7,020","7,020","6,700","197.84K","-3.56%"
