"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","3,550","3,340","3,560","3,250","295.90K","6.13%"
"2024- 05- 07","3,345","3,270","3,350","3,195","200.28K","2.29%"
"2024- 05- 03","3,270","3,270","3,375","3,195","277.67K","-0.91%"
"2024- 05- 02","3,300","3,490","3,500","3,285","350.13K","-5.44%"
"2024- 04- 30","3,490","3,605","3,650","3,445","235.72K","-2.92%"
"2024- 04- 29","3,595","3,525","3,650","3,510","243.22K","1.41%"
"2024- 04- 26","3,545","3,555","3,625","3,510","153.33K","0.85%"
"2024- 04- 25","3,515","3,540","3,635","3,510","244.16K","0.57%"
"2024- 04- 24","3,495","3,630","3,670","3,495","346.58K","-3.45%"
"2024- 04- 23","3,620","3,755","3,810","3,580","587.17K","-3.08%"
"2024- 04- 22","3,735","3,645","3,755","3,550","501.10K","2.61%"
"2024- 04- 19","3,640","3,550","3,755","3,460","1.04M","4.90%"
"2024- 04- 18","3,470","3,350","3,515","3,330","268.78K","4.05%"
"2024- 04- 17","3,335","3,250","3,370","3,005","490.98K","1.83%"
"2024- 04- 16","3,275","3,010","3,400","2,960","641.37K","8.26%"
"2024- 04- 15","3,025","3,235","3,235","2,950","299.98K","-6.49%"
"2024- 04- 12","3,235","3,230","3,380","3,125","265.01K","1.57%"
"2024- 04- 11","3,185","3,145","3,250","3,100","87.75K","1.27%"
"2024- 04- 09","3,145","3,015","3,205","3,000","291.20K","-0.32%"
"2024- 04- 08","3,155","3,215","3,300","3,010","286.05K","-1.41%"
"2024- 04- 05","3,200","3,380","3,400","3,125","318.31K","-4.48%"
"2024- 04- 04","3,350","3,300","3,370","3,250","185.16K","1.82%"
"2024- 04- 03","3,290","3,200","3,500","3,120","191.53K","0.92%"
"2024- 04- 02","3,260","3,475","3,475","3,180","285.65K","-4.26%"
"2024- 04- 01","3,405","3,415","3,485","3,340","180.38K","1.49%"
"2024- 03- 29","3,355","3,490","3,555","3,350","248.56K","-3.87%"
"2024- 03- 28","3,490","3,415","3,550","3,360","284.47K","2.65%"
"2024- 03- 27","3,400","3,530","3,545","3,300","556.89K","-4.23%"
"2024- 03- 26","3,550","3,690","3,700","3,460","570.05K","-3.79%"
"2024- 03- 25","3,690","3,750","3,790","3,655","549.64K","-2.38%"
"2024- 03- 22","3,780","3,550","3,820","3,455","1.42M","6.63%"
"2024- 03- 21","3,545","3,100","3,660","3,050","2.06M","15.85%"
"2024- 03- 20","3,060","2,930","3,060","2,930","443.79K","3.55%"
"2024- 03- 19","2,955","2,950","3,025","2,900","422.03K","0.17%"
"2024- 03- 18","2,950","2,855","3,000","2,820","654.16K","3.33%"
"2024- 03- 15","2,855","2,820","2,905","2,730","397.86K","0.00%"
"2024- 03- 14","2,855","2,820","2,910","2,690","0.05K","0.71%"
"2024- 03- 13","2,835","2,660","2,885","2,605","0.20K","6.38%"
"2024- 03- 12","2,665","3,300","3,300","2,665","1.01K","-25.04%"
"2024- 03- 11","3,555","3,280","3,680","3,245","0.07K","10.40%"
"2024- 03- 10","3,220","3,220","3,220","3,220","","0.00%"
"2024- 03- 08","3,220","2,855","3,260","2,830","1.20M","12.59%"
"2024- 03- 07","2,860","2,705","2,945","2,705","0.01K","7.72%"
"2024- 03- 06","2,655","2,500","2,665","2,480","242.59K","5.99%"
"2024- 03- 05","2,505","2,610","2,670","2,500","280.19K","-5.83%"
"2024- 03- 04","2,660","2,730","2,820","2,575","404.25K","-2.56%"
"2024- 02- 29","2,730","2,775","2,855","2,690","291.78K","-1.80%"
"2024- 02- 28","2,780","2,735","2,845","2,735","284.84K","0.00%"
"2024- 02- 27","2,780","2,670","2,830","2,585","502.95K","5.70%"
"2024- 02- 26","2,630","2,670","2,695","2,565","168.05K","-1.50%"
"2024- 02- 23","2,670","2,655","2,730","2,570","414.18K","0.00%"
"2024- 02- 22","2,670","2,555","2,675","2,540","301.37K","3.69%"
"2024- 02- 21","2,575","2,630","2,630","2,520","194.68K","-1.34%"
"2024- 02- 20","2,610","2,410","2,610","2,410","0.30K","7.41%"
"2024- 02- 19","2,430","2,450","2,545","2,400","0.49K","-0.82%"
"2024- 02- 16","2,450","2,525","2,565","2,380","681.94K","-3.73%"
"2024- 02- 15","2,545","2,570","2,580","2,500","389.63K","-1.36%"
"2024- 02- 14","2,580","2,515","2,615","2,480","339.79K","0.00%"
"2024- 02- 13","2,580","2,710","2,760","2,545","675.71K","-7.69%"
"2024- 02- 12","2,795","2,795","2,795","2,795","","0.00%"
"2024- 02- 08","2,795","3,080","3,100","2,760","934.87K","-10.70%"
"2024- 02- 07","3,130","2,970","3,160","2,845","0.00K","7.38%"
"2024- 02- 06","2,915","2,960","3,040","2,780","638.66K","-1.69%"
"2024- 02- 05","2,965","2,950","3,190","2,775","1.17M","0.17%"
"2024- 02- 04","2,960","2,960","2,960","2,960","","0.00%"
"2024- 02- 02","2,960","2,860","3,025","2,860","912.48K","1.02%"
"2024- 02- 01","2,930","2,610","2,930","2,600","0.68K","8.72%"
"2024- 01- 31","2,695","2,560","2,700","2,440","1.03M","3.85%"
"2024- 01- 30","2,595","2,405","2,745","2,360","2.71M","6.57%"
"2024- 01- 29","2,435","2,190","2,465","2,190","0.65K","10.18%"
"2024- 01- 26","2,210","2,170","2,270","2,140","178.23K","1.14%"
"2024- 01- 25","2,185","2,240","2,255","2,165","140.80K","-2.46%"
"2024- 01- 24","2,240","2,295","2,295","2,175","233.85K","-1.32%"
"2024- 01- 23","2,270","2,280","2,325","2,230","137.78K","-2.16%"
"2024- 01- 22","2,320","2,275","2,360","2,190","0.12K","1.98%"
"2024- 01- 19","2,275","2,150","2,355","2,150","463.79K","5.32%"
"2024- 01- 18","2,160","2,090","2,195","2,090","72.17K","3.35%"
"2024- 01- 17","2,090","2,125","2,175","2,085","155.75K","-2.56%"
"2024- 01- 16","2,145","2,105","2,180","2,090","98.32K","-0.46%"
"2024- 01- 15","2,155","2,175","2,180","2,130","73.56K","0.00%"
"2024- 01- 12","2,155","2,170","2,205","2,155","131.96K","-1.82%"
