"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 30","26,000","26,400","26,450","25,800","396.91K","-1.52%"
"2024- 04- 29","26,400","25,000","26,850","24,950","1.27M","6.45%"
"2024- 04- 26","24,800","24,800","25,600","24,550","640.79K","0.00%"
"2024- 04- 25","24,800","25,200","25,500","24,100","507.00K","-1.78%"
"2024- 04- 24","25,250","25,050","25,500","24,300","961.33K","1.81%"
"2024- 04- 23","24,800","23,100","25,100","22,900","1.00M","7.59%"
"2024- 04- 22","23,050","22,800","23,700","22,750","576.20K","2.67%"
"2024- 04- 19","22,450","22,400","22,950","21,900","395.69K","-1.10%"
"2024- 04- 18","22,700","21,500","22,950","21,500","371.06K","5.58%"
"2024- 04- 17","21,500","22,100","22,400","21,500","396.30K","-2.49%"
"2024- 04- 16","22,050","21,800","22,450","21,700","382.75K","-0.90%"
"2024- 04- 15","22,250","22,550","22,750","22,000","407.45K","-3.47%"
"2024- 04- 12","23,050","22,200","23,350","22,050","461.77K","3.83%"
"2024- 04- 11","22,200","22,000","22,450","21,800","324.76K","-1.11%"
"2024- 04- 09","22,450","22,550","22,900","22,200","570.33K","-0.44%"
"2024- 04- 08","22,550","23,550","23,550","22,000","974.23K","-3.84%"
"2024- 04- 05","23,450","23,600","24,350","23,200","607.02K","-2.70%"
"2024- 04- 04","24,100","25,150","25,250","23,950","770.22K","-3.02%"
"2024- 04- 03","24,850","24,800","25,450","24,500","741.42K","-1.97%"
"2024- 04- 02","25,350","27,250","27,300","24,700","1.66M","-7.48%"
"2024- 04- 01","27,400","27,100","27,700","26,900","1.16M","1.11%"
"2024- 03- 29","27,100","25,200","27,300","24,800","2.70M","8.18%"
"2024- 03- 28","25,050","25,250","25,500","24,750","657.76K","-0.20%"
"2024- 03- 27","25,100","25,450","25,750","24,550","883.88K","-0.99%"
"2024- 03- 26","25,350","26,450","26,450","25,100","1.33M","-4.88%"
"2024- 03- 25","26,650","26,750","26,900","26,150","1.00M","1.33%"
"2024- 03- 22","26,300","26,500","27,050","26,050","1.13M","0.38%"
"2024- 03- 21","26,200","26,000","27,100","25,700","1.30M","3.76%"
"2024- 03- 20","25,250","26,350","26,500","24,500","1.04M","-2.51%"
"2024- 03- 19","25,900","26,600","27,150","25,650","1.02M","0.00%"
"2024- 03- 18","25,900","25,650","26,500","25,200","1.08M","2.57%"
"2024- 03- 17","25,250","25,250","25,250","25,250","","0.00%"
"2024- 03- 15","25,250","26,700","27,250","25,250","1.27M","-7.00%"
"2024- 03- 14","27,150","27,450","28,200","26,700","1.15M","-2.69%"
"2024- 03- 13","27,900","29,800","30,500","26,300","4.36M","0.18%"
"2024- 03- 12","27,850","27,850","28,500","27,500","891.44K","-0.54%"
"2024- 03- 11","28,000","28,700","29,500","27,500","2.14M","1.27%"
"2024- 03- 10","27,650","27,650","27,650","27,650","","0.00%"
"2024- 03- 08","27,650","26,450","27,950","25,850","2.28M","5.13%"
"2024- 03- 07","26,300","26,750","27,700","26,050","2.06M","-3.66%"
"2024- 03- 06","27,300","24,550","28,400","24,350","8.08M","13.99%"
"2024- 03- 05","23,950","23,050","24,200","22,900","959.86K","4.13%"
"2024- 03- 04","23,000","22,700","23,200","22,500","435.32K","0.88%"
"2024- 03- 03","22,800","22,800","22,800","22,800","","0.00%"
"2024- 02- 29","22,800","22,700","23,350","22,450","527.24K","-0.87%"
"2024- 02- 28","23,000","23,300","23,400","22,650","571.74K","-1.50%"
"2024- 02- 27","23,350","23,950","24,300","23,100","1.08M","-0.43%"
"2024- 02- 26","23,450","23,000","23,950","22,550","1.70M","4.22%"
"2024- 02- 25","22,500","22,500","22,500","22,500","","0.00%"
"2024- 02- 23","22,500","21,500","23,550","21,450","1.74M","5.88%"
"2024- 02- 22","21,250","20,800","21,750","20,650","633.37K","3.41%"
"2024- 02- 21","20,550","20,700","21,050","20,300","307.35K","-1.44%"
"2024- 02- 20","20,850","20,600","21,300","20,400","325.25K","1.46%"
"2024- 02- 19","20,550","20,600","21,100","20,300","276.20K","0.74%"
"2024- 02- 16","20,400","20,450","20,800","20,150","223.05K","0.49%"
"2024- 02- 15","20,300","20,550","20,850","20,200","220.03K","-0.73%"
"2024- 02- 14","20,450","19,990","20,600","19,970","284.28K","-0.73%"
"2024- 02- 13","20,600","19,900","20,850","19,470","596.88K","3.52%"
"2024- 02- 12","19,900","19,900","19,900","19,900","","0.00%"
"2024- 02- 08","19,900","20,400","20,400","18,960","1.14M","-2.45%"
"2024- 02- 07","20,400","21,400","21,650","20,300","491.24K","-4.67%"
"2024- 02- 06","21,400","21,200","21,750","20,850","284.45K","-0.47%"
"2024- 02- 05","21,500","22,050","22,300","21,400","298.01K","-4.02%"
"2024- 02- 04","22,400","22,400","22,400","22,400","","0.00%"
"2024- 02- 02","22,400","22,100","22,500","21,850","297.89K","2.75%"
"2024- 02- 01","21,800","21,700","22,200","21,350","400.13K","-0.91%"
"2024- 01- 31","22,000","22,950","23,200","22,000","540.58K","-5.17%"
"2024- 01- 30","23,200","21,950","23,550","21,950","939.58K","6.18%"
"2024- 01- 29","21,850","21,650","22,650","21,550","697.46K","1.16%"
"2024- 01- 26","21,600","21,500","21,800","21,250","341.31K","2.13%"
"2024- 01- 25","21,150","21,000","21,450","20,850","271.05K","-0.24%"
"2024- 01- 24","21,200","21,750","21,750","20,950","295.03K","-2.08%"
"2024- 01- 23","21,650","21,800","22,150","21,500","394.33K","0.46%"
"2024- 01- 22","21,550","21,400","21,850","21,200","332.50K","1.65%"
"2024- 01- 21","21,200","21,200","21,200","21,200","","0.00%"
"2024- 01- 19","21,200","21,850","21,900","20,950","476.62K","-1.40%"
"2024- 01- 18","21,500","21,750","22,000","21,350","389.42K","-0.69%"
"2024- 01- 17","21,650","22,450","22,500","21,500","526.67K","-3.56%"
"2024- 01- 16","22,450","22,800","23,200","22,250","364.04K","-1.32%"
"2024- 01- 15","22,750","23,450","23,500","22,500","476.77K","-2.57%"
"2024- 01- 12","23,350","24,100","24,100","23,100","367.43K","-2.71%"
"2024- 01- 11","24,000","24,100","24,600","23,500","373.31K","0.21%"
"2024- 01- 10","23,950","23,900","24,200","23,250","396.70K","0.00%"
"2024- 01- 09","23,950","23,200","24,250","23,100","591.36K","4.36%"
"2024- 01- 08","22,950","23,450","23,500","22,350","688.13K","-1.50%"
"2024- 01- 05","23,300","23,950","24,050","23,050","647.50K","-1.89%"
"2024- 01- 04","23,750","24,950","24,950","23,550","885.79K","-4.23%"
"2024- 01- 03","24,800","24,550","25,250","23,800","1.37M","2.90%"
"2024- 01- 02","24,100","24,850","25,100","22,800","1.37M","-2.03%"
