"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","10,290.00","10,300.00","10,500.00","10,110.00","0.59K","-0.10%"
"2024- 05- 07","10,300.00","10,080.00","10,470.00","10,080.00","0.18K","2.18%"
"2024- 05- 03","10,080.00","10,060.00","10,840.00","9,800.00","1.83K","-7.95%"
"2024- 05- 02","10,950.00","10,500.00","10,950.00","10,200.00","0.61K","-1.26%"
"2024- 04- 30","11,090.00","11,420.00","11,430.00","10,050.00","0.34K","-2.97%"
"2024- 04- 29","11,430.00","11,430.00","11,880.00","10,000.00","0.18K","0.35%"
"2024- 04- 26","11,390.00","10,700.00","11,500.00","10,660.00","0.20K","-0.78%"
"2024- 04- 25","11,480.00","11,480.00","11,480.00","11,480.00","0.00K","0.44%"
"2024- 04- 24","11,430.00","11,470.00","11,470.00","11,470.00","0.00K","-0.35%"
"2024- 04- 23","11,470.00","11,480.00","11,480.00","10,500.00","0.18K","-0.26%"
"2024- 04- 22","11,500.00","11,300.00","11,800.00","11,000.00","0.10K","1.77%"
"2024- 04- 19","11,300.00","11,390.00","11,880.00","10,690.00","1.26K","-0.53%"
"2024- 04- 18","11,360.00","12,890.00","12,890.00","11,150.00","1.59K","-2.32%"
"2024- 04- 17","11,630.00","11,160.00","11,800.00","11,150.00","0.33K","-2.84%"
"2024- 04- 16","11,970.00","12,000.00","12,000.00","11,050.00","0.24K","4.09%"
"2024- 04- 15","11,500.00","12,000.00","12,000.00","11,980.00","0.01K","-7.48%"
"2024- 04- 12","12,430.00","12,000.00","12,480.00","11,500.00","0.10K","3.67%"
"2024- 04- 11","11,990.00","11,800.00","12,100.00","11,500.00","0.22K","-0.91%"
"2024- 04- 09","12,100.00","12,120.00","12,120.00","11,500.00","0.09K","0.08%"
"2024- 04- 08","12,090.00","11,610.00","12,130.00","11,500.00","0.14K","-0.49%"
"2024- 04- 05","12,150.00","12,160.00","12,160.00","12,030.00","0.02K","-0.16%"
"2024- 04- 04","12,170.00","12,190.00","12,190.00","12,190.00","0.00K","-1.06%"
"2024- 04- 03","12,300.00","11,600.00","12,330.00","11,600.00","0.06K","0.49%"
"2024- 04- 02","12,240.00","12,240.00","12,240.00","12,240.00","0.00K","-0.81%"
"2024- 04- 01","12,340.00","12,480.00","12,480.00","11,500.00","0.06K","2.92%"
"2024- 03- 29","11,990.00","12,490.00","12,490.00","10,650.00","0.65K","-4.08%"
"2024- 03- 28","12,500.00","12,000.00","12,790.00","12,000.00","0.07K","0.00%"
"2024- 03- 27","12,500.00","11,900.00","12,800.00","11,120.00","0.27K","-3.62%"
"2024- 03- 26","12,970.00","12,980.00","12,980.00","11,500.00","0.10K","-0.08%"
"2024- 03- 25","12,980.00","13,500.00","13,800.00","12,000.00","0.10K","-3.78%"
"2024- 03- 22","13,490.00","13,740.00","13,740.00","12,500.00","0.03K","-1.82%"
"2024- 03- 21","13,740.00","13,730.00","13,800.00","11,720.00","0.79K","-0.29%"
