"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","14,500","14,390","14,600","14,390","49.69K","-0.34%"
"2024- 05- 07","14,550","14,280","14,680","14,280","62.23K","2.18%"
"2024- 05- 03","14,240","14,470","14,630","14,150","76.78K","-2.26%"
"2024- 05- 02","14,570","14,320","14,700","14,310","85.47K","0.28%"
"2024- 04- 30","14,530","15,000","15,110","14,520","159.90K","-3.90%"
"2024- 04- 29","15,120","15,230","15,370","15,000","94.32K","0.53%"
"2024- 04- 26","15,040","15,300","15,460","14,800","102.24K","-1.89%"
"2024- 04- 25","15,330","15,130","15,430","14,990","97.30K","0.26%"
"2024- 04- 24","15,290","15,200","15,460","15,080","89.46K","0.13%"
"2024- 04- 23","15,270","15,080","15,530","14,950","116.78K","0.33%"
"2024- 04- 22","15,220","15,960","16,400","15,090","861.11K","3.68%"
"2024- 04- 19","14,680","14,950","14,960","14,050","225.74K","-0.27%"
"2024- 04- 18","14,720","14,350","14,820","14,280","212.90K","1.17%"
"2024- 04- 17","14,550","14,380","15,130","14,300","239.68K","1.18%"
"2024- 04- 16","14,380","13,750","14,730","13,710","289.95K","3.30%"
"2024- 04- 15","13,920","14,500","14,510","13,800","279.43K","-6.39%"
"2024- 04- 12","14,870","13,370","15,770","12,790","2.08M","11.22%"
"2024- 04- 11","13,370","15,000","15,140","13,370","1.10M","-19.12%"
"2024- 04- 09","16,530","14,990","16,770","14,980","788.56K","10.20%"
"2024- 04- 08","15,000","15,750","15,850","14,510","451.77K","-5.36%"
"2024- 04- 05","15,850","15,310","16,540","14,720","424.69K","3.59%"
"2024- 04- 04","15,300","19,270","19,390","15,020","1.02M","-19.90%"
"2024- 04- 03","19,100","19,010","20,200","18,800","471.91K","-1.95%"
"2024- 04- 02","19,480","17,650","20,200","16,990","1.05M","10.49%"
"2024- 04- 01","17,630","17,040","17,740","17,040","187.04K","3.64%"
"2024- 03- 29","17,010","17,230","18,000","16,390","250.61K","-1.16%"
"2024- 03- 28","17,210","17,200","18,190","16,820","338.45K","-0.69%"
"2024- 03- 27","17,330","17,340","17,590","16,920","153.59K","0.46%"
"2024- 03- 26","17,250","17,600","17,840","17,110","265.87K","-1.99%"
"2024- 03- 25","17,600","16,900","18,130","16,750","530.89K","5.58%"
"2024- 03- 22","16,670","16,150","16,780","15,760","227.26K","3.22%"
"2024- 03- 21","16,150","15,970","16,570","15,970","164.06K","1.13%"
"2024- 03- 20","15,970","15,530","16,380","15,520","217.29K","3.70%"
"2024- 03- 19","15,400","16,000","16,080","15,000","251.85K","-3.45%"
"2024- 03- 18","15,950","15,860","16,490","15,670","334.42K","1.59%"
"2024- 03- 17","15,700","15,700","15,700","15,700","","-3.98%"
"2024- 03- 15","16,350","15,860","16,350","15,060","91.24K","5.14%"
"2024- 03- 14","15,550","14,520","15,860","14,520","0.16K","7.39%"
"2024- 03- 13","14,480","13,950","14,840","13,830","212.42K","4.02%"
"2024- 03- 12","13,920","14,100","14,410","13,830","149.59K","-1.83%"
"2024- 03- 11","14,180","14,300","14,350","14,060","64.14K","0.21%"
"2024- 03- 08","14,150","14,280","14,360","13,910","73.54K","-1.32%"
"2024- 03- 07","14,340","14,520","14,520","14,150","0.11K","-0.21%"
"2024- 03- 06","14,370","13,990","14,620","13,860","123.87K","3.01%"
"2024- 03- 05","13,950","14,050","14,270","13,920","85.78K","-0.99%"
"2024- 03- 04","14,090","13,800","14,210","13,750","95.99K","1.29%"
"2024- 02- 29","13,910","13,900","14,080","13,620","60.62K","0.07%"
"2024- 02- 28","13,900","14,000","14,200","13,740","58.07K","-0.71%"
"2024- 02- 27","14,000","13,880","14,290","13,600","0.01K","1.74%"
"2024- 02- 26","13,760","14,800","14,900","13,700","191.25K","-6.46%"
