"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","14,470","14,300","14,750","14,140","124.19K","1.19%"
"2024- 05- 07","14,300","14,400","14,520","14,150","138.93K","0.21%"
"2024- 05- 03","14,270","13,830","14,340","13,850","115.38K","3.26%"
"2024- 05- 02","13,820","13,700","13,880","13,650","54.17K","0.44%"
"2024- 04- 30","13,760","13,890","14,010","13,620","97.55K","-0.94%"
"2024- 04- 29","13,890","14,260","14,260","13,550","145.22K","-2.59%"
"2024- 04- 26","14,260","14,110","14,290","13,940","103.24K","0.92%"
"2024- 04- 25","14,130","14,340","14,410","13,960","107.09K","-1.46%"
"2024- 04- 24","14,340","14,600","14,620","14,280","147.70K","0.21%"
"2024- 04- 23","14,310","14,050","14,880","14,050","293.53K","1.78%"
"2024- 04- 22","14,060","14,330","14,500","13,850","152.74K","-2.83%"
"2024- 04- 19","14,470","14,780","14,830","14,000","215.37K","-2.49%"
"2024- 04- 18","14,840","14,700","14,920","14,300","277.00K","1.64%"
"2024- 04- 17","14,600","14,160","14,990","14,140","379.13K","3.25%"
"2024- 04- 16","14,140","13,700","14,260","13,370","223.24K","1.65%"
"2024- 04- 15","13,910","14,310","14,450","13,840","228.44K","-4.53%"
"2024- 04- 12","14,570","14,020","14,630","13,930","350.46K","4.97%"
"2024- 04- 11","13,880","13,560","14,100","13,210","291.14K","2.13%"
"2024- 04- 09","13,590","13,000","13,710","13,000","259.89K","3.98%"
"2024- 04- 08","13,070","13,130","13,180","12,920","109.28K","1.00%"
"2024- 04- 05","12,940","12,800","13,140","12,760","147.94K","-0.46%"
"2024- 04- 04","13,000","13,200","13,250","12,820","219.90K","-1.14%"
"2024- 04- 03","13,150","13,190","13,290","13,000","219.28K","-0.45%"
"2024- 04- 02","13,210","13,200","13,510","13,130","191.59K","-0.08%"
"2024- 04- 01","13,220","13,400","13,510","12,750","296.85K","-2.07%"
"2024- 03- 29","13,500","13,620","13,900","13,370","323.01K","0.15%"
"2024- 03- 28","13,480","13,240","13,760","13,170","366.81K","2.12%"
"2024- 03- 27","13,200","13,120","13,500","13,000","269.89K","1.69%"
"2024- 03- 26","12,980","13,020","13,060","12,650","252.34K","0.23%"
"2024- 03- 25","12,950","13,200","13,590","12,850","437.23K","-0.77%"
"2024- 03- 22","13,050","12,960","13,230","12,870","193.02K","0.38%"
"2024- 03- 21","13,000","13,050","13,400","12,870","534.85K","0.39%"
"2024- 03- 20","12,950","12,450","13,410","12,420","908.34K","3.68%"
"2024- 03- 19","12,490","11,930","12,710","11,870","847.31K","5.49%"
"2024- 03- 18","11,840","11,330","11,900","11,200","500.19K","3.05%"
"2024- 03- 15","11,490","11,330","11,670","10,930","71.81K","5.12%"
"2024- 03- 14","10,930","10,510","11,160","10,500","388.77K","4.10%"
"2024- 03- 13","10,500","10,450","10,520","10,360","68.99K","0.38%"
"2024- 03- 12","10,460","10,380","10,570","10,340","48.85K","0.38%"
"2024- 03- 11","10,420","10,440","10,690","10,400","111.04K","-0.67%"
"2024- 03- 08","10,490","10,460","10,600","10,410","77.35K","0.10%"
"2024- 03- 07","10,480","10,580","10,690","10,400","82.83K","-0.95%"
